"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","scan_loop_hz","scan_due_hz","scan_started_hz","scan_completed_hz","scan_failed_count","scan_publish_attempt_count","scan_publish_success_count","scan_skip_pending_count","scan_skip_not_due_count","scan_overwritten_count","scan_get_ow_entities_ms","scan_result_raw_count","scan_pending_age_ms","scan_generation","scan_root_ms","scan_list_read_ms","scan_slot_walk_ms","scan_record_build_ms","scan_match_link_ms","scan_cn_ne_target_map_ms","scan_cn_ne_self_validation_ms","scan_component_only_validation_ms","scan_dynamic_pair_ms","scan_finalize_ms","scan_dma_reads_delta","scan_dma_fail_delta","scan_list_read_count","scan_list_read_fail_count","scan_list_fallback_read_count","scan_record_add_attempt_count","scan_record_duplicate_count","scan_record_header_read_count","scan_record_header_fail_count","scan_record_remote_fallback_read_count","scan_pool_id_read_count","scan_match_lookup_count","scan_match_lookup_hit_count","scan_add_pair_attempt_count","scan_add_pair_duplicate_count","scan_link_decrypt_attempt_count","scan_link_decrypt_success_count","scan_playable_validation_attempt_count","scan_playable_validation_success_count","scan_cn_ne_map_candidate_count","scan_cn_ne_target_map_attempt_count","scan_cn_ne_target_map_success_count","scan_cn_ne_bucket_entry_scan_count","scan_component_only_validation_attempt_count","scan_component_only_validation_success_count","scan_detail_records","scan_detail_total_pairs","scan_light_scan_enabled","scan_light_unvalidated_pairs","scan_light_cap_hits","entity_cycle_ms","entity_cycle_dma_reads_delta","entity_cycle_dma_fail_delta","phase_consume_scan_ms","phase_previous_snapshot_copy_ms","phase_hot_scatter_prepare_ms","phase_hot_scatter_execute_ms","phase_base_cache_ms","phase_base_decrypt_ms","phase_health_ms","phase_hero_ms","phase_visibility_ms","phase_skeleton_ms","phase_skill_ms","phase_team_name_ms","phase_local_select_ms","phase_publish_ms","hot_scatter_requested_count","hot_scatter_prepare_requested_count","hot_scatter_prepare_success_count","hot_scatter_prepare_fail_count","hot_scatter_execute_count","hot_scatter_execute_fail_count","hot_scatter_bytes_requested","hot_scatter_bytes_read","hot_scatter_short_read_count","hot_scatter_batch_items","hot_scatter_batch_requests","hot_scatter_estimated_unique_pages","hot_scatter_success_count","hot_scatter_partial_count","hot_scatter_fallback_read_count","visibility_scatter_hit_count","base_cache_hit_count","base_cache_miss_count","base_decrypt_attempt_count","base_decrypt_success_count","base_decrypt_fail_count","skeleton_cache_hit_count","skeleton_cache_miss_count","skeleton_block_read_bytes","skeleton_fallback_get_bone_pos_count","visibility_fallback_count","skill_due_count","skill_read_count","skill_skipped_not_due_count","entity_record_created_count","entity_record_updated_actor_count","entity_record_link_changed_count","entity_record_link_changed_same_component_count","entity_record_link_changed_component_changed_count","entity_record_link_changed_same_hero_count","entity_record_link_changed_hero_changed_count","entity_record_link_changed_hero_unknown_count","entity_record_link_changed_match_key_count","entity_record_link_changed_link_key_count","entity_record_link_changed_component_key_count","entity_record_mark_missing_count","entity_record_mark_dead_count","entity_record_expired_count","component_cache_hit_count","component_cache_miss_count","component_cache_invalidate_interval_count","component_cache_invalidate_interval_skipped_lifetime_count","component_cache_invalidate_link_change_count","component_cache_invalidate_health_resurrect_count","component_cache_invalidate_hero_change_count","component_cache_link_change_previous_match_id_known_count","component_cache_link_change_previous_match_id_zero_count","component_cache_link_change_previous_match_id_unknown_count","component_cache_link_change_record_alias_hit_count","component_cache_link_change_record_alias_miss_count","component_cache_link_change_record_published_count","component_cache_link_change_record_bases_valid_count","component_cache_link_change_record_match_key_count","component_cache_link_change_record_link_key_count","component_cache_link_change_record_component_key_count","component_cache_link_retain_attempt_count","component_cache_link_retain_success_count","component_cache_link_retain_rejected_disabled_count","component_cache_link_retain_rejected_record_store_disabled_count","component_cache_link_retain_rejected_missing_record_count","component_cache_link_retain_rejected_missing_match_id_count","component_cache_link_retain_rejected_component_changed_count","component_cache_link_retain_rejected_interval_count","component_cache_link_retain_interval_bypassed_lifetime_count","component_cache_link_retain_rejected_hero_changed_count","component_cache_link_retain_rejected_hero_unknown_count","component_cache_link_retain_rejected_decrypt_fail_count","component_cache_link_retain_cached_hero_validate_count","component_cache_link_retain_refresh_decrypt_attempt_count","component_cache_link_retain_refresh_decrypt_success_count","component_cache_link_retain_refresh_decrypt_fail_count","component_cache_link_retain_refresh_link_attempt_count","component_cache_link_retain_refresh_link_success_count","component_cache_link_retain_refresh_link_fail_count","component_cache_link_retain_refresh_hero_attempt_count","component_cache_link_retain_refresh_hero_success_count","component_cache_link_retain_refresh_hero_fail_count","component_cache_link_retain_refresh_visibility_attempt_count","component_cache_link_retain_refresh_visibility_success_count","component_cache_link_retain_refresh_visibility_fail_count","component_cache_link_retain_refresh_angle_attempt_count","component_cache_link_retain_refresh_angle_success_count","component_cache_link_retain_refresh_angle_fail_count","component_cache_link_retain_refresh_angle_skipped_no_prior_count","component_cache_link_retain_refresh_angle_prior_count","component_cache_link_retain_refresh_angle_prior_fail_rejected_count","dynamic_cache_created_count","dynamic_cache_reused_count","dynamic_cache_replaced_count","dynamic_cache_expired_count","record_store_enabled","record_store_size","record_store_fresh_count","record_store_missing_count","record_store_dead_count","record_store_expired_count","record_store_bases_valid_count","record_store_dynamic_valid_count","record_store_published_valid_count","sdk_component_key_cache_hit_count","sdk_component_key_cache_miss_count","sdk_begin_frame_scan_count","sdk_begin_frame_process_count","sdk_begin_frame_unknown_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","render_prediction_candidates","render_prediction_applied","render_prediction_world_delta_fallback","render_prediction_max_lead_ms","render_prediction_max_offset_cm","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/26 23:01:13","0","0","0","0","0","0","297","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.001","0","0","1920","1080","0","0","1920","1080","0","0","0","0","0","0","0","0","0","False","0","0","0","0","0","0","0","0","0","0","0","normal","False","False","True"
"2026/6/26 23:01:15","410.192","410.192","0","0","0","62.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","57","0","62.5","0","0","0","0","0","0","0","0","True","True","True","0","0.001","0","0","1920","1080","0","0","1920","1080","0","0","0","0","0","0","0","0","0","False","0","0","0","0","8825","380","209","15854","3.2399","0.0169","3.223","normal","False","False","True"
"2026/6/26 23:01:17","228.943","228.943","17","40.844","0","9.09","15","17","0.496032","0.496032","0.496032","0.496032","0","1","1","3","0","0","2017.34","26","15","1","0.574","4.934","0.001","688.179","582.62","1071.25","7.527","211.843","0.003","0","13116","380","52","37","48","7680","1","1088","0","1090","1088","17","17","43","17","1140","17","1088","0","2278","34","34","17","1138","5","1088","26","0","0","0","116.597","736","0","0.003","0.002","0.03","4.611","16.259","10.343","0","0","0","13.448","10.574","15.133","31.383","0.01","83","83","83","0","6","0","79264","79264","0","17","68","77","73","0","0","22","22","0","30","15","15","22","0","44136","0","0","5","18","18","0","0","10","10","0","10","0","0","10","0","0","0","0","0","22","0","0","0","10","0","0","10","0","0","10","0","10","10","10","0","0","10","10","0","0","0","0","0","0","0","0","0","0","5","30","15","15","10","5","5","10","5","5","10","5","5","0","0","0","10","0","0","0","4","0","0","1","21","21","0","0","0","17","4","17","0","0","2","97","0","66.666","0","0","16","266","0","0","0","0","True","True","True","0.003","0.006","0","0","1920","1080","0","0","1920","1080","17","15","15","17","3","1","100","45","1","True","1436","520","17","31","22143","745","276","15854","3.9117","0.8196","3.0921","normal","True","True","False"
"2026/6/26 23:01:19","291.749","291.749","17","40.844","0","8","31","17","0.496032","0.496032","0.496032","0.496032","0","1","1","3","0","0","2017.34","26","15","1","0.574","4.934","0.001","688.179","582.62","1071.25","7.527","211.843","0.003","0","13116","380","52","37","48","7680","1","1088","0","1090","1088","17","17","43","17","1140","17","1088","0","2278","34","34","17","1138","5","1088","26","0","0","0","123.129","797","0","0","0.002","0.107","7.251","14.931","8.907","0","0.002","0","13.016","31.558","27.431","0.345","0.011","83","83","83","0","6","0","79264","79264","0","17","68","77","73","0","0","22","22","0","30","15","15","22","0","44136","0","0","8","24","14","0","0","10","10","0","10","0","0","10","0","0","0","0","0","22","0","0","22","10","0","0","10","0","0","10","0","10","10","10","0","0","10","10","0","0","0","0","0","0","10","0","0","0","5","30","15","15","10","5","5","10","5","5","10","5","5","0","0","0","10","0","0","0","4","0","0","1","21","21","0","0","0","17","4","17","0","0","2","115","0","62.5","0","0","172","781","0","37","30","24","True","True","True","0.002","0.017","0","0","1920","1080","0","0","1920","1080","17","15","15","17","3","1","100","46","1","True","1498","517","16","30","33369","745","349","163933","2.8099","0.7478","2.0621","normal","True","True","False"
"2026/6/26 23:01:21","284.971","284.971","17","13.812","0.489","9.09","47","17","1.07585","1.07585","0.268962","0.268962","0","2","2","7","0","0","3693.8","26","32","2","0.378","9.249","0","1064.16","1011.82","2146.18","12.209","403.676","0.004","0","22271","370","52","37","48","7680","0","1076","0","1077","1076","17","17","43","17","1126","17","1076","0","2252","34","34","17","1126","5","1076","26","0","0","0","98.54","624","0","0","0.003","0.034","4.522","15.258","7.246","0","0.002","0","16.331","15.113","15.327","2.024","0.011","83","83","83","0","6","0","79264","79264","0","17","68","77","73","0","0","22","22","0","30","15","15","22","0","44136","0","0","3","9","19","0","0","10","10","0","10","0","0","10","0","0","0","0","0","22","0","0","22","10","0","0","10","0","0","10","0","10","10","10","0","0","10","10","0","0","0","0","0","0","10","0","0","0","5","30","15","15","10","5","5","10","5","5","10","5","5","0","0","0","10","0","0","0","4","0","0","1","21","21","0","0","0","17","4","17","0","0","3","139","0","62.5","0","0","172","1349","0","37","30","24","True","True","True","0.001","0.03","0","0","1920","1080","0","0","1920","1080","17","15","15","17","5","1","100","49","1","True","1457","520","17","30","46530","1121","361","163933","2.6894","0.7282","1.9612","normal","True","True","False"
"2026/6/26 23:01:23","288.065","288.065","17","13.812","0.269","10.752","63","17","1.46113","1.46113","0.292227","0.292227","0","3","3","13","0","0","3383.73","26","32","3","0.484","8.676","0.003","976.295","1070.13","1952.46","13.953","377.947","0.004","0","21925","371","52","37","48","7680","0","1090","0","1091","1090","17","17","43","17","1143","17","1090","0","2284","34","34","17","1141","5","1090","26","0","0","0","88.297","594","29","0","0.003","0.031","3.999","13.482","8.026","0","0","0","11.412","13.51","20.057","1.999","0.01","83","83","83","0","6","0","79264","79264","0","17","68","77","73","0","0","22","22","0","30","15","15","22","0","44136","0","0","3","9","19","0","0","10","10","0","10","0","0","10","0","0","0","0","0","22","0","0","22","10","0","0","10","0","0","10","0","10","10","10","0","0","10","10","0","0","0","0","0","0","10","0","0","0","5","30","15","15","10","5","5","10","5","5","10","5","5","0","0","0","10","0","0","0","4","0","0","1","21","21","0","0","0","17","4","17","0","0","4","162","0","66.666","16","16","172","1918","0","37","30","24","True","True","True","0.002","0.03","0","0","1920","1080","0","0","1920","1080","17","15","15","17","3","1","100","46","1","True","1363","524","18","33","59648","1261","368","163933","5.6036","0.8211","4.7825","normal","True","True","False"
"2026/6/26 23:01:25","287.509","287.509","17","10.757","0.269","9.174","16","17","1.46113","1.46113","0.292227","0.292227","0","3","3","13","0","0","3383.73","26","32","3","0.484","8.676","0.003","976.295","1070.13","1952.46","13.953","377.947","0.004","0","21925","371","52","37","48","7680","0","1090","0","1091","1090","17","17","43","17","1143","17","1090","0","2284","34","34","17","1141","5","1090","26","0","0","0","102.344","672","0","0","0.002","0.034","5.605","14.689","7.671","0","0.003","0","13.544","16.475","20.033","1.12","0.012","83","83","83","0","6","0","79264","79264","0","17","68","77","73","0","0","22","22","0","30","15","15","22","0","44136","0","0","5","15","17","0","0","10","10","0","10","0","0","10","0","0","0","0","0","22","0","0","22","10","0","0","10","0","0","10","0","10","10","10","0","0","10","10","0","0","0","0","0","0","10","0","0","0","5","30","15","15","10","5","5","10","5","5","10","5","5","0","0","0","10","0","0","0","4","0","0","1","21","21","0","0","0","17","4","17","0","0","4","182","0","62.5","16","16","172","2474","0","88","71","56","True","True","True","0.002","0.03","0","0","1920","1080","0","0","1920","1080","17","15","15","17","5","1","100","45","1","True","1259","498","19","35","71088","1503","387","163933","4.6263","0.7821","3.8442","normal","True","True","False"
"2026/6/26 23:01:27","287.461","287.461","17","10.757","0.292","10.638","63","17","1.88223","1.88223","0.268889","0.268889","0","4","4","20","0","0","3680.72","26","31","4","0.606","11.295","0.003","1213.64","1157.54","2016.81","14.978","362.176","0.004","0","22100","382","52","37","48","7680","0","1087","0","1088","1087","17","17","43","17","1137","17","1087","0","2274","34","34","17","1137","5","1087","26","0","0","0","103.548","694","6","0","0.002","0.027","5.528","13.861","7.908","0.001","0.003","0","13.92","0","15.349","29.806","0.01","83","83","83","0","6","0","79264","79264","0","17","68","77","73","0","0","22","22","0","30","15","15","22","0","44136","0","0","1","6","22","0","0","10","10","0","10","0","0","10","0","0","0","0","0","22","0","0","22","10","0","0","10","0","0","10","0","10","10","10","0","0","10","10","0","0","0","0","0","0","10","0","0","0","5","30","15","15","10","5","5","10","5","5","10","5","5","0","0","0","10","0","0","0","4","0","0","1","21","21","0","0","0","17","4","17","0","0","5","205","0","62.5","0","0","172","3045","0","88","71","56","True","True","True","0.001","0.055","0","0","1920","1080","0","0","1920","1080","17","15","15","17","4","1","100","45","1","True","1260","499","19","34","84272","1678","387","163933","4.3556","0.9636","3.392","normal","True","True","False"
"2026/6/26 23:01:29","295.758","295.758","17","10.757","0.292","10.638","62","17","1.88223","1.88223","0.268889","0.268889","0","4","4","20","0","0","3680.72","26","31","4","0.606","11.295","0.003","1213.64","1157.54","2016.81","14.978","362.176","0.004","0","22100","382","52","37","48","7680","0","1087","0","1088","1087","17","17","43","17","1137","17","1087","0","2274","34","34","17","1137","5","1087","26","0","0","0","82.941","546","5","0","0.005","0.033","5.908","25.376","11.06","0.002","0","0","6.703","0","15.445","1.141","0.012","79","79","79","0","8","0","76440","76440","0","15","60","75","73","0","0","22","22","0","30","15","15","18","4","36408","4","0","0","0","22","0","0","10","10","0","10","0","0","10","0","0","0","0","0","22","0","0","18","10","0","0","10","0","0","10","0","10","10","10","0","0","10","10","0","0","0","0","0","0","6","0","0","0","5","30","15","15","10","5","5","10","5","5","10","5","5","0","0","0","10","0","0","0","4","0","0","1","21","19","0","2","0","17","4","17","0","0","5","226","0","66.666","0","0","172","3620","0","89","71","56","True","True","True","0.002","0.055","0","0","1920","1080","0","0","1920","1080","17","13","13","17","3","1","100","45","1","True","1357","524","18","33","97355","1879","389","163933","3.9063","0.8281","3.0782","normal","True","True","False"
"2026/6/26 23:01:31","271.773","271.773","17","10.787","0.268","15.873","31","17","2.43828","2.43828","0.304785","0.304785","0","5","5","26","0","0","3239.12","26","32","5","0.512","10.181","0.001","917.076","1057.5","1904.91","13.767","344.177","0.004","0","21053","376","52","37","48","7680","2","1081","0","1084","1081","17","17","41","17","1131","17","1081","0","2262","34","34","17","1131","3","1081","24","0","0","0","58.167","358","4","0","0.003","0.024","4.752","9.496","5.022","0","0","0","9.045","0.001","6.481","0.731","0.011","69","69","69","0","4","0","65088","65088","0","15","60","68","63","0","0","18","18","4","82","9","73","18","0","36408","0","0","0","0","18","0","0","6","6","0","6","0","0","6","0","0","0","0","0","18","4","0","18","10","0","0","10","0","0","10","0","10","10","10","0","0","10","6","0","0","0","0","0","4","6","0","0","0","3","18","9","9","6","3","3","6","3","3","6","3","3","0","0","0","6","0","0","0","4","0","0","1","21","19","0","2","0","17","4","17","0","0","6","249","0","62.5","0","16","172","4174","0","89","71","56","True","True","True","0.002","0.055","0","0","1920","1080","0","0","1920","1080","17","13","13","17","4","1","78","35","1","True","1456","520","17","31","110441","2283","390","163933","3.5356","1.0737","2.4619","normal","True","True","False"
