"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/25 7:50:34","0","0","0","0","0","0","172","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.002","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","0","0","0","normal","False","False","True"
"2026/6/25 7:50:35","0","0","0","0","0","0","1219","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.002","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","2.7478","0.0319","2.7159","normal","False","False","True"
"2026/6/25 7:50:36","0","0","0","0","0","62.5","16","0","62.5","16","0","0","0","0","0","0","0","True","True","True","0","0.002","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","5142","625","185","12669","2.654","0.0279","2.6261","normal","False","False","True"
"2026/6/25 7:50:37","0","0","0","35.885","0","31.25","15","0","62.5","15","0","0","0","0","0","0","0","True","True","True","0","0.002","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","12461","625","169","12669","2.6673","0.0179","2.6494","normal","False","False","True"
"2026/6/25 7:50:38","0","0","17","35.885","0","7.092","94","17","66.666","16","0","16","31","0","0","0","0","True","True","True","0.003","0.007","0","0","1920","1080","0","0","1920","1080","17","5","5","11","True","1064","537","16","30","19897","1080","209","12669","4.5166","0.0751","4.4415","normal","True","False","False"
"2026/6/25 7:50:39","0","0","17","35.885","0","4.926","140","17","62.5","15","0","31","88","0","1","0","0","True","True","True","0.002","0.01","0","0","1920","1080","0","0","1920","1080","17","5","5","9","True","1122","540","19","34","26967","1274","237","12669","2.8727","0.0819","2.7908","normal","True","False","False"
"2026/6/25 7:50:40","0","0","17","35.885","0","4.926","109","17","32.258","15","15","31","149","0","2","0","0","True","True","True","0.002","0.01","0","0","1920","1080","0","0","1920","1080","17","5","5","9","True","1185","540","23","42","33716","1288","258","12669","2.7143","0.0733","2.641","normal","True","False","False"
"2026/6/25 7:50:41","0","0","19","35.885","0.504","5.813","94","19","66.666","16","0","172","209","0","16","12","10","True","True","True","0.002","0.01","0","0","1920","1080","0","0","1920","1080","19","5","5","8","True","1223","538","22","39","38772","1620","291","168417","2.8383","0.0876","2.7507","normal","True","False","False"
"2026/6/25 7:50:42","70.3616","70.3616","19","35.885","0.504","4.566","62","19","62.5","0","0","172","270","0","16","12","10","True","True","True","0.002","0.016","0","0","1920","1080","0","0","1920","1080","19","5","5","8","True","1126","511","27","48","46076","2002","294","168417","2.7461","0.0796","2.6665","normal","True","False","False"
"2026/6/25 7:50:43","0","0","19","35.885","0.504","4.566","94","19","62.5","0","0","172","330","0","16","12","10","True","True","True","0.003","0.016","0","0","1920","1080","0","0","1920","1080","19","5","5","8","True","996","543","23","41","53121","2003","298","168417","2.7792","0.082","2.6972","normal","True","False","False"
