"captured_at","fps","entity_count","entity_process_hz","entity_scan_hz","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/25 1:34:20","54.1629","19","16.552","1.015","39539","2988","362","162971","3.1169","0.0721","3.0448","normal","True","False","False"
"2026/6/25 1:34:22","54.1629","19","16.552","1.422","54391","4117","359","162971","6.5678","0.0694","6.4984","normal","True","False","False"
"2026/6/25 1:34:24","43.1978","19","12.039","1.456","67957","5096","362","162971","3.9072","0.081","3.8262","normal","True","False","False"
"2026/6/25 1:34:26","43.1978","19","12.039","1.185","80899","5990","377","162971","5.1183","0.0798","5.0385","normal","True","False","False"
"2026/6/25 1:34:28","29.1956","19","11.601","1.883","95411","7229","365","162971","5.1183","0.0798","5.0385","normal","True","False","False"
"2026/6/25 1:34:30","29.1956","19","11.601","1.73","108223","8293","368","162971","5.1183","0.0798","5.0385","normal","True","False","False"
"2026/6/25 1:34:32","29.1956","17","11.601","1.488","122328","9460","362","162971","5.1183","0.0798","5.0385","normal","True","False","False"
"2026/6/25 1:34:34","0","17","12.23","1.524","136734","10594","355","162971","5.1183","0.0798","5.0385","normal","True","False","False"
"2026/6/25 1:34:36","0","17","12.23","1.453","148591","11614","361","162971","5.1183","0.0798","5.0385","normal","True","False","False"
"2026/6/25 1:34:38","0","17","11.707","1.883","163438","12851","354","162971","5.1183","0.0798","5.0385","normal","True","False","False"
"2026/6/25 1:34:40","0","19","11.707","1.779","178125","14185","349","162971","5.1183","0.0798","5.0385","normal","True","False","False"
"2026/6/25 1:34:42","0","19","11.707","1.686","190756","15232","350","162971","5.1183","0.0798","5.0385","normal","True","False","False"
"2026/6/25 1:34:44","0","19","12.036","1.453","204692","16401","347","162971","5.1183","0.0798","5.0385","normal","True","False","False"
"2026/6/25 1:34:47","0","19","12.036","1.524","218948","17570","344","162971","5.1183","0.0798","5.0385","normal","True","False","False"
"2026/6/25 1:34:49","0","19","11.707","1.73","231065","18564","348","162971","5.1183","0.0798","5.0385","normal","True","False","False"
"2026/6/25 1:34:51","0","19","11.707","1.883","244811","19768","347","162971","5.1183","0.0798","5.0385","normal","True","False","False"
"2026/6/25 1:34:53","0","17","11.707","1.828","259390","21050","344","162971","5.1183","0.0798","5.0385","normal","True","False","False"
"2026/6/25 1:34:55","0","17","12.039","1.73","272345","22095","346","162971","5.1183","0.0798","5.0385","normal","True","False","False"
"2026/6/25 1:34:57","0","17","12.039","1.73","286252","23221","344","162971","5.1183","0.0798","5.0385","normal","True","False","False"
"2026/6/25 1:34:59","0","17","12","1.73","300653","24411","341","162971","5.1183","0.0798","5.0385","normal","True","False","False"
"2026/6/25 1:35:01","0","17","12","1.085","313071","25523","344","162971","5.1183","0.0798","5.0385","normal","True","False","False"
"2026/6/25 1:35:03","0","19","12","1.828","327625","26730","342","162971","5.1183","0.0798","5.0385","normal","True","False","False"
"2026/6/25 1:35:05","0","19","12.386","1.832","342224","27971","340","162971","5.1183","0.0798","5.0385","normal","True","False","False"
"2026/6/25 1:35:07","0","19","12.386","1.104","354651","28908","342","164826","5.1183","0.0798","5.0385","normal","True","False","False"
"2026/6/25 1:35:09","0","19","13.018","1.56","368686","30015","340","164826","5.1183","0.0798","5.0385","normal","True","False","False"
"2026/6/25 1:35:11","0","19","13.018","1.686","382358","31155","340","164826","5.1183","0.0798","5.0385","normal","True","False","False"
"2026/6/25 1:35:13","0","19","13.018","1.085","394760","32123","342","164826","5.1183","0.0798","5.0385","normal","True","False","False"
"2026/6/25 1:35:15","0","17","12.075","1.684","409172","33316","340","164826","5.1183","0.0798","5.0385","normal","True","False","False"
"2026/6/25 1:35:17","0","17","12.075","1.6","423862","34515","339","164826","5.1183","0.0798","5.0385","normal","True","False","False"
"2026/6/25 1:35:19","0","17","12.55","1.122","436093","35507","341","164826","5.1183","0.0798","5.0385","normal","True","False","False"
