"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","scan_loop_hz","scan_due_hz","scan_started_hz","scan_completed_hz","scan_skip_pending_count","scan_skip_not_due_count","scan_overwritten_count","scan_get_ow_entities_ms","scan_result_raw_count","scan_pending_age_ms","scan_generation","scan_root_ms","scan_list_read_ms","scan_slot_walk_ms","scan_record_build_ms","scan_match_link_ms","scan_cn_ne_target_map_ms","scan_cn_ne_self_validation_ms","scan_component_only_validation_ms","scan_dynamic_pair_ms","scan_finalize_ms","scan_dma_reads_delta","scan_dma_fail_delta","scan_list_read_count","scan_list_read_fail_count","scan_list_fallback_read_count","scan_record_add_attempt_count","scan_record_duplicate_count","scan_record_header_read_count","scan_record_header_fail_count","scan_record_remote_fallback_read_count","scan_pool_id_read_count","scan_match_lookup_count","scan_match_lookup_hit_count","scan_add_pair_attempt_count","scan_add_pair_duplicate_count","scan_link_decrypt_attempt_count","scan_link_decrypt_success_count","scan_playable_validation_attempt_count","scan_playable_validation_success_count","scan_cn_ne_map_candidate_count","scan_cn_ne_target_map_attempt_count","scan_cn_ne_target_map_success_count","scan_cn_ne_bucket_entry_scan_count","scan_component_only_validation_attempt_count","scan_component_only_validation_success_count","scan_detail_records","scan_detail_total_pairs","scan_light_scan_enabled","scan_light_unvalidated_pairs","scan_light_cap_hits","entity_cycle_ms","entity_cycle_dma_reads_delta","entity_cycle_dma_fail_delta","phase_consume_scan_ms","phase_previous_snapshot_copy_ms","phase_hot_scatter_prepare_ms","phase_hot_scatter_execute_ms","phase_base_cache_ms","phase_base_decrypt_ms","phase_health_ms","phase_hero_ms","phase_visibility_ms","phase_skeleton_ms","phase_skill_ms","phase_team_name_ms","phase_local_select_ms","phase_publish_ms","hot_scatter_requested_count","hot_scatter_prepare_requested_count","hot_scatter_prepare_success_count","hot_scatter_prepare_fail_count","hot_scatter_execute_count","hot_scatter_execute_fail_count","hot_scatter_bytes_requested","hot_scatter_bytes_read","hot_scatter_short_read_count","hot_scatter_batch_items","hot_scatter_batch_requests","hot_scatter_estimated_unique_pages","hot_scatter_success_count","hot_scatter_partial_count","hot_scatter_fallback_read_count","base_cache_hit_count","base_cache_miss_count","base_decrypt_attempt_count","skeleton_block_read_bytes","skeleton_fallback_get_bone_pos_count","visibility_fallback_count","skill_read_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/26 5:46:43","303.182","303.182","17","8.276","0.234","6.41","47","17","5.67279","5.67279","0.226912","0.226912","42","0","0","4262.59","26","93","3","0.431","13.532","0","1189.86","1223.5","2515.54","16.82","462.255","0.006","0","26605","560","68","40","64","7168","0","1099","0","1264","1098","17","17","41","17","1144","17","1099","0","2290","34","34","17","1146","3","1099","24","0","0","0","155.145","1061","2","0","0.002","0.016","8.351","0.001","20.35","0.001","0.002","0","13.959","58.794","21.862","0.78","0.012","67","67","67","0","8","0","67296","67296","0","12","48","66","67","0","0","12","10","132","33108","0","0","51","62.5","16","0","172","3368","0","110","89","71","True","True","True","0.002","0.044","0","0","1920","1080","0","0","1920","1080","17","7","7","7","True","278","510","41","75","88746","2273","378","160282","3.1261","0.0557","3.0704","normal","True","False","False"
"2026/6/26 5:46:45","309.31","309.31","17","8.276","0.229","5.319","15","17","4.44884","4.44884","0.247158","0.247158","63","0","0","3946.24","26","125","4","0.471","13.353","0","1180.21","1217.91","2248.37","12.936","432.131","0.006","0","26327","629","68","40","64","7168","1","1104","0","1270","1103","15","15","37","15","1149","16","1104","0","2302","32","30","15","1153","3","1104","22","0","0","0","182.211","1261","118","0","0.001","0.018","5.097","0.001","18.224","0.001","0.004","0","14.739","59.857","18.371","32.078","0.015","67","67","67","0","8","0","67296","67296","0","12","48","66","67","0","0","12","10","136","33108","0","0","54","66.666","0","0","172","3984","0","110","89","71","True","True","True","0.002","0.044","0","0","1920","1080","0","0","1920","1080","17","7","7","7","True","278","510","41","75","102683","2675","379","160282","2.9223","0.0446","2.8777","normal","True","False","False"
"2026/6/26 5:46:47","281.532","281.532","17","7.246","0.229","7.142","47","17","4.44884","4.44884","0.247158","0.247158","63","0","0","3946.24","26","125","4","0.471","13.353","0","1180.21","1217.91","2248.37","12.936","432.131","0.006","0","26327","629","68","40","64","7168","1","1104","0","1270","1103","15","15","37","15","1149","16","1104","0","2302","32","30","15","1153","3","1104","22","0","0","0","134.891","874","4","0.009","0.005","0.029","7.96","0.001","16.371","0","0.003","0","11.598","40.132","19.528","0.291","0.012","66","66","66","0","7","0","65064","65064","0","12","48","65","66","0","0","12","10","136","33108","0","0","36","62.5","0","0","172","4599","0","110","89","71","True","True","True","0.002","0.044","0","0","1920","1080","0","0","1920","1080","17","6","6","8","True","278","511","41","74","116232","2940","380","160282","2.4628","0.0421","2.4207","normal","True","False","False"
"2026/6/26 5:46:49","289.921","289.921","19","7.246","0.246","7.092","172","19","5.45635","5.45635","0.248016","0.248016","90","0","0","3902.5","30","156","5","0.439","16.176","0.002","1137.18","1190.17","2229.92","12.838","447.866","0.009","0","26150","661","68","40","64","7168","0","1096","0","1261","1095","17","17","43","17","1141","17","1096","0","2282","34","34","17","1141","5","1096","26","0","0","0","143.671","965","4","0","0.001","0.015","12.084","0","24.337","0","0.003","0","14.483","33.644","15.049","0.315","0.013","78","78","78","0","11","0","79224","79224","0","12","48","73","78","0","0","12","14","184","36972","0","0","30","62.5","0","0","172","5210","0","110","89","71","True","True","True","0.001","0.044","0","0","1920","1080","0","0","1920","1080","19","6","6","10","True","278","510","41","75","129847","3309","379","160282","2.6106","0.0495","2.5611","normal","True","False","False"
"2026/6/26 5:46:51","295.314","295.314","19","7.246","0.246","2.666","156","19","5.45635","5.45635","0.248016","0.248016","90","0","0","3902.5","30","156","5","0.439","16.176","0.002","1137.18","1190.17","2229.92","12.838","447.866","0.009","0","26150","661","68","40","64","7168","0","1096","0","1261","1095","17","17","43","17","1141","17","1096","0","2282","34","34","17","1141","5","1096","26","0","0","0","380.186","2523","0","0","0.001","0.003","19.076","0.006","71.654","0","0.009","0","42.972","106.475","39.6","24.158","0.016","80","80","80","0","24","0","83688","83688","0","0","0","75","80","0","0","0","26","324","36972","0","0","69","62.5","15","15","438","5786","0","230","204","182","True","True","True","0.003","0.044","0","0","1920","1080","0","0","1920","1080","19","6","6","10","True","278","510","41","74","139303","3553","397","209766","2.9739","0.0555","2.9184","normal","True","False","False"
"2026/6/26 5:46:53","303.055","303.055","19","7.246","0.245","3.039","109","19","6.20155","6.20155","0.221484","0.221484","90","0","0","4350.35","28","0","6","0.727","19.809","0","1089.71","1805.35","2741.83","18.985","406.69","0.003","0","25506","601","68","40","64","7168","0","1102","0","1267","1101","17","17","43","17","1147","17","1102","0","2296","34","34","17","1149","5","1102","26","0","0","0","326.739","2209","52","0","0.002","0.004","19.942","0.005","77.673","0.002","0.013","0","37.032","82.282","28.758","15.292","0.014","78","78","78","0","22","0","79224","79224","0","0","0","73","78","0","0","0","24","304","36972","0","0","69","62.5","0","16","438","6376","0","230","204","182","True","True","True","0.002","0.044","0","0","1920","1080","0","0","1920","1080","19","6","6","10","True","278","511","41","74","152867","3771","396","209766","14.4302","0.0537","14.3765","normal","True","False","False"
"2026/6/26 5:46:55","291.371","291.371","17","7.246","0.245","3.205","63","17","6.20155","6.20155","0.221484","0.221484","90","0","0","4350.35","28","0","6","0.727","19.809","0","1089.71","1805.35","2741.83","18.985","406.69","0.003","0","25506","601","68","40","64","7168","0","1102","0","1267","1101","17","17","43","17","1147","17","1102","0","2296","34","34","17","1149","5","1102","26","0","0","0","320.305","2157","2","0","0.002","0.003","20.876","0.008","62.976","0.001","0.009","0","35.36","78.91","32.33","17.787","0.011","78","78","78","0","22","0","79224","79224","0","0","0","73","78","0","0","0","24","304","36972","0","0","69","62.5","0","0","438","6979","0","230","204","182","True","True","True","0.002","0.044","0","0","1920","1080","0","0","1920","1080","17","6","6","10","True","278","510","41","75","166436","4152","396","209766","2.3563","0.0462","2.3101","normal","True","False","False"
"2026/6/26 5:46:57","299.253","299.253","17","5.478","0.229","3.367","63","17","0.24426","0.24426","0.24426","0.24426","95","0","0","4079.11","26","16","7","0.441","24.614","0","1159.28","1201.36","2381.51","13.325","441.925","0.004","0","26031","589","68","40","64","7168","0","1102","0","1267","1101","17","17","43","17","1147","17","1102","0","2294","34","34","17","1147","5","1102","26","0","0","0","296.629","2008","48","0","0.003","0.003","12.739","0.009","64.59","0","0.015","0","40.02","68.329","27.437","16.268","0.044","78","78","78","0","22","0","79224","79224","0","0","0","73","78","0","0","0","22","264","36972","0","0","69","62.5","0","0","438","7575","0","272","240","213","True","True","True","0.002","0.044","0","0","1920","1080","0","0","1920","1080","17","6","6","8","True","278","510","41","75","178576","4351","400","209766","2.6268","0.0456","2.5812","normal","True","False","False"
"2026/6/26 5:46:59","326.12","326.12","17","5.478","0.229","6.41","234","17","0.24426","0.24426","0.24426","0.24426","95","0","0","4079.11","26","16","7","0.441","24.614","0","1159.28","1201.36","2381.51","13.325","441.925","0.004","0","26031","589","68","40","64","7168","0","1102","0","1267","1101","17","17","43","17","1147","17","1102","0","2294","34","34","17","1147","5","1102","26","0","0","0","154.835","980","0","0","0.002","0.02","13.097","0.001","30.228","0","0.003","0.001","15.168","34.265","10.451","1.177","0.01","78","78","78","0","11","0","79224","79224","0","12","48","73","78","0","0","12","10","120","33108","2","0","30","62.5","15","15","438","8187","0","272","240","213","True","True","True","0.001","0.044","0","0","1920","1080","0","0","1920","1080","17","7","7","7","True","278","511","41","74","192132","4714","399","209766","2.6911","0.0576","2.6335","normal","True","False","False"
"2026/6/26 5:47:01","304.68","304.68","17","5.478","0.243","9.174","360","17","1.5674","1.5674","0.261233","0.261233","97","0","0","3798.52","26","16","8","0.661","17.22","0.002","1190.51","1100.76","2113.99","16.173","411.175","0.002","0","25559","574","68","40","64","7168","0","1109","0","1274","1108","17","17","41","17","1154","17","1109","0","2312","34","34","17","1158","3","1109","24","0","0","0","98.783","611","14","0","0.002","0.025","5.809","0.001","14.909","0.001","0.005","0","15.684","29.419","5.115","0.287","0.013","66","66","66","0","7","0","65064","65064","0","12","48","65","66","0","0","12","10","136","33108","0","0","18","66.666","16","0","438","8778","0","325","284","248","True","True","True","0.002","0.044","0","0","1920","1080","0","0","1920","1080","17","7","7","7","True","278","510","41","75","203987","4968","403","209766","2.8194","0.0562","2.7632","normal","True","False","False"
