"captured_at","fps","entity_count","entity_process_hz","entity_scan_hz","view_matrix_ok","view_matrix_resolved","view_matrix_valid","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/25 2:23:40","24.649","19","14.489","1.333","True","True","True","1920","1080","0","0","1920","1080","17","9","9","5","True","1422","555","19","34","56438","4154","375","158220","2.9788","0.0623","2.9165","normal","True","False","False"
"2026/6/25 2:23:41","0","19","14.489","1.422","True","True","True","1920","1080","0","0","1920","1080","17","9","9","5","True","1422","555","19","34","64075","4712","374","158220","2.9788","0.0623","2.9165","normal","True","False","False"
"2026/6/25 2:23:42","0","19","14.489","1.28","True","True","True","1920","1080","0","0","1920","1080","17","9","9","5","True","1422","555","19","34","69527","5082","392","160819","2.9788","0.0623","2.9165","normal","True","False","False"
"2026/6/25 2:23:43","0","19","14.489","1.391","True","True","True","1920","1080","0","0","1920","1080","17","9","9","5","True","1422","555","19","34","76557","5569","392","160819","2.9788","0.0623","2.9165","normal","True","False","False"
"2026/6/25 2:23:44","0","19","13.381","0.902","True","True","True","1920","1080","0","0","1920","1080","17","9","9","5","True","1422","555","19","34","83901","6098","390","160819","2.9788","0.0623","2.9165","normal","True","False","False"
"2026/6/25 2:23:45","0","19","13.381","1.305","True","True","True","1920","1080","0","0","1920","1080","17","9","9","5","True","1422","555","19","34","91198","6587","388","160819","2.9788","0.0623","2.9165","normal","True","False","False"
"2026/6/25 2:23:46","0","19","13.381","1.307","True","True","True","1920","1080","0","0","1920","1080","17","9","9","5","True","1422","555","19","34","98264","7046","388","160819","2.9788","0.0623","2.9165","normal","True","False","False"
"2026/6/25 2:23:47","0","19","13.381","1.305","True","True","True","1920","1080","0","0","1920","1080","17","9","9","5","True","1422","555","19","34","105434","7478","387","160819","2.9788","0.0623","2.9165","normal","True","False","False"
"2026/6/25 2:23:48","0","19","14.545","1.232","True","True","True","1920","1080","0","0","1920","1080","17","9","9","5","True","1422","555","19","34","110843","7847","398","163127","2.9788","0.0623","2.9165","normal","True","False","False"
"2026/6/25 2:23:49","0","17","14.545","0.97","True","True","True","1920","1080","0","0","1920","1080","17","9","9","5","True","1422","555","19","34","117966","8329","397","163127","2.9788","0.0623","2.9165","normal","True","False","False"
"2026/6/25 2:23:50","0","17","14.545","1.23","True","True","True","1920","1080","0","0","1920","1080","17","9","9","5","True","1422","555","19","34","125084","8810","395","163127","2.9788","0.0623","2.9165","normal","True","False","False"
"2026/6/25 2:23:51","0","17","14.545","1.307","True","True","True","1920","1080","0","0","1920","1080","17","9","9","5","True","1422","555","19","34","131963","9234","395","163127","2.9788","0.0623","2.9165","normal","True","False","False"
"2026/6/25 2:23:52","0","17","14.709","1.143","True","True","True","1920","1080","0","0","1920","1080","17","9","9","5","True","1422","555","19","34","138699","9688","395","163127","2.9788","0.0623","2.9165","normal","True","False","False"
"2026/6/25 2:23:53","0","17","14.709","1.163","True","True","True","1920","1080","0","0","1920","1080","17","9","9","5","True","1422","555","19","34","142710","9971","409","163127","2.9788","0.0623","2.9165","normal","True","False","False"
"2026/6/25 2:23:54","0","17","14.709","1.085","True","True","True","1920","1080","0","0","1920","1080","17","9","9","5","True","1422","555","19","34","149988","10478","408","163127","2.9788","0.0623","2.9165","normal","True","False","False"
