"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","scan_loop_hz","scan_due_hz","scan_started_hz","scan_completed_hz","scan_skip_pending_count","scan_skip_not_due_count","scan_overwritten_count","scan_get_ow_entities_ms","scan_result_raw_count","scan_pending_age_ms","scan_generation","scan_detail_records","scan_detail_total_pairs","scan_light_scan_enabled","scan_light_unvalidated_pairs","scan_light_cap_hits","entity_cycle_ms","entity_cycle_dma_reads_delta","entity_cycle_dma_fail_delta","phase_consume_scan_ms","phase_previous_snapshot_copy_ms","phase_hot_scatter_prepare_ms","phase_hot_scatter_execute_ms","phase_base_cache_ms","phase_base_decrypt_ms","phase_health_ms","phase_hero_ms","phase_visibility_ms","phase_skeleton_ms","phase_skill_ms","phase_team_name_ms","phase_local_select_ms","phase_publish_ms","hot_scatter_requested_count","hot_scatter_success_count","hot_scatter_partial_count","hot_scatter_fallback_read_count","base_cache_hit_count","base_cache_miss_count","base_decrypt_attempt_count","cold_base_budget_enabled","cold_base_budget_limit","cold_base_budget_used_count","cold_base_deferred_count","candidate_backoff_enabled","candidate_backoff_min_failures","candidate_backoff_active_count","candidate_backoff_blocked_count","candidate_backoff_skipped_count","candidate_backoff_failure_count","candidate_backoff_soft_failure_count","candidate_backoff_probe_count","candidate_backoff_success_count","skeleton_block_read_bytes","skeleton_fallback_get_bone_pos_count","visibility_fallback_count","skill_read_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/25 20:31:40","60.0287","60.0287","17","20.986","0.552","32.258","15","17","0.477783","0.477783","0.477783","0.477783","0","0","0","2086.09","21","0","15","1095","19","1","15","0","31.886","243","23","0","0.001","0.016","1.448","0","0","0","0","0","8.693","0","0","0.918","0.008","60","60","0","0","15","0","0","1","4","0","0","1","2","4","2","2","0","0","0","0","33108","0","0","0","66.666","0","0","390","1599","0","55","47","42","True","True","True","0.002","0.019","0","0.003","1920","1080","0","0","1920","1080","17","10","10","4","True","1773","645","29","53","184021","6364","397","189577","7.5844","0.0818","7.5026","normal","True","False","False"
"2026/6/25 20:31:42","59.9641","59.9641","19","25.094","0.478","32.258","31","19","0.520291","0.520291","0.520291","0.520291","0","0","0","1918.36","23","0","16","1096","21","1","17","0","26.189","169","0","0","0.002","0.02","2.185","0","0","0","0","0","5.914","0","0","0.606","0.01","68","68","0","0","17","0","0","1","4","0","0","1","2","4","2","2","0","0","0","0","36972","0","0","0","62.5","0","0","390","1720","0","55","47","42","True","True","True","0.002","0.019","0","0.003","1920","1080","0","0","1920","1080","19","12","12","4","True","1861","694","36","65","197929","6839","395","189577","4.0117","0.0829","3.9288","normal","True","False","False"
"2026/6/25 20:31:44","59.8006","59.8006","19","25.094","0.52","12.82","16","19","0.561482","0.561482","0.561482","0.561482","0","0","0","1770.87","23","0","17","1080","21","1","17","0","76.262","486","2","0","0.002","0.019","3.182","0.001","10.667","0","0.001","0","16.84","13.831","3.816","0.317","0.011","68","68","0","0","14","5","56","1","4","4","1","1","2","4","1","0","1","0","2","0","36972","0","0","9","62.5","16","0","390","1841","0","66","56","50","True","True","True","0.002","0.019","0","0.003","1920","1080","0","0","1920","1080","19","12","12","4","True","1822","689","37","67","210122","7246","399","189577","3.0191","0.0834","2.9357","normal","True","False","False"
"2026/6/25 20:31:46","61.566","61.566","19","19.493","0.561","12.82","0","19","0.492126","0.492126","0.492126","0.492126","0","0","0","2033.19","23","0","18","1096","21","1","17","0","73.732","482","0","0","0.003","0.014","3.043","0.003","10.281","0","0","0","18.09","13.252","3.252","0.343","0.01","54","54","0","0","14","3","36","1","4","3","0","1","2","4","2","2","0","0","0","0","36972","0","0","9","62.5","16","16","390","1961","0","66","56","50","True","True","True","0.003","0.019","0","0.013","1920","1080","0","0","1920","1080","19","11","11","5","True","1250","599","16","29","223754","7634","398","189577","3.8414","0.0828","3.7586","normal","True","False","False"
"2026/6/25 20:31:48","59.9837","59.9837","19","23.419","0.492","12.82","15","19","0.529101","0.529101","0.529101","0.529101","0","0","0","1885.94","23","0","19","1076","21","1","17","0","87.262","597","1","0","0.001","0.015","8.326","0.002","12.072","0","0.001","0","14.07","7.518","2.956","0.647","0.008","68","68","0","0","14","4","56","1","4","4","0","1","2","4","2","1","1","0","1","0","36972","0","0","9","66.666","0","0","390","2078","0","66","56","50","True","True","True","0.001","0.03","0","0.013","1920","1080","0","0","1920","1080","19","11","11","5","True","1250","600","16","29","237150","8032","398","189577","3.7998","0.0713","3.7285","normal","True","False","False"
"2026/6/25 20:31:50","366.423","366.423","19","21.567","0.529","12.82","31","19","0.561167","0.561167","0.561167","0.561167","0","0","0","1778.41","23","0","20","1079","21","1","17","0","80.805","525","0","0","0.002","0.021","2.767","0.005","11.456","0","0.002","0","16.901","13.704","3.003","3.005","0.012","68","68","0","0","14","3","36","1","4","3","0","1","2","4","2","2","0","0","0","0","36972","0","0","9","66.666","16","16","390","2772","0","66","56","50","True","True","True","0.003","0.03","0","0.013","1920","1080","0","0","1920","1080","19","12","12","4","True","1669","623","27","50","250298","8441","398","189577","2.0941","0.0452","2.0489","normal","True","False","False"
"2026/6/25 20:31:52","382.85","382.85","17","21.567","0.556","12.82","31","17","0.477783","0.477783","0.477783","0.477783","0","0","0","2084.62","21","0","21","1095","21","1","17","0","77.942","501","0","0","0.002","0.016","5.304","0.002","10.51","0","0","0","19.587","10.546","5.314","0.774","0.01","68","68","0","0","14","3","36","1","4","3","0","1","2","4","1","0","0","0","0","0","36972","0","0","9","62.5","0","0","390","3559","0","67","56","50","True","True","True","0.002","0.03","0","0.013","1920","1080","0","0","1920","1080","17","12","12","4","True","1595","621","27","49","262928","8837","398","189577","3.6671","0.049","3.6181","normal","True","False","False"
"2026/6/25 20:31:54","411.207","411.207","17","23.274","0.481","9.174","79","17","0.453926","0.453926","0.453926","0.453926","0","0","0","2190.81","21","0","22","1085","21","1","17","0","98.262","650","0","0","0.002","0.024","5.849","0.003","15.109","0.001","0.002","0","14.25","18.944","6.545","0.577","0.012","68","68","0","0","13","4","48","1","4","4","0","1","2","4","0","0","0","0","0","0","36972","0","0","12","62.5","47","47","390","4389","0","81","64","50","True","True","True","0.001","0.03","0","0.013","1920","1080","0","0","1920","1080","17","13","13","3","True","1805","658","29","54","275396","9240","399","189577","1.8082","0.0416","1.7666","normal","True","False","False"
"2026/6/25 20:31:56","473.607","473.607","17","20.986","0.454","21.276","62","17","0.441306","0.441306","0.441306","0.441306","0","0","0","2268.7","21","0","23","1090","21","1","17","0","35.675","234","0","0","0.002","0.024","2.688","0","0","0","0","0","9.657","0","0","1.061","0.01","68","68","0","0","17","0","0","1","4","0","0","1","2","4","0","0","0","0","0","0","36972","0","0","0","66.666","0","0","390","5342","0","143","118","100","True","True","True","0.002","0.03","0","0.013","1920","1080","0","0","1920","1080","17","12","12","4","True","1841","693","35","64","287763","9623","401","189577","2.1712","0.048","2.1232","normal","True","False","False"
"2026/6/25 20:31:58","430.048","430.048","17","23.557","0.438","32.258","63","17","0.542299","0.542299","0.542299","0.542299","0","0","0","1835.16","21","0","24","1067","21","1","17","0","28.168","221","66","0","0.002","0.019","2.356","0.798","0","0","0","0","7.384","0","0.003","0.348","0.01","68","68","0","0","17","0","0","1","4","0","0","1","2","4","0","0","0","0","0","0","33108","2","0","0","62.5","0","0","390","6200","0","143","118","100","True","True","True","0.003","0.03","0","0.013","1920","1080","0","0","1920","1080","17","9","9","5","True","1250","599","16","29","300819","10046","401","189577","2.2233","0.0703","2.153","normal","True","False","False"
