"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","scan_loop_hz","scan_due_hz","scan_started_hz","scan_completed_hz","scan_skip_pending_count","scan_skip_not_due_count","scan_overwritten_count","scan_get_ow_entities_ms","scan_result_raw_count","scan_pending_age_ms","scan_generation","entity_cycle_ms","entity_cycle_dma_reads_delta","entity_cycle_dma_fail_delta","phase_consume_scan_ms","phase_previous_snapshot_copy_ms","phase_hot_scatter_prepare_ms","phase_hot_scatter_execute_ms","phase_base_cache_ms","phase_base_decrypt_ms","phase_health_ms","phase_hero_ms","phase_visibility_ms","phase_skeleton_ms","phase_skill_ms","phase_team_name_ms","phase_local_select_ms","phase_publish_ms","hot_scatter_requested_count","hot_scatter_success_count","hot_scatter_partial_count","hot_scatter_fallback_read_count","base_cache_hit_count","base_cache_miss_count","base_decrypt_attempt_count","skeleton_block_read_bytes","skeleton_fallback_get_bone_pos_count","visibility_fallback_count","skill_read_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/25 19:22:00","58.8429","58.8429","21","4.842","0.306","5.813","203","21","0.306279","0.306279","0.306279","0.306279","0","0","0","3263.61","29","27937","9","173.051","1213","3","0","0.002","0.019","12.668","0.001","24.288","0","0.001","0","18.81","34.633","16.594","1.563","0.017","80","80","0","0","12","13","173","36972","0","0","36","66.666","16","16","188","1807","0","49","40","36","True","True","True","0.002","0.068","0","0","1920","1080","0","0","1920","1080","21","6","6","11","True","1080","513","20","36","218167","4403","404","164600","10.4534","0.0775","10.3759","normal","True","False","False"
"2026/6/25 19:22:02","61.1288","61.1288","19","4.911","0.305","3.205","204","19","0.306185","0.306185","0.306185","0.306185","0","0","0","3255.94","27","0","10","324.104","2453","206","0","0.002","0.006","26.803","0.005","61.097","0","0.007","0","35.506","70.689","28.008","12.913","0.02","80","80","0","0","2","21","253","36972","0","0","69","62.5","0","16","188","1928","0","49","40","36","True","True","True","0.003","0.068","0","0","1920","1080","0","0","1920","1080","19","6","6","11","True","1020","498","23","42","232528","4809","403","164600","5.4556","0.0834","5.3722","normal","True","False","False"
"2026/6/25 19:22:04","59.6749","59.6749","18","4.911","0.308","3.048","47","18","0.313775","0.313775","0.313775","0.313775","0","0","0","3180.51","27","3187","11","332.025","2372","31","0","0.001","0.005","30.55","0.008","51.212","0","0.004","0","44.852","63.329","36.031","19.783","0.009","80","80","0","0","2","21","253","36972","0","0","69","62.5","0","0","188","2048","0","49","40","36","True","True","True","0.002","0.068","0","0","1920","1080","0","0","1920","1080","18","6","6","11","True","992","471","29","53","245891","4901","403","164600","5.6153","0.08","5.5353","normal","True","False","False"
"2026/6/25 19:22:06","59.8137","59.8137","18","4.911","0.308","3.773","297","18","0.313775","0.313775","0.313775","0.313775","0","0","0","3180.51","27","3187","11","256.573","1758","1","0","0.001","0.015","17.983","0.001","31.051","0","0.005","0","28.806","45.099","27.985","30.888","0.009","80","80","0","0","12","11","133","36972","0","0","39","62.5","15","0","188","2168","0","49","40","36","True","True","True","0.001","0.068","0","0","1920","1080","0","0","1920","1080","18","6","6","11","True","1137","442","35","64","259969","5218","403","164600","5.4405","0.0864","5.3541","normal","True","False","False"
"2026/6/25 19:22:08","59.636","59.636","18","4.911","0.314","5.319","203","18","0.315259","0.315259","0.315259","0.315259","0","0","0","3171.17","26","6359","12","183.484","1263","0","0","0.002","0.017","9.228","0","39.813","0","0","0","17.534","20.607","15.031","24.128","0.009","78","78","0","0","12","10","120","33108","2","0","36","66.666","16","0","188","2289","0","49","40","36","True","True","True","0.001","0.068","0","0","1920","1080","0","0","1920","1080","18","6","6","9","True","1426","390","46","84","274185","5582","402","164600","10.6367","0.0752","10.5615","normal","True","False","False"
"2026/6/25 19:22:10","61.0766","61.0766","18","4.911","0.314","4.566","15","18","0.315259","0.315259","0.315259","0.315259","0","0","0","3171.17","26","6359","12","218.793","1420","0","0","0.002","0.017","9.227","0","28.522","0","0.001","0","26.919","38.092","10.452","34.844","0.009","68","68","0","0","12","10","132","33108","0","0","27","62.5","15","0","188","2409","0","59","48","43","True","True","True","0.002","0.068","0","0","1920","1080","0","0","1920","1080","18","6","6","9","True","1854","311","63","115","286719","5632","404","164600","10.5827","0.0799","10.5028","normal","True","False","False"
"2026/6/25 19:22:12","61.0967","61.0967","18","4.911","0.314","8","140","18","0.307692","0.307692","0.307692","0.307692","0","0","0","3232.31","26","9609","13","122.669","830","0","0","0.001","0.015","6.489","0.001","17.129","0","0.001","0","19.108","23.024","5.79","0.292","0.009","68","68","0","0","12","10","132","33108","0","0","18","66.666","0","15","188","2530","0","59","48","43","True","True","True","0.001","0.068","0","0","1920","1080","0","0","1920","1080","18","5","5","10","True","1384","513","15","27","301051","6086","403","164600","5.5749","0.0765","5.4984","normal","True","False","False"
"2026/6/25 19:22:14","59.7131","59.7131","20","5.046","0.309","6.41","47","20","0.315259","0.315259","0.315259","0.315259","0","0","0","3176.26","30","12781","14","159.523","1132","26","0","0.002","0.019","16.296","0","31.674","0.002","0.003","0","19.467","27.062","14.867","2.605","0.01","79","79","0","0","12","14","184","36972","0","0","30","62.5","0","0","188","2651","0","59","48","43","True","True","True","0.002","0.068","0","0","1920","1080","0","0","1920","1080","20","5","5","12","True","1384","513","15","27","314889","6308","403","164600","10.4591","0.0831","10.376","normal","True","False","False"
"2026/6/25 19:22:16","59.1294","59.1294","20","5.046","0.309","6.41","110","20","0.315259","0.315259","0.315259","0.315259","0","0","0","3176.26","30","12781","14","149.216","1029","4","0","0.002","0.03","12.21","0","25.361","0.002","0.002","0","18.888","26.64","10.772","0.268","0.009","78","78","0","0","12","14","184","36972","0","0","30","62.5","16","0","188","2771","0","59","48","43","True","True","True","0.001","0.068","0","0","1920","1080","0","0","1920","1080","20","5","5","12","True","1384","513","15","27","329046","6529","402","164600","5.5417","0.0692","5.4725","normal","True","False","False"
"2026/6/25 19:22:18","58.6928","58.6928","20","5.046","0.314","5.813","63","20","0.313676","0.313676","0.313676","0.313676","0","0","0","3177.68","30","0","15","182.729","1232","2","0","0.002","0.017","19.881","0.001","36.373","0.002","0","0","18","31.282","14.856","0.467","0.011","81","79","0","0","11","15","193","35040","0","0","30","62.5","47","31","188","2891","0","60","48","43","True","True","True","0.002","0.068","0","0","1920","1080","0","0","1920","1080","20","5","5","12","True","1384","513","15","27","342961","6930","401","164600","10.9586","0.0886","10.87","normal","True","False","False"
