"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","scan_loop_hz","scan_due_hz","scan_started_hz","scan_completed_hz","scan_failed_count","scan_publish_attempt_count","scan_publish_success_count","scan_skip_pending_count","scan_skip_not_due_count","scan_overwritten_count","scan_get_ow_entities_ms","scan_result_raw_count","scan_pending_age_ms","scan_generation","scan_root_ms","scan_list_read_ms","scan_slot_walk_ms","scan_record_build_ms","scan_match_link_ms","scan_cn_ne_target_map_ms","scan_cn_ne_self_validation_ms","scan_component_only_validation_ms","scan_dynamic_pair_ms","scan_finalize_ms","scan_dma_reads_delta","scan_dma_fail_delta","scan_list_read_count","scan_list_read_fail_count","scan_list_fallback_read_count","scan_record_add_attempt_count","scan_record_duplicate_count","scan_record_header_read_count","scan_record_header_fail_count","scan_record_remote_fallback_read_count","scan_pool_id_read_count","scan_match_lookup_count","scan_match_lookup_hit_count","scan_add_pair_attempt_count","scan_add_pair_duplicate_count","scan_link_decrypt_attempt_count","scan_link_decrypt_success_count","scan_playable_validation_attempt_count","scan_playable_validation_success_count","scan_cn_ne_map_candidate_count","scan_cn_ne_target_map_attempt_count","scan_cn_ne_target_map_success_count","scan_cn_ne_bucket_entry_scan_count","scan_component_only_validation_attempt_count","scan_component_only_validation_success_count","scan_detail_records","scan_detail_total_pairs","scan_light_scan_enabled","scan_light_unvalidated_pairs","scan_light_cap_hits","entity_cycle_ms","entity_cycle_dma_reads_delta","entity_cycle_dma_fail_delta","phase_consume_scan_ms","phase_previous_snapshot_copy_ms","phase_hot_scatter_prepare_ms","phase_hot_scatter_execute_ms","phase_base_cache_ms","phase_base_decrypt_ms","phase_health_ms","phase_hero_ms","phase_visibility_ms","phase_skeleton_ms","phase_skill_ms","phase_team_name_ms","phase_local_select_ms","phase_publish_ms","hot_scatter_requested_count","hot_scatter_prepare_requested_count","hot_scatter_prepare_success_count","hot_scatter_prepare_fail_count","hot_scatter_execute_count","hot_scatter_execute_fail_count","hot_scatter_bytes_requested","hot_scatter_bytes_read","hot_scatter_short_read_count","hot_scatter_batch_items","hot_scatter_batch_requests","hot_scatter_estimated_unique_pages","hot_scatter_success_count","hot_scatter_partial_count","hot_scatter_fallback_read_count","visibility_scatter_hit_count","base_cache_hit_count","base_cache_miss_count","base_decrypt_attempt_count","base_decrypt_success_count","base_decrypt_fail_count","skeleton_cache_hit_count","skeleton_cache_miss_count","skeleton_block_read_bytes","skeleton_fallback_get_bone_pos_count","visibility_fallback_count","skill_due_count","skill_read_count","skill_skipped_not_due_count","entity_record_created_count","entity_record_updated_actor_count","entity_record_link_changed_count","entity_record_mark_missing_count","entity_record_mark_dead_count","entity_record_expired_count","component_cache_hit_count","component_cache_miss_count","component_cache_invalidate_interval_count","component_cache_invalidate_link_change_count","component_cache_invalidate_health_resurrect_count","component_cache_invalidate_hero_change_count","dynamic_cache_created_count","dynamic_cache_reused_count","dynamic_cache_replaced_count","dynamic_cache_expired_count","sdk_component_key_cache_hit_count","sdk_component_key_cache_miss_count","sdk_begin_frame_scan_count","sdk_begin_frame_process_count","sdk_begin_frame_unknown_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","render_prediction_candidates","render_prediction_applied","render_prediction_world_delta_fallback","render_prediction_max_lead_ms","render_prediction_max_offset_cm","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/26 12:41:11","300.851","300.851","19","6.337","0.225","6.41","156","19","1.37615","1.37615","0.229358","0.229358","0","6","6","21","0","0","4330.5","30","31","6","0.486","4.117","0.007","1583.56","1169.12","2232.12","19.786","426.687","0.003","0","26906","429","4","0","0","16384","1","1106","0","1107","1106","17","17","43","17","1156","17","1106","0","2313","34","34","17","1157","5","1106","26","0","0","0","145.89","973","4","0","0.003","0.02","7.306","0.002","22.966","0","0.004","0","19.714","27.293","14.573","0.759","0.017","78","78","78","0","11","0","79224","79224","0","12","48","77","78","0","0","17","12","14","184","95","89","12","5","36060","0","0","10","30","12","0","0","10","0","0","0","12","14","0","14","0","3","0","4","0","0","0","0","7","245","0","62.5","0","0","172","7360","0","135","118","105","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","19","11","11","17","0","0","0","0","5","True","1718","737","23","42","173073","2786","410","164262","3.676","0.8852","2.7908","normal","True","True","False"
"2026/6/26 12:41:13","89.7241","89.7241","17","6.337","0.229","8","78","17","1.18092","1.18092","0.236183","0.236183","0","7","7","30","0","0","4199.81","26","47","7","0.341","3.321","0.004","1404.25","1237.87","2292.72","10.491","425.408","0.004","0","27468","442","4","0","0","16384","5","1105","0","1110","1105","17","17","43","17","1156","17","1105","0","2313","34","34","17","1157","5","1105","26","0","0","0","121.141","832","30","0","0.001","0.015","7.259","0.64","26.746","0","0.002","0","13.793","30.441","9.087","0.459","0.011","78","78","78","0","12","0","79224","79224","0","11","44","77","78","0","0","17","12","10","120","95","25","11","6","34416","1","0","10","30","12","0","0","10","0","0","0","12","10","0","10","0","3","0","4","0","0","0","0","8","258","0","62.5","0","16","172","7824","0","135","118","105","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","17","10","10","17","4","1","100","45","5","True","1728","737","23","41","186470","3124","409","164262","11.0078","7.6633","3.3445","normal","True","True","False"
"2026/6/26 12:41:15","88.3051","88.3051","17","6.337","0.229","3.039","343","17","1.18092","1.18092","0.236183","0.236183","0","7","7","30","0","0","4199.81","26","47","7","0.341","3.321","0.004","1404.25","1237.87","2292.72","10.491","425.408","0.004","0","27468","442","4","0","0","16384","5","1105","0","1110","1105","17","17","43","17","1156","17","1105","0","2313","34","34","17","1157","5","1105","26","0","0","0","339.355","931","0","0","0.002","0.019","8.747","0.539","25.022","0","0","0","19.646","32.158","15.726","0.863","0.012","78","78","78","0","12","0","79224","79224","0","11","44","77","78","0","0","17","12","10","120","95","25","11","6","34416","1","0","10","30","12","0","0","10","0","0","0","12","10","0","10","0","3","0","4","0","0","0","0","8","267","0","66.666","0","0","172","7999","0","149","130","116","True","True","True","0.003","0.031","0","0","1920","1080","0","0","1920","1080","17","10","10","15","0","0","0","0","5","True","1650","741","24","44","198127","3164","413","166523","11.0168","8.4407","2.5761","normal","True","True","False"
"2026/6/26 12:41:17","85.9987","85.9987","17","6.337","0.234","3.773","63","17","2.25378","2.25378","0.225378","0.225378","0","8","8","33","0","0","4376.51","26","16","8","1.604","4.42","0.006","1408.21","1223.79","2287.98","14.779","600.661","0.006","0","27209","367","4","0","0","16384","1","1113","0","1114","1113","17","17","43","17","1165","17","1113","0","2329","34","34","17","1164","5","1113","26","0","0","0","266.323","1825","76","0","0.002","0.002","12.772","0.006","61.368","0","0.005","0","28.231","74.492","19.883","19.769","0.01","75","75","75","0","22","0","77804","77804","0","0","0","73","75","0","0","16","0","22","269","220","49","0","16","30552","2","0","21","66","0","0","0","10","0","0","0","0","22","12","10","0","3","0","4","0","0","0","0","9","279","0","62.5","0","0","172","8166","0","149","130","116","True","True","True","0.002","0.031","0","0","1920","1080","0","0","1920","1080","17","7","7","15","0","0","0","0","6","True","1497","710","27","49","211321","3420","413","166523","9.6165","7.6747","1.9418","normal","True","True","False"
"2026/6/26 12:41:19","83.4435","83.4435","17","6.337","0.234","5.813","344","17","2.25378","2.25378","0.225378","0.225378","0","8","8","33","0","0","4376.51","26","16","8","1.604","4.42","0.006","1408.21","1223.79","2287.98","14.779","600.661","0.006","0","27209","367","4","0","0","16384","1","1113","0","1114","1113","17","17","43","17","1165","17","1113","0","2329","34","34","17","1164","5","1113","26","0","0","0","176.929","1144","1","0","0.002","0.021","8.893","0","29.433","0","0.006","0","12.601","38.095","15.326","25.14","0.014","74","74","74","0","11","0","75572","75572","0","11","44","71","74","0","0","16","11","11","140","95","45","11","5","30552","2","0","11","36","11","0","0","10","0","0","0","11","11","1","10","0","3","0","4","0","0","0","0","9","290","0","31.25","0","0","172","8337","0","149","130","116","True","True","True","0.002","0.031","0","0","1920","1080","0","0","1920","1080","17","8","8","15","0","0","0","0","5","True","1420","711","28","51","224436","3543","413","166523","12.963","8.3546","4.6084","normal","True","True","False"
"2026/6/26 12:41:21","86.1754","86.1754","18","5.714","0.228","4.566","63","18","0.941176","0.941176","0.235294","0.235294","0","9","9","40","0","0","4224.38","27","32","9","0.327","4.797","0.01","1309.24","1134.39","2334.46","16.146","503.549","0.004","0","26461","386","4","0","0","16384","5","1118","0","1123","1118","17","17","41","17","1169","17","1118","0","2340","34","34","17","1171","3","1118","24","0","0","0","216.879","1460","46","0","0.002","0.006","14.538","0.005","43.355","0","0.005","0","26.991","51.62","15.699","18.368","0.011","65","65","65","0","18","0","63868","63868","0","1","4","68","65","0","0","15","1","22","284","184","100","1","14","32196","0","0","16","51","1","0","0","4","0","0","0","1","22","12","10","0","2","0","4","0","0","0","0","10","305","0","62.5","0","0","172","8510","0","149","130","116","True","True","True","0.002","0.031","0","0","1920","1080","0","0","1920","1080","18","10","10","16","0","0","0","0","4","True","1509","720","27","48","236561","3744","415","166523","10.8291","8.0776","2.7515","normal","True","True","False"
"2026/6/26 12:41:23","81.7418","81.7418","18","5.714","0.228","9.174","281","18","0.941176","0.941176","0.235294","0.235294","0","9","9","40","0","0","4224.38","27","32","9","0.327","4.797","0.01","1309.24","1134.39","2334.46","16.146","503.549","0.004","0","26461","386","4","0","0","16384","5","1118","0","1123","1118","17","17","41","17","1169","17","1118","0","2340","34","34","17","1171","3","1118","24","0","0","0","99.047","657","3","0","0.003","0.022","9.036","0.001","18.47","0","0","0","19.837","13.014","4.147","0.447","0.012","66","66","66","0","8","0","66100","66100","0","12","48","68","66","0","0","15","12","11","153","63","90","12","3","32196","0","0","5","15","12","0","0","4","0","0","0","12","11","1","10","0","2","0","4","0","0","0","0","10","321","0","66.666","0","0","172","8671","0","149","130","116","True","True","True","0.002","0.031","0","0","1920","1080","0","0","1920","1080","18","8","8","16","0","0","0","0","6","True","1626","744","25","45","249831","3948","414","166523","11.2767","8.234","3.0427","normal","True","True","False"
"2026/6/26 12:41:25","74.4717","74.4717","20","5.714","0.234","8","250","20","1.99203","1.99203","0.249004","0.249004","0","10","10","43","0","0","3979.45","31","16","10","0.517","4.207","0.002","1317.07","1128.57","2144.69","19.016","445.608","0.002","0","26490","444","4","0","0","16384","2","1112","0","1114","1112","17","17","43","17","1164","17","1112","0","2326","34","34","17","1162","5","1112","26","0","0","0","133.925","895","33","0","0.002","0.021","11.296","0.001","23.935","0","0.001","0.001","16.378","30.409","9.614","0.31","0.011","80","80","80","0","13","0","83688","83688","0","12","48","79","80","0","0","17","12","15","200","106","94","12","5","36060","0","0","10","30","12","0","0","10","0","0","0","12","15","1","14","0","3","0","4","0","0","0","0","11","337","0","62.5","78","78","172","8838","0","153","133","118","True","True","True","0.001","0.031","0","0","1920","1080","0","0","1920","1080","20","10","10","18","0","0","0","0","6","True","1737","736","23","42","262693","4154","413","166523","12.5054","10.1223","2.3831","normal","True","True","False"
"2026/6/26 12:41:27","80.3018","80.3018","20","5.714","0.234","5.813","219","20","1.99203","1.99203","0.249004","0.249004","0","10","10","43","0","0","3979.45","31","16","10","0.517","4.207","0.002","1317.07","1128.57","2144.69","19.016","445.608","0.002","0","26490","444","4","0","0","16384","2","1112","0","1114","1112","17","17","43","17","1164","17","1112","0","2326","34","34","17","1162","5","1112","26","0","0","0","176.641","1169","1","0","0.002","0.017","9.819","0","27.331","0","0.001","0","17.969","29.526","11.334","25.644","0.015","79","79","79","0","12","0","81456","81456","0","12","48","78","79","0","0","17","12","15","202","101","101","12","5","36060","0","0","11","36","12","0","0","10","0","0","0","12","15","1","14","0","3","0","4","0","0","0","0","11","347","0","62.5","0","0","172","8991","0","160","139","124","True","True","True","0.002","0.031","0","0","1920","1080","0","0","1920","1080","20","10","10","18","0","0","0","0","6","True","1723","735","24","44","275136","4373","415","166523","11.4185","9.0176","2.4009","normal","True","True","False"
"2026/6/26 12:41:29","81.5654","81.5654","19","5.714","0.25","7.142","156","19","0.934361","0.934361","0.23359","0.23359","0","11","11","45","0","0","4248.43","31","0","11","0.768","4.591","0.003","1572.46","1196.61","2176.35","15.907","418.784","0.002","0","26644","395","4","0","0","16384","2","1102","0","1104","1102","17","17","43","17","1153","17","1102","0","2305","34","34","17","1152","5","1102","26","0","0","0","136.962","935","44","0","0.002","0.029","7.445","0","28.092","0","0.001","0","17.16","34.658","7.882","0.527","0.012","78","78","78","0","11","0","79224","79224","0","12","48","76","78","0","0","17","12","15","204","95","109","12","5","36060","0","0","10","30","12","0","0","10","0","0","0","12","15","1","14","0","3","0","4","0","0","0","0","12","358","0","66.666","0","0","172","9145","0","160","139","124","True","True","True","0.002","0.031","0","0","1920","1080","0","0","1920","1080","19","11","11","17","0","0","0","0","5","True","1614","744","25","45","288387","4534","415","166523","16.3494","11.6806","4.6688","normal","True","True","False"
