"captured_at","fps","entity_count","entity_process_hz","entity_scan_hz","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/25 1:41:48","0","0","0","0","0","0","0","0","3.0196","0.0322","2.9874","normal","False","False","True"
"2026/6/25 1:41:50","0","17","0","1.883","9550","815","324","13109","2.9371","0.0755","2.8616","normal","True","False","False"
"2026/6/25 1:41:52","0","17","18.462","1.28","23915","1816","344","13109","3.1076","0.0886","3.019","normal","True","False","False"
"2026/6/25 1:41:54","56.1594","17","18.462","1.333","36248","2642","378","161784","2.872","0.0845","2.7875","normal","True","False","False"
"2026/6/25 1:41:56","56.1594","17","18.462","1.232","50282","3599","374","161784","2.8784","0.0844","2.794","normal","True","False","False"
"2026/6/25 1:41:58","59.9876","17","13.963","1.256","64527","4556","371","161784","2.7023","0.0719","2.6304","normal","True","False","False"
"2026/6/25 1:42:00","59.9876","17","13.963","1.422","76633","5404","384","162548","3.1114","0.0745","3.0369","normal","True","False","False"
"2026/6/25 1:42:02","59.9876","17","13.572","1.23","90922","6350","380","162548","2.8316","0.0798","2.7518","normal","True","False","False"
"2026/6/25 1:42:04","59.9914","17","13.572","1.422","104434","7247","377","162548","2.8062","0.0951","2.7111","normal","True","False","False"
"2026/6/25 1:42:06","59.9914","19","13.664","0.941","117722","8181","384","162548","2.8179","0.0687","2.7492","normal","True","False","False"
"2026/6/25 1:42:08","59.9883","19","13.664","1.362","132051","9137","381","162548","2.8287","0.0864","2.7423","normal","True","False","False"
"2026/6/25 1:42:10","59.9883","19","15.736","1.307","143484","9884","390","162548","2.7831","0.076","2.7071","normal","True","False","False"
"2026/6/25 1:42:12","59.9883","19","15.736","1.23","157823","10870","387","162548","2.754","0.0737","2.6803","normal","True","False","False"
"2026/6/25 1:42:14","59.7905","19","13.815","1.279","172225","11846","385","162548","2.9697","0.0926","2.8771","normal","True","False","False"
"2026/6/25 1:42:16","59.7905","19","13.815","1.393","184281","12657","389","162548","2.7115","0.0801","2.6314","normal","True","False","False"
"2026/6/25 1:42:18","59.9961","17","13.474","1.362","198584","13611","387","162548","2.7365","0.0708","2.6657","normal","True","False","False"
"2026/6/25 1:42:20","59.9961","17","13.474","1.361","212911","14558","386","162548","2.9304","0.0837","2.8467","normal","True","False","False"
"2026/6/25 1:42:22","59.9961","17","14.272","0.928","225078","15385","389","162548","2.7345","0.0727","2.6618","normal","True","False","False"
"2026/6/25 1:42:24","59.9878","17","14.272","1.305","238570","16274","389","162548","2.7147","0.0677","2.647","normal","True","False","False"
"2026/6/25 1:42:26","59.9878","17","14.33","1.164","251196","17107","391","162548","3.0155","0.0768","2.9387","normal","True","False","False"
"2026/6/25 1:42:28","59.9924","19","14.33","0.955","265372","18092","390","162548","2.913","0.0758","2.8372","normal","True","False","False"
"2026/6/25 1:42:30","59.9924","19","14.545","1.23","279496","19005","388","162548","2.8195","0.0768","2.7427","normal","True","False","False"
"2026/6/25 1:42:32","59.9924","19","14.545","1.361","291580","19730","389","162548","2.7609","0.0719","2.689","normal","True","False","False"
"2026/6/25 1:42:34","59.7941","19","14.656","1.307","305795","20628","388","162548","2.7503","0.0777","2.6726","normal","True","False","False"
"2026/6/25 1:42:36","59.7941","19","14.656","1.255","320027","21587","387","162548","2.8448","0.075","2.7698","normal","True","False","False"
"2026/6/25 1:42:38","59.9981","19","14.885","1.28","332569","22382","388","162548","2.7599","0.0858","2.6741","normal","True","False","False"
"2026/6/25 1:42:40","59.9981","17","14.885","1.163","346057","23229","388","162548","2.6889","0.0817","2.6072","normal","True","False","False"
"2026/6/25 1:42:42","59.9864","17","15.06","1.279","360081","24187","387","162548","2.7854","0.0868","2.6986","normal","True","False","False"
"2026/6/25 1:42:44","59.9864","17","15.06","1.333","372543","24959","388","162548","2.863","0.0815","2.7815","normal","True","False","False"
"2026/6/25 1:42:46","59.9864","19","15.06","1.362","386921","26000","387","162548","2.8118","0.0857","2.7261","normal","True","False","False"
