"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","scan_loop_hz","scan_due_hz","scan_started_hz","scan_completed_hz","scan_failed_count","scan_publish_attempt_count","scan_publish_success_count","scan_skip_pending_count","scan_skip_not_due_count","scan_overwritten_count","scan_get_ow_entities_ms","scan_result_raw_count","scan_pending_age_ms","scan_generation","scan_root_ms","scan_list_read_ms","scan_slot_walk_ms","scan_record_build_ms","scan_match_link_ms","scan_cn_ne_target_map_ms","scan_cn_ne_self_validation_ms","scan_component_only_validation_ms","scan_dynamic_pair_ms","scan_finalize_ms","scan_dma_reads_delta","scan_dma_fail_delta","scan_list_read_count","scan_list_read_fail_count","scan_list_fallback_read_count","scan_record_add_attempt_count","scan_record_duplicate_count","scan_record_header_read_count","scan_record_header_fail_count","scan_record_remote_fallback_read_count","scan_pool_id_read_count","scan_match_lookup_count","scan_match_lookup_hit_count","scan_add_pair_attempt_count","scan_add_pair_duplicate_count","scan_link_decrypt_attempt_count","scan_link_decrypt_success_count","scan_playable_validation_attempt_count","scan_playable_validation_success_count","scan_cn_ne_map_candidate_count","scan_cn_ne_target_map_attempt_count","scan_cn_ne_target_map_success_count","scan_cn_ne_bucket_entry_scan_count","scan_component_only_validation_attempt_count","scan_component_only_validation_success_count","scan_detail_records","scan_detail_total_pairs","scan_light_scan_enabled","scan_light_unvalidated_pairs","scan_light_cap_hits","entity_cycle_ms","entity_cycle_dma_reads_delta","entity_cycle_dma_fail_delta","phase_consume_scan_ms","phase_previous_snapshot_copy_ms","phase_hot_scatter_prepare_ms","phase_hot_scatter_execute_ms","phase_base_cache_ms","phase_base_decrypt_ms","phase_health_ms","phase_hero_ms","phase_visibility_ms","phase_skeleton_ms","phase_skill_ms","phase_team_name_ms","phase_local_select_ms","phase_publish_ms","hot_scatter_requested_count","hot_scatter_prepare_requested_count","hot_scatter_prepare_success_count","hot_scatter_prepare_fail_count","hot_scatter_execute_count","hot_scatter_execute_fail_count","hot_scatter_bytes_requested","hot_scatter_bytes_read","hot_scatter_short_read_count","hot_scatter_batch_items","hot_scatter_batch_requests","hot_scatter_estimated_unique_pages","hot_scatter_success_count","hot_scatter_partial_count","hot_scatter_fallback_read_count","visibility_scatter_hit_count","base_cache_hit_count","base_cache_miss_count","base_decrypt_attempt_count","base_decrypt_success_count","base_decrypt_fail_count","skeleton_cache_hit_count","skeleton_cache_miss_count","skeleton_block_read_bytes","skeleton_fallback_get_bone_pos_count","visibility_fallback_count","skill_due_count","skill_read_count","skill_skipped_not_due_count","entity_record_created_count","entity_record_updated_actor_count","entity_record_link_changed_count","entity_record_link_changed_same_component_count","entity_record_link_changed_component_changed_count","entity_record_link_changed_same_hero_count","entity_record_link_changed_hero_changed_count","entity_record_link_changed_hero_unknown_count","entity_record_link_changed_match_key_count","entity_record_link_changed_link_key_count","entity_record_link_changed_component_key_count","entity_record_mark_missing_count","entity_record_mark_dead_count","entity_record_expired_count","component_cache_hit_count","component_cache_miss_count","component_cache_invalidate_interval_count","component_cache_invalidate_link_change_count","component_cache_invalidate_health_resurrect_count","component_cache_invalidate_hero_change_count","component_cache_link_change_previous_match_id_known_count","component_cache_link_change_previous_match_id_zero_count","component_cache_link_change_previous_match_id_unknown_count","component_cache_link_change_record_alias_hit_count","component_cache_link_change_record_alias_miss_count","component_cache_link_change_record_published_count","component_cache_link_change_record_bases_valid_count","component_cache_link_change_record_match_key_count","component_cache_link_change_record_link_key_count","component_cache_link_change_record_component_key_count","component_cache_link_retain_attempt_count","component_cache_link_retain_success_count","component_cache_link_retain_rejected_disabled_count","component_cache_link_retain_rejected_record_store_disabled_count","component_cache_link_retain_rejected_missing_record_count","component_cache_link_retain_rejected_missing_match_id_count","component_cache_link_retain_rejected_component_changed_count","component_cache_link_retain_rejected_interval_count","component_cache_link_retain_rejected_hero_changed_count","component_cache_link_retain_rejected_hero_unknown_count","component_cache_link_retain_rejected_decrypt_fail_count","component_cache_link_retain_cached_hero_validate_count","component_cache_link_retain_refresh_decrypt_attempt_count","component_cache_link_retain_refresh_decrypt_success_count","component_cache_link_retain_refresh_decrypt_fail_count","component_cache_link_retain_refresh_link_attempt_count","component_cache_link_retain_refresh_link_success_count","component_cache_link_retain_refresh_link_fail_count","component_cache_link_retain_refresh_hero_attempt_count","component_cache_link_retain_refresh_hero_success_count","component_cache_link_retain_refresh_hero_fail_count","component_cache_link_retain_refresh_visibility_attempt_count","component_cache_link_retain_refresh_visibility_success_count","component_cache_link_retain_refresh_visibility_fail_count","component_cache_link_retain_refresh_angle_attempt_count","component_cache_link_retain_refresh_angle_success_count","component_cache_link_retain_refresh_angle_fail_count","component_cache_link_retain_refresh_angle_skipped_no_prior_count","dynamic_cache_created_count","dynamic_cache_reused_count","dynamic_cache_replaced_count","dynamic_cache_expired_count","record_store_enabled","record_store_size","record_store_fresh_count","record_store_missing_count","record_store_dead_count","record_store_expired_count","record_store_bases_valid_count","record_store_dynamic_valid_count","record_store_published_valid_count","sdk_component_key_cache_hit_count","sdk_component_key_cache_miss_count","sdk_begin_frame_scan_count","sdk_begin_frame_process_count","sdk_begin_frame_unknown_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","render_prediction_candidates","render_prediction_applied","render_prediction_world_delta_fallback","render_prediction_max_lead_ms","render_prediction_max_offset_cm","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/26 22:55:15","0","0","0","0","0","0","282","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0","0","0","1920","1080","0","0","1920","1080","0","0","0","0","0","0","0","0","0","False","0","0","0","0","0","0","0","0","0","0","0","normal","False","False","True"
"2026/6/26 22:55:17","398.452","398.452","0","0","0","62.5","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","55","0","66.666","0","0","0","0","0","0","0","0","True","True","True","0","0.002","0","0","1920","1080","0","0","1920","1080","0","0","0","0","0","0","0","0","0","False","0","0","0","0","8269","391","221","15698","2.5381","0.0231","2.515","normal","False","False","True"
"2026/6/26 22:55:19","237.546","237.546","17","40.844","0","10.638","94","17","0.470588","0.470588","0.470588","0.470588","0","1","1","4","0","0","2125.69","26","15","1","0.732","4.618","0.004","718.709","613.038","1133.58","8.162","226.062","0.003","0","13205","391","52","37","48","7680","0","1091","0","1092","1091","17","17","43","17","1141","17","1091","0","2282","34","34","17","1141","5","1091","26","0","0","0","99.856","641","0","0","0.002","0.037","4.249","14.722","8.387","0","0","0.002","13.785","17.723","21.815","1.516","0.012","83","83","83","0","6","0","79264","79264","0","17","68","76","73","0","0","22","22","0","30","15","15","22","0","44136","0","0","5","15","17","0","0","10","10","0","10","0","0","10","0","0","0","0","0","22","0","0","10","0","0","10","0","0","10","0","10","10","10","0","0","10","10","0","0","0","0","0","0","0","0","0","5","30","15","15","10","5","5","10","5","5","10","5","5","0","0","0","10","0","4","0","0","1","21","21","0","0","0","17","4","17","0","0","2","98","0","62.5","0","0","16","246","0","0","0","0","True","True","True","0.002","0.022","0","0","1920","1080","0","0","1920","1080","17","15","15","17","5","1","100","45","1","True","1333","516","18","33","21611","768","275","15698","3.2257","0.9844","2.2413","normal","True","True","False"
"2026/6/26 22:55:21","274.529","274.529","17","40.844","0","9.174","78","17","0.470588","0.470588","0.470588","0.470588","0","1","1","4","0","0","2125.69","26","15","1","0.732","4.618","0.004","718.709","613.038","1133.58","8.162","226.062","0.003","0","13205","391","52","37","48","7680","0","1091","0","1092","1091","17","17","43","17","1141","17","1091","0","2282","34","34","17","1141","5","1091","26","0","0","0","110.162","736","0","0","0.003","0.021","4.689","15.281","10.375","0","0","0","15.53","26.479","21.651","1.22","0.011","83","83","83","0","6","0","79264","79264","0","17","68","76","73","0","0","22","22","0","30","15","15","22","0","44136","0","0","5","15","17","0","0","10","10","0","10","0","0","10","0","0","0","0","0","22","0","0","10","0","0","10","0","0","10","0","10","10","10","0","0","10","10","0","0","0","0","0","0","0","0","0","5","30","15","15","10","5","5","10","5","5","10","5","5","0","0","0","10","0","4","0","0","1","21","21","0","0","0","17","4","17","0","0","2","115","0","66.666","0","15","156","770","0","42","36","26","True","True","True","0.002","0.022","0","0","1920","1080","0","0","1920","1080","17","15","15","17","4","1","100","46","1","True","1433","521","17","31","32853","768","349","162495","3.3872","0.9013","2.4859","normal","True","True","False"
"2026/6/26 22:55:23","258.968","258.968","17","13.667","0.464","10.638","125","17","1.36166","1.36166","0.272331","0.272331","0","2","2","7","0","0","3644.12","26","15","2","0.305","8.292","0","946.805","1049.29","1991.95","15.261","626.562","0.004","0","22237","382","52","37","48","7680","0","1094","0","1095","1094","17","17","43","17","1144","17","1094","0","2291","34","34","17","1147","5","1094","26","0","0","0","88.266","566","0","0","0.004","0.034","4.808","13.567","8.592","0","0.001","0","20.217","3.514","16.116","0.422","0.009","83","83","83","0","6","0","79264","79264","0","17","68","76","73","0","0","22","22","0","30","15","15","22","0","44136","0","0","1","3","21","0","0","10","10","0","10","0","0","10","0","0","0","0","0","22","0","0","10","0","0","10","0","0","10","0","10","10","10","0","0","10","10","0","0","0","0","0","0","0","0","0","5","30","15","15","10","5","5","10","5","5","10","5","5","0","0","0","10","0","4","0","0","1","21","21","0","0","0","17","4","17","0","0","3","135","0","62.5","0","16","156","1320","0","42","36","26","True","True","True","0.002","0.022","0","0","1920","1080","0","0","1920","1080","17","15","15","17","4","1","100","46","1","True","1497","517","16","30","45990","1150","362","162495","2.6967","0.6914","2.0053","normal","True","True","False"
"2026/6/26 22:55:25","292.097","292.097","17","13.667","0.272","9.09","47","17","1.19653","1.19653","0.299133","0.299133","0","3","3","8","0","0","3321.51","26","16","3","0.729","10.879","0.002","983.53","997.096","1872.66","13.575","388.575","0.003","0","21528","377","52","37","48","7680","0","1091","0","1092","1091","17","17","43","17","1144","17","1091","0","2286","34","34","17","1142","5","1091","26","0","0","0","103.229","714","27","0","0.003","0.034","5.602","21.274","14.934","0","0.001","0","16.824","17.411","19.032","0.484","0.01","83","83","83","0","6","0","79264","79264","0","17","68","76","73","0","0","22","22","0","30","15","15","22","0","44136","0","0","6","18","16","0","0","10","10","0","10","0","0","10","0","0","0","0","0","22","0","0","10","0","0","10","0","0","10","0","10","10","10","0","0","10","10","0","0","0","0","0","0","0","0","0","5","30","15","15","10","5","5","10","5","5","10","5","5","0","0","0","10","0","4","0","0","1","21","21","0","0","0","17","4","17","0","0","4","155","0","62.5","16","16","156","1887","0","42","36","26","True","True","True","0.004","0.022","0","0","1920","1080","0","0","1920","1080","17","15","15","17","4","1","100","46","1","True","1454","520","17","30","59103","1269","370","162495","2.8491","0.701","2.1481","normal","True","True","False"
"2026/6/26 22:55:27","267.983","267.983","17","13.667","0.272","10.752","79","17","1.19653","1.19653","0.299133","0.299133","0","3","3","8","0","0","3321.51","26","16","3","0.729","10.879","0.002","983.53","997.096","1872.66","13.575","388.575","0.003","0","21528","377","52","37","48","7680","0","1091","0","1092","1091","17","17","43","17","1144","17","1091","0","2286","34","34","17","1142","5","1091","26","0","0","0","95.656","604","0","0","0.002","0.03","7.304","12.133","18.345","0.001","0.001","0","10.501","9.582","11.302","0.815","0.009","81","81","81","0","8","0","76872","76872","0","15","60","76","75","0","0","22","20","2","48","31","17","18","4","36408","4","0","2","6","20","0","0","10","10","0","10","0","0","10","0","0","0","0","0","20","2","0","10","0","0","10","0","0","10","0","10","10","10","0","0","10","8","0","0","0","0","0","2","0","0","0","5","24","9","15","8","3","5","8","3","5","8","3","5","0","0","0","8","0","4","0","0","1","21","19","0","2","0","17","4","17","0","0","4","171","0","62.5","16","16","156","2450","0","87","72","55","True","True","True","0.003","0.049","0","0","1920","1080","0","0","1920","1080","17","13","13","17","4","1","100","50","1","True","1361","524","18","33","70765","1515","389","162495","6.6284","1.3972","5.2312","normal","True","True","False"
"2026/6/26 22:55:29","263.071","263.071","17","9.187","0.3","12.82","62","17","0.556483","0.556483","0.278242","0.278242","0","4","4","15","0","0","3577.36","26","47","4","0.248","8.789","0.001","1097.35","1162.3","2026.39","15.091","370.168","0.009","0","21647","365","52","37","48","7680","2","1072","0","1075","1072","17","17","41","17","1122","17","1072","0","2245","34","34","17","1123","3","1072","24","0","0","0","62.687","395","2","0","0.002","0.027","4.362","9.476","10.351","0","0.002","0","9.004","0","12.272","0.851","0.009","71","71","71","0","6","0","69552","69552","0","15","60","69","65","0","0","18","18","4","78","16","62","18","0","36408","0","0","0","0","18","0","0","6","6","0","6","0","0","6","0","0","0","0","0","18","4","0","10","0","0","10","0","0","10","0","8","8","10","0","0","10","6","0","0","0","0","0","4","0","0","0","3","18","9","9","6","3","3","6","3","3","6","3","3","0","0","0","6","0","4","0","0","1","21","19","0","2","0","15","4","17","0","0","5","192","0","62.5","15","15","156","2992","0","87","72","55","True","True","True","0.002","0.049","0","0","1920","1080","0","0","1920","1080","17","13","13","17","5","1","100","46","1","True","1259","498","19","35","83700","1699","391","162495","3.2251","0.9164","2.3087","normal","True","True","False"
"2026/6/26 22:55:31","300.083","300.083","17","9.187","0.3","16.129","63","17","0.556483","0.556483","0.278242","0.278242","0","4","4","15","0","0","3577.36","26","47","4","0.248","8.789","0.001","1097.35","1162.3","2026.39","15.091","370.168","0.009","0","21647","365","52","37","48","7680","2","1072","0","1075","1072","17","17","41","17","1122","17","1072","0","2245","34","34","17","1123","3","1072","24","0","0","0","67.09","457","7","0","0.002","0.023","4.679","8.28","6.82","0","0","0","8.709","0","6.655","0.299","0.011","71","71","71","0","6","0","69552","69552","0","15","60","68","65","0","0","18","18","4","79","15","64","18","0","36408","0","0","0","0","18","0","0","6","6","0","6","0","0","6","0","0","0","0","0","18","4","0","10","0","0","10","0","0","10","0","8","8","10","0","0","10","6","0","0","0","0","0","4","0","0","0","3","18","9","9","6","3","3","6","3","3","6","3","3","0","0","0","6","0","4","0","0","1","21","19","0","2","0","15","4","17","0","0","5","216","0","66.666","16","16","156","3573","0","87","72","55","True","True","True","0.001","0.049","0","0","1920","1080","0","0","1920","1080","17","13","13","17","5","1","100","45","1","True","1263","498","19","35","96904","1974","391","162495","2.9059","0.7411","2.1648","normal","True","True","False"
"2026/6/26 22:55:33","268.168","268.168","19","9.187","0.276","10.638","62","19","2.38095","2.38095","0.297619","0.297619","0","5","5","18","0","0","3315.81","30","15","5","1.295","10.138","0.002","966.216","1084.81","1918.96","14.71","353.17","0.003","0","21660","469","52","37","48","7680","0","1105","0","1106","1105","17","17","43","17","1156","17","1105","0","2315","34","34","17","1159","5","1105","26","0","0","0","91.938","569","4","0","0.003","0.029","6.622","14.551","10.597","0","0.002","0","18.328","0","14.869","1.377","0.01","84","84","84","0","7","0","81496","81496","0","17","68","76","74","0","0","22","22","4","94","19","75","22","0","44136","0","0","0","0","22","0","0","10","10","0","10","0","0","10","0","0","0","0","0","22","4","0","14","0","0","14","0","0","14","0","12","12","14","0","0","14","10","0","0","0","0","0","4","0","0","0","5","30","15","15","10","5","5","10","5","5","10","5","5","0","0","0","10","0","4","0","0","1","23","21","0","2","0","17","4","19","0","0","6","237","0","62.5","15","15","156","4130","0","87","72","55","True","True","True","0.002","0.049","0","0","1920","1080","0","0","1920","1080","19","15","15","19","5","1","100","45","1","True","1360","524","18","33","110214","2421","391","162495","3.2096","0.9399","2.2697","normal","True","True","False"
