"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","scan_loop_hz","scan_due_hz","scan_started_hz","scan_completed_hz","scan_skip_pending_count","scan_skip_not_due_count","scan_overwritten_count","scan_get_ow_entities_ms","scan_result_raw_count","scan_pending_age_ms","scan_generation","scan_detail_records","scan_detail_total_pairs","scan_light_scan_enabled","scan_light_unvalidated_pairs","scan_light_cap_hits","entity_cycle_ms","entity_cycle_dma_reads_delta","entity_cycle_dma_fail_delta","phase_consume_scan_ms","phase_previous_snapshot_copy_ms","phase_hot_scatter_prepare_ms","phase_hot_scatter_execute_ms","phase_base_cache_ms","phase_base_decrypt_ms","phase_health_ms","phase_hero_ms","phase_visibility_ms","phase_skeleton_ms","phase_skill_ms","phase_team_name_ms","phase_local_select_ms","phase_publish_ms","hot_scatter_requested_count","hot_scatter_success_count","hot_scatter_partial_count","hot_scatter_fallback_read_count","base_cache_hit_count","base_cache_miss_count","base_decrypt_attempt_count","candidate_backoff_enabled","candidate_backoff_min_failures","candidate_backoff_active_count","candidate_backoff_blocked_count","candidate_backoff_skipped_count","candidate_backoff_failure_count","candidate_backoff_soft_failure_count","candidate_backoff_probe_count","candidate_backoff_success_count","skeleton_block_read_bytes","skeleton_fallback_get_bone_pos_count","visibility_fallback_count","skill_read_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/25 20:20:27","59.9861","59.9861","17","21.575","0.561","32.258","0","17","0.503778","0.503778","0.503778","0.503778","0","0","0","1971.65","21","0","15","1093","21","1","17","0","33.234","251","26","0","0.002","0.02","1.5","0","0","0","0","0","11.238","0","0","0.419","0.009","51","51","0","0","17","0","0","1","1","2","0","0","0","0","0","0","36972","0","0","0","62.5","0","0","172","1587","0","40","34","28","True","True","True","0.001","0.024","0","0","1920","1080","0","0","1920","1080","17","12","12","4","True","1598","621","27","49","183309","6221","399","162516","9.3207","0.08","9.2407","normal","True","False","False"
"2026/6/25 20:20:29","59.5353","59.5353","17","19.795","0.508","21.276","31","17","0.571429","0.571429","0.571429","0.571429","0","0","0","1748.85","21","0","16","1074","21","1","17","0","45.713","315","0","0","0.002","0.016","3.243","1.259","0","0","0","0","12.217","0","0","2.817","0.008","51","51","0","0","17","0","0","1","1","2","0","0","0","0","0","0","33108","2","0","0","66.666","0","0","172","1708","0","40","34","28","True","True","True","0.002","0.024","0","0","1920","1080","0","0","1920","1080","17","10","10","4","True","1681","623","28","51","197446","6809","397","162516","5.3079","0.071","5.2369","normal","True","False","False"
"2026/6/25 20:20:31","61.0591","61.0591","17","19.795","0.571","32.258","31","17","0.571429","0.571429","0.571429","0.571429","0","0","0","1746.63","21","0","17","1113","21","1","17","0","34.645","242","0","0","0.004","0.025","1.523","0","0","0","0","0","10.196","0","0","0.361","0.013","60","60","0","0","15","0","0","1","1","4","2","2","0","0","0","0","33108","0","0","0","62.5","0","0","172","1829","0","50","42","34","True","True","True","0.001","0.024","0","0","1920","1080","0","0","1920","1080","17","9","9","5","True","1250","600","16","29","209912","7237","401","163054","9.2307","0.0714","9.1593","normal","True","False","False"
"2026/6/25 20:20:33","59.8624","59.8624","19","16.916","0.567","21.276","16","19","0.537924","0.537924","0.537924","0.537924","0","0","0","1857.83","23","0","18","1113","21","1","17","0","47.294","328","0","0","0.002","0.017","4.158","0","0","0","0","0","14.86","0","0.001","0.567","0.009","68","68","0","0","17","0","0","1","1","4","2","2","0","0","0","0","36972","0","0","0","62.5","16","16","172","1950","0","50","42","34","True","True","True","0.002","0.024","0","0","1920","1080","0","0","1920","1080","19","11","11","5","True","1250","600","16","28","223857","7631","399","163054","5.404","0.0695","5.3345","normal","True","False","False"
"2026/6/25 20:20:35","58.7176","58.7176","19","21.33","0.538","3.205","16","19","0.542299","0.542299","0.542299","0.542299","0","0","0","1838.2","23","0","19","1084","21","1","17","0","310.941","2035","0","0","0.004","0.012","12.447","0.006","63.251","0","0.002","0","45.834","73.425","31.501","18.092","0.01","68","68","0","0","2","15","180","1","1","4","2","2","0","0","0","0","36972","0","0","54","62.5","0","16","172","2070","0","50","42","34","True","True","True","0.002","0.024","0","0","1920","1080","0","0","1920","1080","19","12","12","4","True","1803","690","36","65","237187","8032","400","163054","10.4459","0.0804","10.3655","normal","True","False","False"
"2026/6/25 20:20:37","59.8805","59.8805","19","21.33","0.604","3.558","31","19","0.598086","0.598086","0.598086","0.598086","0","0","0","1660.19","23","0","21","1089","21","1","17","0","276.213","1951","35","0","0.002","0.013","15.176","0.002","43.967","0","0.001","0","51.978","61.607","31.876","8.587","0.01","66","66","0","0","2","15","180","1","1","4","2","2","0","0","0","0","36972","0","0","51","66.666","0","0","172","2191","0","50","42","34","True","True","True","0.003","0.024","0","0","1920","1080","0","0","1920","1080","19","11","11","5","True","1250","600","16","29","251112","8478","399","163054","5.4061","0.1017","5.3044","normal","True","False","False"
"2026/6/25 20:20:39","60.8179","60.8179","19","17.948","0.604","32.258","16","19","0.621504","0.621504","0.621504","0.621504","0","0","0","1606.33","23","0","22","1082","21","1","17","0","40.04","268","13","0","0.003","0.02","1.278","0","0","0.001","0","0","8.092","8.81","2.354","1.038","0.009","51","51","0","0","17","0","0","1","1","4","2","2","0","0","0","0","36972","0","0","6","62.5","0","0","172","2311","0","50","42","34","True","True","True","0.002","0.024","0","0","1920","1080","0","0","1920","1080","19","12","12","4","True","1758","637","28","51","265248","9006","397","163054","5.3056","0.0808","5.2248","normal","True","False","False"
"2026/6/25 20:20:41","60.1535","60.1535","19","20.209","0.622","3.367","32","19","0.561167","0.561167","0.561167","0.561167","0","0","0","1775.29","23","0","23","1087","21","1","17","0","288.355","2137","144","0","0.002","0.005","9.568","0.007","43.202","0","0","0","43.575","81.814","30.072","12.861","0.011","68","68","0","0","2","15","180","1","1","4","2","2","0","0","0","0","36972","0","0","48","66.666","32","16","172","2432","0","50","42","34","True","True","True","0.001","0.024","0","0","1920","1080","0","0","1920","1080","19","12","12","4","True","1599","622","27","48","278997","9558","397","163054","4.4542","0.0846","4.3696","normal","True","False","False"
"2026/6/25 20:20:43","58.7395","58.7395","19","20.209","0.561","31.25","47","19","0.529101","0.529101","0.529101","0.529101","0","0","0","1883.86","23","0","24","1086","21","1","17","0","34.496","301","65","0","0.003","0.022","2.322","0.338","0","0","0","0","8.667","0","0","0.306","0.009","68","68","0","0","17","0","0","1","1","4","2","2","0","0","0","0","35328","1","0","0","62.5","0","0","172","2552","0","60","50","40","True","True","True","0.003","0.024","0","0","1920","1080","0","0","1920","1080","19","11","11","4","True","1737","632","29","52","291606","10022","399","163054","5.1251","0.0818","5.0433","normal","True","False","False"
"2026/6/25 20:20:45","61.1976","61.1976","17","16.625","0.529","3.367","15","17","0.592417","0.592417","0.592417","0.592417","0","0","0","1684.11","21","0","25","1084","21","1","17","0","289.938","2044","0","0","0.002","0.006","22.035","0.011","43.614","0","0.001","0","50.919","67.574","24.092","16.226","0.01","64","64","0","0","2","14","168","1","1","5","3","1","0","0","0","0","35328","0","0","51","66.666","0","15","172","2673","0","60","50","40","True","True","True","0.003","0.024","0","0","1920","1080","0","0","1920","1080","17","10","10","5","True","1250","600","16","29","305803","10435","398","163054","9.3381","0.079","9.2591","normal","True","False","False"
