"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","scan_loop_hz","scan_due_hz","scan_started_hz","scan_completed_hz","scan_skip_pending_count","scan_skip_not_due_count","scan_overwritten_count","scan_get_ow_entities_ms","scan_result_raw_count","scan_pending_age_ms","scan_generation","scan_root_ms","scan_list_read_ms","scan_slot_walk_ms","scan_record_build_ms","scan_match_link_ms","scan_cn_ne_target_map_ms","scan_cn_ne_self_validation_ms","scan_component_only_validation_ms","scan_dynamic_pair_ms","scan_finalize_ms","scan_dma_reads_delta","scan_dma_fail_delta","scan_list_read_count","scan_list_read_fail_count","scan_list_fallback_read_count","scan_record_add_attempt_count","scan_record_duplicate_count","scan_record_header_read_count","scan_record_header_fail_count","scan_record_remote_fallback_read_count","scan_pool_id_read_count","scan_match_lookup_count","scan_match_lookup_hit_count","scan_add_pair_attempt_count","scan_add_pair_duplicate_count","scan_link_decrypt_attempt_count","scan_link_decrypt_success_count","scan_playable_validation_attempt_count","scan_playable_validation_success_count","scan_cn_ne_map_candidate_count","scan_cn_ne_target_map_attempt_count","scan_cn_ne_target_map_success_count","scan_cn_ne_bucket_entry_scan_count","scan_component_only_validation_attempt_count","scan_component_only_validation_success_count","scan_detail_records","scan_detail_total_pairs","scan_light_scan_enabled","scan_light_unvalidated_pairs","scan_light_cap_hits","entity_cycle_ms","entity_cycle_dma_reads_delta","entity_cycle_dma_fail_delta","phase_consume_scan_ms","phase_previous_snapshot_copy_ms","phase_hot_scatter_prepare_ms","phase_hot_scatter_execute_ms","phase_base_cache_ms","phase_base_decrypt_ms","phase_health_ms","phase_hero_ms","phase_visibility_ms","phase_skeleton_ms","phase_skill_ms","phase_team_name_ms","phase_local_select_ms","phase_publish_ms","hot_scatter_requested_count","hot_scatter_prepare_requested_count","hot_scatter_prepare_success_count","hot_scatter_prepare_fail_count","hot_scatter_execute_count","hot_scatter_execute_fail_count","hot_scatter_bytes_requested","hot_scatter_bytes_read","hot_scatter_short_read_count","hot_scatter_batch_items","hot_scatter_batch_requests","hot_scatter_estimated_unique_pages","hot_scatter_success_count","hot_scatter_partial_count","hot_scatter_fallback_read_count","base_cache_hit_count","base_cache_miss_count","base_decrypt_attempt_count","skeleton_block_read_bytes","skeleton_fallback_get_bone_pos_count","visibility_fallback_count","skill_read_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/26 0:52:11","59.7954","59.7954","19","6.213","0.274","4.926","31","19","2.21566","2.21566","0.246184","0.246184","46","0","0","4010.26","30","109","6","0.359","5.031","0","1017.8","1105.52","2470.31","26.67","439.567","0.002","0","23549","472","68","59","64","2304","3","1095","0","1098","1095","17","17","43","17","1140","17","1095","0","2281","34","34","17","1141","5","1095","26","0","0","0","195.713","1270","2","0","0.002","0.026","15.669","0","28.45","0","0.004","0","23.998","28.803","10.547","34.93","0.014","79","79","79","0","12","0","81456","81456","0","12","48","72","79","0","0","12","14","183","36972","0","0","36","66.666","0","0","328","1252","0","46","40","34","True","True","True","0.003","0.033","0","0","1920","1080","0","0","1920","1080","19","8","8","8","True","1854","584","28","51","150210","3042","395","160902","3.6053","0.0849","3.5204","normal","True","False","False"
"2026/6/26 0:52:13","59.9077","59.9077","19","6.213","0.242","8","16","19","5.31067","5.31067","0.265534","0.265534","56","0","0","3647.31","28","62","7","0.597","7.6","0","1009.14","1152.18","2149.03","17.957","406.413","0.003","0","24845","491","68","59","64","2304","4","1105","0","1109","1105","17","17","43","17","1151","17","1105","0","2301","34","34","17","1150","5","1105","26","0","0","0","128.531","900","40","0","0.003","0.021","5.491","0","24.906","0","0","0","16.95","29.468","13.507","0.363","0.013","78","78","78","0","11","0","79224","79224","0","12","48","71","78","0","0","12","12","160","36972","0","0","30","62.5","0","0","328","1373","0","46","40","34","True","True","True","0.002","0.033","0","0","1920","1080","0","0","1920","1080","19","8","8","8","True","1854","584","28","51","163532","3126","396","160902","3.8152","0.0809","3.7343","normal","True","False","False"
"2026/6/26 0:52:15","59.9163","59.9163","19","6.213","0.242","4.566","15","19","5.31067","5.31067","0.265534","0.265534","56","0","0","3647.31","28","62","7","0.597","7.6","0","1009.14","1152.18","2149.03","17.957","406.413","0.003","0","24845","491","68","59","64","2304","4","1105","0","1109","1105","17","17","43","17","1151","17","1105","0","2301","34","34","17","1150","5","1105","26","0","0","0","210.352","1382","2","0","0.002","0.022","10.661","0.001","37.582","0","0.002","0","19.684","34.2","14.678","39.461","0.012","78","78","78","0","11","0","79224","79224","0","12","48","71","78","0","0","12","12","160","36972","0","0","36","66.666","0","0","328","1493","0","55","48","41","True","True","True","0.002","0.033","0","0","1920","1080","0","0","1920","1080","19","8","8","8","True","1854","584","28","51","176200","3500","399","160902","3.6639","0.082","3.5819","normal","True","False","False"
"2026/6/26 0:52:17","59.7171","59.7171","17","6.213","0.27","5.813","46","17","2.86235","2.86235","0.260213","0.260213","59","0","0","3782.9","27","16","8","0.819","7.42","0","1039.97","1345.94","2276.8","15.341","384.675","0.002","0","24818","435","68","59","64","2304","1","1099","0","1100","1099","17","17","43","17","1144","17","1099","0","2291","34","34","17","1147","5","1099","26","0","0","0","172.242","1244","54","0","0.001","0.014","7.966","0","24.986","0","0.002","0","17.045","32.897","14.514","31.522","0.011","79","79","79","0","12","0","81456","81456","0","12","48","73","79","0","0","12","11","137","36972","0","0","36","66.666","0","0","328","1614","0","55","48","41","True","True","True","0.002","0.033","0","0","1920","1080","0","0","1920","1080","17","8","8","8","True","1854","584","28","50","190041","3624","398","160902","3.7719","0.0827","3.6892","normal","True","False","False"
"2026/6/26 0:52:19","61.2897","61.2897","17","5.462","0.27","4.926","0","17","2.86235","2.86235","0.260213","0.260213","59","0","0","3782.9","27","16","8","0.819","7.42","0","1039.97","1345.94","2276.8","15.341","384.675","0.002","0","24818","435","68","59","64","2304","1","1099","0","1100","1099","17","17","43","17","1144","17","1099","0","2291","34","34","17","1147","5","1099","26","0","0","0","195.324","1277","0","0","0.002","0.017","10.039","0.002","29.852","0","0.003","0","26.852","37.683","11.32","20.664","0.011","78","78","78","0","11","0","79224","79224","0","12","48","71","78","0","0","12","11","139","36972","0","0","36","62.5","0","0","328","1734","0","55","48","41","True","True","True","0.003","0.033","0","0","1920","1080","0","0","1920","1080","17","8","8","8","True","1853","584","28","51","203860","3939","398","160902","3.7946","0.0628","3.7318","normal","True","False","False"
"2026/6/26 0:52:21","58.5885","58.5885","17","5.462","0.262","8","47","17","0.992063","0.992063","0.248016","0.248016","74","0","0","4003.88","26","93","9","0.605","7.504","0.001","1107.2","1130.44","2218.04","10.832","609.609","0.003","0","25385","427","68","59","64","2304","0","1104","0","1104","1104","17","17","42","17","1151","17","1104","0","2301","34","34","17","1150","4","1104","25","0","0","0","119.469","873","40","0","0.002","0.02","8.281","0","27.239","0","0.002","0","8.8","28.123","7.707","0.305","0.01","78","78","78","0","11","0","79224","79224","0","12","48","71","78","0","0","12","10","120","33108","2","0","30","66.666","0","16","328","1855","0","66","57","48","True","True","True","0.002","0.033","0","0","1920","1080","0","0","1920","1080","17","7","7","7","True","1854","584","28","51","215577","4039","402","160902","3.3419","0.0779","3.264","normal","True","False","False"
"2026/6/26 0:52:23","61.447","61.447","17","5.462","0.262","8","78","17","0.992063","0.992063","0.248016","0.248016","74","0","0","4003.88","26","93","9","0.605","7.504","0.001","1107.2","1130.44","2218.04","10.832","609.609","0.003","0","25385","427","68","59","64","2304","0","1104","0","1104","1104","17","17","42","17","1151","17","1104","0","2301","34","34","17","1150","4","1104","25","0","0","0","122.322","822","4","0","0.004","0.028","6.027","0.001","21.341","0","0.003","0","21.628","20.204","6.224","3.248","0.011","66","66","66","0","7","0","65064","65064","0","12","48","64","66","0","0","12","10","136","33108","0","0","18","66.666","0","15","328","1976","0","66","57","48","True","True","True","0.001","0.033","0","0","1920","1080","0","0","1920","1080","17","6","6","8","True","1854","584","28","51","229577","4367","401","160902","3.7576","0.0919","3.6657","normal","True","False","False"
"2026/6/26 0:52:25","59.9311","59.9311","18","5.462","0.244","9.174","63","18","4.06401","4.06401","0.254001","0.254001","81","0","0","3839.41","27","31","10","0.963","6.459","0","1132.42","1111.77","2180.09","16.065","457.325","0.008","0","25467","471","68","59","64","2304","1","1103","0","1104","1103","16","16","40","16","1148","16","1103","0","2296","32","32","16","1148","4","1103","24","0","0","0","108.95","704","30","0","0.002","0.017","4.609","0.001","15.572","0","0","0","24.662","20.812","8.405","1.255","0.011","68","68","68","0","8","0","68492","68492","0","12","48","66","68","0","0","12","11","148","33108","0","0","21","66.666","16","0","328","2096","0","67","57","48","True","True","True","0.002","0.033","0","0","1920","1080","0","0","1920","1080","18","7","7","8","True","1854","585","28","50","242225","4548","402","160902","8.5313","0.0831","8.4482","normal","True","False","False"
"2026/6/26 0:52:27","58.3644","58.3644","18","5.462","0.244","8","79","18","4.06401","4.06401","0.254001","0.254001","81","0","0","3839.41","27","31","10","0.963","6.459","0","1132.42","1111.77","2180.09","16.065","457.325","0.008","0","25467","471","68","59","64","2304","1","1103","0","1104","1103","16","16","40","16","1148","16","1103","0","2296","32","32","16","1148","4","1103","24","0","0","0","126.52","831","4","0","0.002","0.029","5.042","0","29.771","0","0.002","0.001","17.176","24.322","10.014","0.352","0.014","68","68","68","0","8","0","68492","68492","0","12","48","66","68","0","0","12","11","148","33108","0","0","21","62.5","16","0","328","2217","0","67","57","48","True","True","True","0.002","0.033","0","0","1920","1080","0","0","1920","1080","18","7","7","8","True","1855","585","28","50","256091","4900","401","160902","3.8382","0.0623","3.7759","normal","True","False","False"
"2026/6/26 0:52:29","59.913","59.913","19","6.587","0.257","7.092","62","19","2.11584","2.11584","0.26448","0.26448","88","0","0","3742.71","30","47","11","0.736","7.517","0.001","1086.84","1140.86","2129.45","15.487","446.801","0.004","0","25628","528","68","59","64","2304","0","1097","0","1097","1097","17","17","43","17","1143","17","1097","0","2285","34","34","17","1142","5","1097","26","0","0","0","144.062","1058","47","0","0.002","0.018","12.072","0","26.188","0","0","0","16.19","26.221","9.785","0.894","0.011","78","78","78","0","11","0","79224","79224","0","12","48","73","78","0","0","12","14","184","36972","0","0","30","62.5","15","0","328","2338","0","67","57","48","True","True","True","0.003","0.033","0","0","1920","1080","0","0","1920","1080","19","7","7","9","True","1854","584","28","51","270060","5157","400","160902","7.3723","0.0924","7.2799","normal","True","False","False"
