"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/25 18:27:46","59.8555","59.8555","0","0","0","0.984","844","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.001","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","7.1478","0.0318","7.116","normal","False","False","True"
"2026/6/25 18:27:48","59.7692","59.7692","0","0","0","0.985","875","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.004","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","3.7061","0.0234","3.6827","normal","False","False","True"
"2026/6/25 18:27:50","59.9691","59.9691","0","0","0","0.984","859","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.004","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","3.9432","0.0336","3.9096","normal","False","False","True"
"2026/6/25 18:27:52","59.8967","59.8967","0","0","0","1","860","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.004","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","4.0168","0.0156","4.0012","normal","False","False","True"
"2026/6/25 18:27:54","61.2871","61.2871","0","0","0","0.984","843","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.004","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","3.75","0.025","3.725","normal","False","False","True"
"2026/6/25 18:27:56","59.9619","59.9619","0","0","0","0.984","812","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.004","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","3.8342","0.0252","3.809","normal","False","False","True"
"2026/6/25 18:27:58","59.9334","59.9334","0","0","0","0.984","812","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.004","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","7.6368","0.0359","7.6009","normal","False","False","True"
"2026/6/25 18:28:00","59.9654","59.9654","0","0","0","0.984","797","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.004","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","8.2112","0.0274","8.1838","normal","False","False","True"
"2026/6/25 18:28:02","59.8083","59.8083","0","0","0","0.985","797","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.004","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","3.8239","0.0307","3.7932","normal","False","False","True"
"2026/6/25 18:28:04","59.9365","59.9365","0","0","0","0.984","781","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.004","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","3.8186","0.0278","3.7908","normal","False","False","True"
"2026/6/25 18:28:06","58.5942","58.5942","0","0","0","1","782","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.004","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","3.7268","0.0246","3.7022","normal","False","False","True"
"2026/6/25 18:28:08","59.9354","59.9354","0","0","0","0.984","765","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.004","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","3.6442","0.027","3.6172","normal","False","False","True"
"2026/6/25 18:28:10","59.959","59.959","0","0","0","0.985","766","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.004","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","6.7373","0.0291","6.7082","normal","False","False","True"
"2026/6/25 18:28:12","60.0963","60.0963","0","0","0","0.985","735","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.004","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","3.7387","0.0301","3.7086","normal","False","False","True"
"2026/6/25 18:28:14","59.3554","59.3554","0","0","0","0.984","734","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.004","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","3.7515","0.0301","3.7214","normal","False","False","True"
"2026/6/25 18:28:16","59.8768","59.8768","0","0","0","0.985","703","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.004","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","3.7407","0.0317","3.709","normal","False","False","True"
"2026/6/25 18:28:18","59.933","59.933","0","0","0","0.984","671","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.004","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","3.8873","0.0282","3.8591","normal","False","False","True"
"2026/6/25 18:28:20","59.8596","59.8596","0","0","0","1","672","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.004","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","4.0236","0.0341","3.9895","normal","False","False","True"
"2026/6/25 18:28:22","59.9815","59.9815","0","0","0","0.985","657","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.004","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","3.8206","0.0246","3.796","normal","False","False","True"
"2026/6/25 18:28:24","59.9924","59.9924","0","0","0","1","656","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.004","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","8.0483","0.0325","8.0158","normal","False","False","True"
"2026/6/25 18:28:26","59.8637","59.8637","0","0","0","0.985","625","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.004","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","7.7594","0.0277","7.7317","normal","False","False","True"
"2026/6/25 18:28:28","59.6782","59.6782","0","0","0","1","609","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.004","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","3.75","0.0267","3.7233","normal","False","False","True"
"2026/6/25 18:28:30","58.5164","58.5164","0","0","0","0.985","594","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.004","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","3.7185","0.0395","3.679","normal","False","False","True"
"2026/6/25 18:28:32","59.9748","59.9748","0","0","0","1","594","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.004","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","3.7082","0.0222","3.686","normal","False","False","True"
"2026/6/25 18:28:34","59.7744","59.7744","0","0","0","0.984","563","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.004","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","3.7235","0.029","3.6945","normal","False","False","True"
"2026/6/25 18:28:36","59.957","59.957","0","0","0","1","562","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.004","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","3.9028","0.0217","3.8811","normal","False","False","True"
"2026/6/25 18:28:38","59.7031","59.7031","0","0","0","0.984","547","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.004","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","7.6225","0.0308","7.5917","normal","False","False","True"
"2026/6/25 18:28:40","59.5565","59.5565","0","0","0","1","546","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.004","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","3.7038","0.0261","3.6777","normal","False","False","True"
"2026/6/25 18:28:42","61.4863","61.4863","0","0","0","0.984","531","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.004","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","4.0536","0.0237","4.0299","normal","False","False","True"
