"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","scan_loop_hz","scan_due_hz","scan_started_hz","scan_completed_hz","scan_failed_count","scan_publish_attempt_count","scan_publish_success_count","scan_skip_pending_count","scan_skip_not_due_count","scan_overwritten_count","scan_get_ow_entities_ms","scan_result_raw_count","scan_pending_age_ms","scan_generation","scan_root_ms","scan_list_read_ms","scan_slot_walk_ms","scan_record_build_ms","scan_match_link_ms","scan_cn_ne_target_map_ms","scan_cn_ne_self_validation_ms","scan_component_only_validation_ms","scan_dynamic_pair_ms","scan_finalize_ms","scan_dma_reads_delta","scan_dma_fail_delta","scan_list_read_count","scan_list_read_fail_count","scan_list_fallback_read_count","scan_record_add_attempt_count","scan_record_duplicate_count","scan_record_header_read_count","scan_record_header_fail_count","scan_record_remote_fallback_read_count","scan_pool_id_read_count","scan_match_lookup_count","scan_match_lookup_hit_count","scan_add_pair_attempt_count","scan_add_pair_duplicate_count","scan_link_decrypt_attempt_count","scan_link_decrypt_success_count","scan_playable_validation_attempt_count","scan_playable_validation_success_count","scan_cn_ne_map_candidate_count","scan_cn_ne_target_map_attempt_count","scan_cn_ne_target_map_success_count","scan_cn_ne_bucket_entry_scan_count","scan_component_only_validation_attempt_count","scan_component_only_validation_success_count","scan_detail_records","scan_detail_total_pairs","scan_light_scan_enabled","scan_light_unvalidated_pairs","scan_light_cap_hits","entity_cycle_ms","entity_cycle_dma_reads_delta","entity_cycle_dma_fail_delta","phase_consume_scan_ms","phase_previous_snapshot_copy_ms","phase_hot_scatter_prepare_ms","phase_hot_scatter_execute_ms","phase_base_cache_ms","phase_base_decrypt_ms","phase_health_ms","phase_hero_ms","phase_visibility_ms","phase_skeleton_ms","phase_skill_ms","phase_team_name_ms","phase_local_select_ms","phase_publish_ms","hot_scatter_requested_count","hot_scatter_prepare_requested_count","hot_scatter_prepare_success_count","hot_scatter_prepare_fail_count","hot_scatter_execute_count","hot_scatter_execute_fail_count","hot_scatter_bytes_requested","hot_scatter_bytes_read","hot_scatter_short_read_count","hot_scatter_batch_items","hot_scatter_batch_requests","hot_scatter_estimated_unique_pages","hot_scatter_success_count","hot_scatter_partial_count","hot_scatter_fallback_read_count","visibility_scatter_hit_count","base_cache_hit_count","base_cache_miss_count","base_decrypt_attempt_count","base_decrypt_success_count","base_decrypt_fail_count","skeleton_cache_hit_count","skeleton_cache_miss_count","skeleton_block_read_bytes","skeleton_fallback_get_bone_pos_count","visibility_fallback_count","skill_due_count","skill_read_count","skill_skipped_not_due_count","entity_record_created_count","entity_record_updated_actor_count","entity_record_link_changed_count","entity_record_link_changed_same_component_count","entity_record_link_changed_component_changed_count","entity_record_link_changed_same_hero_count","entity_record_link_changed_hero_changed_count","entity_record_link_changed_hero_unknown_count","entity_record_link_changed_match_key_count","entity_record_link_changed_link_key_count","entity_record_link_changed_component_key_count","entity_record_mark_missing_count","entity_record_mark_dead_count","entity_record_expired_count","component_cache_hit_count","component_cache_miss_count","component_cache_invalidate_interval_count","component_cache_invalidate_link_change_count","component_cache_invalidate_health_resurrect_count","component_cache_invalidate_hero_change_count","component_cache_link_change_previous_match_id_known_count","component_cache_link_change_previous_match_id_zero_count","component_cache_link_change_previous_match_id_unknown_count","component_cache_link_change_record_alias_hit_count","component_cache_link_change_record_alias_miss_count","component_cache_link_change_record_published_count","component_cache_link_change_record_bases_valid_count","component_cache_link_change_record_match_key_count","component_cache_link_change_record_link_key_count","component_cache_link_change_record_component_key_count","component_cache_link_retain_attempt_count","component_cache_link_retain_success_count","component_cache_link_retain_rejected_disabled_count","component_cache_link_retain_rejected_record_store_disabled_count","component_cache_link_retain_rejected_missing_record_count","component_cache_link_retain_rejected_missing_match_id_count","component_cache_link_retain_rejected_component_changed_count","component_cache_link_retain_rejected_interval_count","component_cache_link_retain_rejected_hero_changed_count","component_cache_link_retain_rejected_hero_unknown_count","component_cache_link_retain_rejected_decrypt_fail_count","component_cache_link_retain_cached_hero_validate_count","component_cache_link_retain_refresh_decrypt_attempt_count","component_cache_link_retain_refresh_decrypt_success_count","component_cache_link_retain_refresh_decrypt_fail_count","component_cache_link_retain_refresh_link_attempt_count","component_cache_link_retain_refresh_link_success_count","component_cache_link_retain_refresh_link_fail_count","component_cache_link_retain_refresh_hero_attempt_count","component_cache_link_retain_refresh_hero_success_count","component_cache_link_retain_refresh_hero_fail_count","component_cache_link_retain_refresh_visibility_attempt_count","component_cache_link_retain_refresh_visibility_success_count","component_cache_link_retain_refresh_visibility_fail_count","component_cache_link_retain_refresh_angle_attempt_count","component_cache_link_retain_refresh_angle_success_count","component_cache_link_retain_refresh_angle_fail_count","dynamic_cache_created_count","dynamic_cache_reused_count","dynamic_cache_replaced_count","dynamic_cache_expired_count","record_store_enabled","record_store_size","record_store_fresh_count","record_store_missing_count","record_store_dead_count","record_store_expired_count","record_store_bases_valid_count","record_store_dynamic_valid_count","record_store_published_valid_count","sdk_component_key_cache_hit_count","sdk_component_key_cache_miss_count","sdk_begin_frame_scan_count","sdk_begin_frame_process_count","sdk_begin_frame_unknown_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","render_prediction_candidates","render_prediction_applied","render_prediction_world_delta_fallback","render_prediction_max_lead_ms","render_prediction_max_offset_cm","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/26 22:42:56","352.43","352.43","0","0","0","0","672","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0.001","0","0","1920","1080","0","0","1920","1080","0","0","0","0","0","0","0","0","0","False","0","0","0","0","0","0","0","0","2.7709","0.0247","2.7462","normal","False","False","True"
"2026/6/26 22:42:58","361.202","361.202","0","40.844","0","62.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","70","0","62.5","0","0","0","0","0","0","0","0","True","True","True","0","0.002","0","0","1920","1080","0","0","1920","1080","0","0","0","0","0","0","0","0","0","False","0","0","0","0","10430","382","221","16224","3.1002","0.0129","3.0873","normal","False","False","True"
"2026/6/26 22:43:00","241.815","241.815","15","40.844","0","10.638","47","15","0.467071","0.467071","0.467071","0.467071","0","1","1","2","0","0","2144.8","24","15","1","1.287","3.725","0.004","760.206","597.103","1124.99","8.128","217.377","0.003","0","13161","382","52","37","48","7680","0","1079","0","1080","1079","17","17","41","17","1129","17","1079","0","2258","34","34","17","1129","3","1079","24","0","0","0","93.965","577","2","0","0.003","0.026","5.161","8.376","12.811","0","0.002","0","16.656","11.396","6.337","1.663","0.008","72","72","72","0","4","0","65736","65736","0","15","60","68","66","0","0","18","15","5","100","42","58","15","3","36408","0","0","3","9","15","0","0","6","6","0","6","0","0","6","0","0","0","0","0","15","5","2","6","0","0","6","0","0","6","0","6","6","6","0","0","6","3","0","0","0","0","0","0","0","0","3","3","24","9","15","6","3","3","6","3","3","6","3","3","6","0","6","0","4","0","0","1","19","19","0","0","0","15","4","15","0","0","2","102","0","62.5","0","16","16","348","0","0","0","0","True","True","True","0.001","0.007","0","0","1920","1080","0","0","1920","1080","15","13","13","15","3","1","100","46","1","True","1323","509","19","34","23603","816","294","16224","3.569","0.7245","2.8445","normal","True","True","False"
"2026/6/26 22:43:02","290.312","290.312","15","40.844","0","10.638","62","15","0.467071","0.467071","0.467071","0.467071","0","1","1","2","0","0","2144.8","24","15","1","1.287","3.725","0.004","760.206","597.103","1124.99","8.128","217.377","0.003","0","13161","382","52","37","48","7680","0","1079","0","1080","1079","17","17","41","17","1129","17","1079","0","2258","34","34","17","1129","3","1079","24","0","0","0","94.964","570","2","0","0.003","0.028","3.667","13.459","18.537","0.001","0.003","0","18.016","10.761","7.79","0.321","0.01","72","72","72","0","4","0","65736","65736","0","15","60","68","66","0","0","18","15","5","100","42","58","15","3","36408","0","0","3","9","15","0","0","6","6","0","6","0","0","6","0","0","0","0","0","15","5","2","6","0","0","6","0","0","6","0","6","6","6","0","0","6","3","0","0","0","0","0","0","0","0","3","3","24","9","15","6","3","3","6","3","3","6","3","3","6","0","6","0","4","0","0","1","19","19","0","0","0","15","4","15","0","0","2","116","0","66.666","0","15","172","934","0","50","41","36","True","True","True","0.001","0.016","0","0","1920","1080","0","0","1920","1080","15","13","13","15","5","1","100","45","1","True","1421","521","17","32","35268","850","358","160823","3.5179","0.7159","2.802","normal","True","True","False"
"2026/6/26 22:43:04","290.658","290.658","17","12.674","0.46","4.273","47","17","0.747198","0.747198","0.249066","0.249066","0","2","2","9","0","0","3992.61","28","47","2","0.31","14.037","0.006","1073.44","1162.25","2394.82","15.805","443.755","0.006","0","24401","473","52","37","48","7680","2","1116","0","1119","1116","17","17","43","17","1168","17","1116","0","2334","34","34","17","1166","5","1116","26","0","0","0","225.133","1487","2","0","0.002","0.034","8.121","15.574","31.709","0.001","0.001","0","20.828","44.739","25.732","39.734","0.01","88","88","88","0","7","0","80344","80344","0","16","64","77","78","0","0","22","16","8","152","81","71","16","6","42492","1","0","13","42","10","0","0","10","10","0","10","0","0","10","0","0","0","0","0","16","8","3","10","0","0","10","0","0","10","0","10","10","10","0","0","10","5","0","0","0","0","0","0","0","0","5","5","40","15","25","10","5","5","10","5","5","10","5","5","10","0","10","0","4","0","0","1","21","20","0","1","0","17","4","17","0","0","3","130","0","62.5","0","0","172","1469","0","50","41","36","True","True","True","0.006","0.023","0","0","1920","1080","0","0","1920","1080","17","14","14","15","0","0","0","0","1","True","1497","517","17","30","48320","1244","370","160823","3.6451","0.9222","2.7229","normal","True","True","False"
"2026/6/26 22:43:06","299.224","299.224","17","12.674","0.248","4.273","31","17","2.1972","2.1972","0.27465","0.27465","0","3","3","10","0","0","3595.98","28","15","3","0.443","8.295","0.003","1139.72","1097.96","1984.4","15.442","394.424","0.005","0","23738","411","52","37","48","7680","0","1089","0","1090","1089","17","17","43","17","1140","17","1089","0","2280","34","34","17","1140","5","1089","26","0","0","0","233.74","1553","3","0","0.002","0.019","4.67","15.451","25.561","0","0.001","0","28.791","54.643","33.081","35.283","0.01","84","84","84","0","6","0","76692","76692","0","16","64","72","74","0","0","21","16","8","160","70","90","16","5","42492","0","0","16","51","6","0","0","10","10","0","10","0","0","10","0","0","0","0","0","16","8","3","10","0","0","10","0","0","10","0","10","10","10","0","0","10","5","0","0","0","0","0","0","0","0","5","5","40","15","25","10","5","5","10","5","5","10","5","5","10","0","10","0","4","0","0","1","21","20","0","1","0","17","4","17","0","0","3","141","0","66.666","0","15","172","2040","0","50","41","36","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","17","14","14","15","0","0","0","0","1","True","1476","518","17","30","61683","1268","376","160823","3.2525","0.7469","2.5056","normal","True","True","False"
"2026/6/26 22:43:08","279.017","279.017","17","12.674","0.248","5.813","47","17","2.1972","2.1972","0.27465","0.27465","0","3","3","17","0","0","3595.98","28","47","3","0.443","8.295","0.003","1139.72","1097.96","1984.4","15.442","394.424","0.005","0","23738","411","52","37","48","7680","0","1089","0","1090","1089","17","17","43","17","1140","17","1089","0","2280","34","34","17","1140","5","1089","26","0","0","0","181.55","1165","2","0","0.002","0.025","6.344","17.383","34.298","0","0.003","0","18.512","51.941","28.816","0.298","0.01","84","84","84","0","6","0","76692","76692","0","16","64","72","74","0","0","21","16","8","159","71","88","16","5","42492","0","0","14","42","7","0","0","10","10","0","10","0","0","10","0","0","0","0","0","16","8","3","10","0","0","10","0","0","10","0","10","10","10","0","0","10","5","0","0","0","0","0","0","0","0","5","5","40","15","25","10","5","5","10","5","5","10","5","5","10","0","10","0","4","0","0","1","21","20","0","1","0","16","4","17","0","0","4","153","0","66.666","16","16","172","2597","0","92","74","66","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","17","14","14","17","5","1","100","45","1","True","1380","523","18","33","73377","1679","392","163863","3.6464","1.0923","2.5541","normal","True","True","False"
"2026/6/26 22:43:10","248.103","248.103","17","12.674","0.248","7.092","172","17","2.1972","2.1972","0.27465","0.27465","0","3","3","17","0","0","3595.98","28","47","3","0.443","8.295","0.003","1139.72","1097.96","1984.4","15.442","394.424","0.005","0","23738","411","52","37","48","7680","0","1089","0","1090","1089","17","17","43","17","1140","17","1089","0","2280","34","34","17","1140","5","1089","26","0","0","0","139.167","860","3","0","0.003","0.028","4.5","18.905","32.669","0.001","0","0.002","21.553","19.343","13.495","0.828","0.011","84","84","84","0","6","0","76692","76692","0","16","64","72","74","0","0","21","16","8","160","70","90","16","5","42492","0","0","5","15","16","0","0","10","10","0","10","0","0","10","0","0","0","0","0","16","8","3","10","0","0","10","0","0","10","0","10","10","10","0","0","10","5","0","0","0","0","0","0","0","0","5","5","40","15","25","10","5","5","10","5","5","10","5","5","10","0","10","0","4","0","0","1","21","20","0","1","0","16","4","17","0","0","4","164","0","62.5","0","0","172","3125","0","92","74","66","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","17","14","14","15","0","0","0","0","1","True","1293","497","19","35","86163","1709","396","163863","3.2911","0.8749","2.4162","normal","True","True","False"
"2026/6/26 22:43:12","275.27","275.27","18","12.674","0.274","7.092","172","18","2.21566","2.21566","0.246184","0.246184","0","4","4","18","0","0","4009.99","29","16","4","1.037","9.476","0","1353.78","1196.71","2168.99","18.207","403.89","0.008","0.001","24387","438","52","37","48","7680","0","1089","0","1090","1089","17","17","43","17","1139","17","1089","0","2278","34","34","17","1139","5","1089","26","0","0","0","145.423","993","2","0","0.002","0.022","4.311","17.507","29.81","0","0.001","0","22.426","23.824","10.997","0.445","0.014","88","88","88","0","6","0","80344","80344","0","17","68","76","78","0","0","22","17","8","159","71","88","17","5","44136","0","0","5","15","17","0","0","10","10","0","10","0","0","10","0","0","0","0","0","17","8","3","10","0","0","10","0","0","10","0","10","10","10","0","0","10","5","0","0","0","0","0","0","0","0","5","5","40","15","25","10","5","5","10","5","5","10","5","5","10","0","10","0","4","0","0","1","22","21","0","1","0","17","4","18","0","0","5","176","0","62.5","0","0","172","3650","0","92","74","66","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","18","15","15","16","0","0","0","0","1","True","1249","498","20","36","99248","2109","397","163863","2.8424","0.7955","2.0469","normal","True","True","False"
"2026/6/26 22:43:14","256.714","256.714","18","5.809","0.249","8","16","18","0.531067","0.531067","0.265534","0.265534","0","5","5","18","0","0","3746.53","27","0","5","0.402","9.776","0.024","1151.19","1133.95","2079.24","15.159","428.387","0.002","0","24275","422","52","37","48","7680","0","1079","0","1080","1079","17","17","43","17","1130","17","1079","0","2260","34","34","17","1130","5","1079","26","0","0","0","128.525","859","67","0","0.004","0.032","3.978","16.226","27.625","0","0.002","0","19.77","28.525","12.905","0.936","0.011","88","88","88","0","6","0","80344","80344","0","17","68","76","78","0","0","22","17","6","120","70","50","17","5","44136","0","0","7","21","15","0","0","10","10","0","10","0","0","10","0","0","0","0","0","17","6","1","10","0","0","10","0","0","10","0","10","10","10","0","0","10","5","0","0","0","0","0","0","0","0","5","5","40","15","25","10","5","5","10","5","5","10","5","5","10","0","10","0","4","0","0","1","22","21","0","1","0","17","4","18","0","0","6","189","0","66.666","16","0","172","4189","0","92","74","66","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","18","15","15","18","5","1","100","45","1","True","1344","523","18","33","112316","2260","398","163863","3.5133","1.0179","2.4954","normal","True","True","False"
