"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","scan_loop_hz","scan_due_hz","scan_started_hz","scan_completed_hz","scan_skip_pending_count","scan_skip_not_due_count","scan_overwritten_count","scan_get_ow_entities_ms","scan_result_raw_count","scan_pending_age_ms","scan_generation","scan_detail_records","scan_detail_total_pairs","scan_light_scan_enabled","scan_light_unvalidated_pairs","scan_light_cap_hits","entity_cycle_ms","entity_cycle_dma_reads_delta","entity_cycle_dma_fail_delta","phase_consume_scan_ms","phase_previous_snapshot_copy_ms","phase_hot_scatter_prepare_ms","phase_hot_scatter_execute_ms","phase_base_cache_ms","phase_base_decrypt_ms","phase_health_ms","phase_hero_ms","phase_visibility_ms","phase_skeleton_ms","phase_skill_ms","phase_team_name_ms","phase_local_select_ms","phase_publish_ms","hot_scatter_requested_count","hot_scatter_success_count","hot_scatter_partial_count","hot_scatter_fallback_read_count","base_cache_hit_count","base_cache_miss_count","base_decrypt_attempt_count","candidate_backoff_enabled","candidate_backoff_active_count","candidate_backoff_skipped_count","candidate_backoff_failure_count","candidate_backoff_success_count","skeleton_block_read_bytes","skeleton_fallback_get_bone_pos_count","visibility_fallback_count","skill_read_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/25 19:59:10","59.8717","59.8717","20","18.553","0.533","16.129","16","20","0.520291","0.520291","0.520291","0.520291","0","0","0","1924.53","23","0","17","1107","21","1","17","0","55.132","384","8","0","0.002","0.019","2.469","0","3.746","0","0","0","11.863","2.101","1.305","0.473","0.011","68","68","0","0","16","1","12","1","3","2","0","0","36972","0","0","3","62.5","0","0","172","1898","0","52","43","36","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","20","12","12","5","True","578","567","24","43","220565","8446","390","161966","3.7069","0.0941","3.6128","normal","True","False","False"
"2026/6/25 19:59:12","59.8849","59.8849","18","17.065","0.516","32.258","31","18","0.566572","0.566572","0.566572","0.566572","0","0","0","1747.99","21","0","18","1106","21","1","17","0","37.718","253","5","0","0.002","0.016","2.546","0.001","1.506","0","0","0","8.249","1.7","0.41","0.532","0.01","52","52","0","0","16","1","12","1","3","0","0","0","36972","0","0","3","66.666","0","0","172","2018","0","52","43","36","True","True","True","0.005","0.025","0","0","1920","1080","0","0","1920","1080","18","12","12","5","True","578","567","23","43","234399","8943","389","161966","3.4572","0.0927","3.3645","normal","True","False","False"
"2026/6/25 19:59:14","59.9761","59.9761","18","20.318","0.571","21.276","0","18","0.556483","0.556483","0.556483","0.556483","0","0","0","1798.01","21","0","19","1097","21","1","17","0","50.885","421","82","0","0.004","0.024","1.898","0","3.199","0","0","0","13.365","6.782","0.605","2.004","0.011","68","68","0","0","16","1","12","1","3","0","0","0","36972","0","0","3","66.666","0","0","172","2139","0","52","43","36","True","True","True","0.003","0.025","0","0","1920","1080","0","0","1920","1080","18","12","12","5","True","578","566","24","43","247908","9646","390","161966","3.7177","0.0822","3.6355","normal","True","False","False"
"2026/6/25 19:59:16","61.4088","61.4088","18","20.318","0.556","21.739","63","18","0.566251","0.566251","0.566251","0.566251","0","0","0","1758.26","21","0","20","1113","21","1","17","0","38.041","254","0","0","0.008","0.036","3.752","1.511","0","0","0","0","8.616","0","0","0.501","0.01","68","68","0","0","17","0","0","1","3","0","0","0","33108","2","0","0","62.5","0","0","172","2260","0","52","43","36","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","18","10","10","5","True","578","567","24","43","261885","10100","389","161966","7.4949","0.0866","7.4083","normal","True","False","False"
"2026/6/25 19:59:18","59.8398","59.8398","18","18.287","0.566","15.873","0","18","0.581734","0.581734","0.581734","0.581734","0","0","0","1709.43","21","0","21","1091","21","1","17","0","52.837","352","0","0","0.002","0.02","5.082","0.955","4.712","0","0","0","5.806","4.963","1.834","0.475","0.013","52","52","0","0","16","1","12","1","2","0","0","0","33108","2","0","3","62.5","0","0","172","2380","0","52","43","36","True","True","True","0.005","0.025","0","0","1920","1080","0","0","1920","1080","18","9","9","6","True","578","567","23","43","275862","10582","389","161966","3.6935","0.1002","3.5933","normal","True","False","False"
"2026/6/25 19:59:20","60.0521","60.0521","18","18.287","0.582","10.638","16","18","0.592768","0.592768","0.592768","0.592768","0","0","0","1687.68","21","0","22","1116","21","1","17","0","95.123","638","0","0","0.003","0.024","1.168","0","0","0","0","0","11.574","7.967","4.173","42.866","0.01","60","60","0","0","15","0","0","1","4","2","0","0","33108","0","0","15","62.5","0","16","172","2500","0","62","51","42","True","True","True","0.004","0.025","0","0","1920","1080","0","0","1920","1080","18","9","9","6","True","578","566","24","43","288243","11071","391","161966","7.2069","0.0844","7.1225","normal","True","False","False"
"2026/6/25 19:59:22","59.7637","59.7637","19","18.198","0.508","21.276","15","19","0.587199","0.587199","0.587199","0.587199","0","0","0","1696.89","23","0","24","1092","21","1","17","0","48.125","381","58","0","0.002","0.019","2.48","0","5.878","0","0","0","10.988","4.514","1.009","0.346","0.012","68","68","0","0","15","2","24","1","4","2","0","0","36972","0","0","6","66.666","0","16","172","2620","0","62","51","42","True","True","True","0.003","0.025","0","0","1920","1080","0","0","1920","1080","19","10","10","6","True","578","566","24","43","302245","11603","390","161966","4.1428","0.1285","4.0143","normal","True","False","False"
"2026/6/25 19:59:24","60.0424","60.0424","19","22.198","0.587","21.276","15","19","0.515996","0.515996","0.515996","0.515996","0","0","0","1925.3","23","0","25","1104","21","1","17","0","52.92","409","43","0","0.002","0.023","2.781","0","7.198","0","0.001","0","16.579","4.285","1.327","1.449","0.013","53","53","0","0","15","2","24","1","4","2","0","0","36972","0","0","6","66.666","0","0","172","2741","0","62","51","42","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","19","10","10","6","True","578","567","23","43","315920","12133","390","161966","3.6763","0.0767","3.5996","normal","True","False","False"
"2026/6/25 19:59:26","59.7819","59.7819","19","24.61","0.516","32.258","0","19","0.529101","0.529101","0.529101","0.529101","0","0","0","1887.05","23","0","26","1110","21","1","17","0","19.669","128","0","0","0.003","0.021","1.551","0","0","0","0","0","5.404","0","0","0.271","0.016","51","51","0","0","17","0","0","1","4","2","0","0","36972","0","0","0","66.666","0","0","172","2861","0","62","51","42","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","19","11","11","5","True","578","566","24","43","329768","12626","389","161966","3.6733","0.0841","3.5892","normal","True","False","False"
"2026/6/25 19:59:28","59.7029","59.7029","19","24.61","0.529","21.276","16","19","0.457038","0.457038","0.457038","0.457038","0","0","0","2180.23","23","0","27","1093","21","1","17","0","44.769","330","44","0","0.002","0.017","2.376","0.001","5.61","0","0","0","10.779","4.612","2.359","0.396","0.011","68","68","0","0","15","2","24","1","4","2","0","0","36972","0","0","6","62.5","0","0","172","2982","0","72","59","49","True","True","True","0.004","0.025","0","0","1920","1080","0","0","1920","1080","19","11","11","5","True","578","566","24","43","341678","13017","392","161966","7.3432","0.0953","7.2479","normal","True","False","False"
