"captured_at","fps","entity_count","entity_process_hz","entity_scan_hz","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/25 1:47:13","0","0","0","0","0","0","0","0","2.8082","0.0223","2.7859","normal","False","False","True"
"2026/6/25 1:47:15","0","17","0","1.883","9739","837","313","13065","2.6896","0.0895","2.6001","normal","True","False","False"
"2026/6/25 1:47:17","0","17","18.732","1.208","24221","1814","330","13065","2.7228","0.0748","2.648","normal","True","False","False"
"2026/6/25 1:47:19","56.1535","17","18.732","1.305","36584","2647","369","162130","2.7531","0.0796","2.6735","normal","True","False","False"
"2026/6/25 1:47:21","56.1535","17","14.221","1.255","51140","3650","362","162130","2.8061","0.0797","2.7264","normal","True","False","False"
"2026/6/25 1:47:23","59.7931","17","14.221","1.393","65728","4657","360","162130","2.7075","0.0781","2.6294","normal","True","False","False"
"2026/6/25 1:47:25","59.7931","17","14.221","0.956","77875","5463","375","162130","2.7732","0.0827","2.6905","normal","True","False","False"
"2026/6/25 1:47:27","59.7931","17","13.966","1.362","92367","6466","372","162130","2.922","0.0872","2.8348","normal","True","False","False"
"2026/6/25 1:47:29","59.9837","17","13.966","1.305","105959","7363","369","162130","2.6653","0.0713","2.594","normal","True","False","False"
"2026/6/25 1:47:31","59.9837","19","13.664","1.016","119334","8330","377","162130","2.8122","0.0849","2.7273","normal","True","False","False"
"2026/6/25 1:47:33","59.9871","19","13.664","1.362","133792","9308","375","162130","3.0192","0.0928","2.9264","normal","True","False","False"
"2026/6/25 1:47:35","59.9871","19","15.609","1.305","145285","10025","381","162130","2.9887","0.0948","2.8939","normal","True","False","False"
"2026/6/25 1:47:37","59.9871","19","15.609","1.305","159558","10949","379","162130","2.7324","0.079","2.6534","normal","True","False","False"
"2026/6/25 1:47:39","59.9947","19","14.382","1.28","173989","11940","377","162130","3.4328","0.0973","3.3355","normal","True","False","False"
"2026/6/25 1:47:41","59.9947","19","14.382","0.942","186096","12743","383","162510","2.7091","0.0841","2.625","normal","True","False","False"
"2026/6/25 1:47:43","59.7912","17","14.33","1.361","200419","13697","381","162510","2.775","0.0784","2.6966","normal","True","False","False"
"2026/6/25 1:47:45","59.7912","17","14.33","1.361","214814","14667","380","162510","2.7387","0.08","2.6587","normal","True","False","False"
"2026/6/25 1:47:47","59.7912","17","14.489","0.984","227094","15527","384","162510","2.7356","0.0815","2.6541","normal","True","False","False"
"2026/6/25 1:47:49","59.9963","17","14.489","1.305","240688","16427","384","162510","2.8204","0.081","2.7394","normal","True","False","False"
"2026/6/25 1:47:51","59.9963","19","14.015","1.124","252987","17264","387","162510","2.755","0.0836","2.6714","normal","True","False","False"
"2026/6/25 1:47:53","59.9858","19","14.015","1.6","267209","18218","385","162510","2.6176","0.0779","2.5397","normal","True","False","False"
"2026/6/25 1:47:55","59.9858","19","13.812","1.28","281512","19160","384","162510","2.919","0.0787","2.8403","normal","True","False","False"
"2026/6/25 1:47:57","59.9858","19","13.812","1.307","293577","19978","387","162510","6.4663","0.084","6.3823","normal","True","False","False"
"2026/6/25 1:47:59","59.5889","19","14.118","1.361","308000","20964","385","162510","2.679","0.0721","2.6069","normal","True","False","False"
"2026/6/25 1:48:01","59.5889","19","14.118","1.307","322311","21928","384","162510","2.7257","0.0719","2.6538","normal","True","False","False"
"2026/6/25 1:48:03","59.7927","17","14.118","1.305","334530","22720","386","162510","2.8035","0.0666","2.7369","normal","True","False","False"
"2026/6/25 1:48:05","59.7927","17","14.118","1.103","347921","23622","387","162510","2.7357","0.076","2.6597","normal","True","False","False"
"2026/6/25 1:48:07","51.1923","17","14.437","1.185","362148","24611","385","162510","2.6559","0.0679","2.588","normal","True","False","False"
"2026/6/25 1:48:09","51.1923","17","14.437","1.032","373926","25589","386","162510","2.7842","0.0787","2.7055","normal","True","False","False"
"2026/6/25 1:48:11","51.1923","19","14.437","1.56","388565","26830","382","162510","2.7842","0.0787","2.7055","normal","True","False","False"
