"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","scan_loop_hz","scan_due_hz","scan_started_hz","scan_completed_hz","scan_failed_count","scan_publish_attempt_count","scan_publish_success_count","scan_skip_pending_count","scan_skip_not_due_count","scan_overwritten_count","scan_get_ow_entities_ms","scan_result_raw_count","scan_pending_age_ms","scan_generation","scan_root_ms","scan_list_read_ms","scan_slot_walk_ms","scan_record_build_ms","scan_match_link_ms","scan_cn_ne_target_map_ms","scan_cn_ne_self_validation_ms","scan_component_only_validation_ms","scan_dynamic_pair_ms","scan_finalize_ms","scan_dma_reads_delta","scan_dma_fail_delta","scan_list_read_count","scan_list_read_fail_count","scan_list_fallback_read_count","scan_record_add_attempt_count","scan_record_duplicate_count","scan_record_header_read_count","scan_record_header_fail_count","scan_record_remote_fallback_read_count","scan_pool_id_read_count","scan_match_lookup_count","scan_match_lookup_hit_count","scan_add_pair_attempt_count","scan_add_pair_duplicate_count","scan_link_decrypt_attempt_count","scan_link_decrypt_success_count","scan_playable_validation_attempt_count","scan_playable_validation_success_count","scan_cn_ne_map_candidate_count","scan_cn_ne_target_map_attempt_count","scan_cn_ne_target_map_success_count","scan_cn_ne_bucket_entry_scan_count","scan_cn_ne_map_candidate_cache_enabled","scan_cn_ne_map_candidate_cache_lookup_count","scan_cn_ne_map_candidate_cache_hit_count","scan_cn_ne_map_candidate_cache_miss_count","scan_component_only_validation_attempt_count","scan_component_only_validation_success_count","scan_detail_records","scan_detail_total_pairs","scan_light_scan_enabled","scan_light_unvalidated_pairs","scan_light_cap_hits","entity_cycle_ms","entity_cycle_dma_reads_delta","entity_cycle_dma_fail_delta","phase_consume_scan_ms","phase_previous_snapshot_copy_ms","phase_hot_scatter_prepare_ms","phase_hot_scatter_execute_ms","phase_base_cache_ms","phase_base_decrypt_ms","phase_health_ms","phase_hero_ms","phase_visibility_ms","phase_skeleton_ms","phase_skill_ms","phase_team_name_ms","phase_local_select_ms","phase_publish_ms","hot_scatter_requested_count","hot_scatter_prepare_requested_count","hot_scatter_prepare_success_count","hot_scatter_prepare_fail_count","hot_scatter_execute_count","hot_scatter_execute_fail_count","hot_scatter_bytes_requested","hot_scatter_bytes_read","hot_scatter_short_read_count","hot_scatter_batch_items","hot_scatter_batch_requests","hot_scatter_estimated_unique_pages","hot_scatter_success_count","hot_scatter_partial_count","hot_scatter_fallback_read_count","visibility_scatter_hit_count","base_cache_hit_count","base_cache_miss_count","base_decrypt_attempt_count","base_decrypt_success_count","base_decrypt_fail_count","skeleton_cache_hit_count","skeleton_cache_miss_count","skeleton_block_read_bytes","skeleton_fallback_get_bone_pos_count","visibility_fallback_count","skill_due_count","skill_read_count","skill_skipped_not_due_count","entity_record_created_count","entity_record_updated_actor_count","entity_record_link_changed_count","entity_record_link_changed_same_component_count","entity_record_link_changed_component_changed_count","entity_record_link_changed_same_hero_count","entity_record_link_changed_hero_changed_count","entity_record_link_changed_hero_unknown_count","entity_record_link_changed_match_key_count","entity_record_link_changed_link_key_count","entity_record_link_changed_component_key_count","entity_record_mark_missing_count","entity_record_mark_dead_count","entity_record_expired_count","component_cache_hit_count","component_cache_miss_count","component_cache_invalidate_interval_count","component_cache_invalidate_interval_skipped_lifetime_count","component_cache_invalidate_link_change_count","component_cache_invalidate_health_resurrect_count","component_cache_invalidate_hero_change_count","component_cache_link_change_previous_match_id_known_count","component_cache_link_change_previous_match_id_zero_count","component_cache_link_change_previous_match_id_unknown_count","component_cache_link_change_record_alias_hit_count","component_cache_link_change_record_alias_miss_count","component_cache_link_change_record_published_count","component_cache_link_change_record_bases_valid_count","component_cache_link_change_record_match_key_count","component_cache_link_change_record_link_key_count","component_cache_link_change_record_component_key_count","component_cache_link_retain_attempt_count","component_cache_link_retain_success_count","component_cache_link_retain_rejected_disabled_count","component_cache_link_retain_rejected_record_store_disabled_count","component_cache_link_retain_rejected_missing_record_count","component_cache_link_retain_rejected_missing_match_id_count","component_cache_link_retain_rejected_component_changed_count","component_cache_link_retain_rejected_interval_count","component_cache_link_retain_interval_bypassed_lifetime_count","component_cache_link_retain_rejected_hero_changed_count","component_cache_link_retain_rejected_hero_unknown_count","component_cache_link_retain_rejected_decrypt_fail_count","component_cache_link_retain_cached_hero_validate_count","component_cache_link_retain_refresh_decrypt_attempt_count","component_cache_link_retain_refresh_decrypt_success_count","component_cache_link_retain_refresh_decrypt_fail_count","component_cache_link_retain_refresh_link_attempt_count","component_cache_link_retain_refresh_link_success_count","component_cache_link_retain_refresh_link_fail_count","component_cache_link_retain_refresh_hero_attempt_count","component_cache_link_retain_refresh_hero_success_count","component_cache_link_retain_refresh_hero_fail_count","component_cache_link_retain_refresh_visibility_attempt_count","component_cache_link_retain_refresh_visibility_success_count","component_cache_link_retain_refresh_visibility_fail_count","component_cache_link_retain_refresh_angle_attempt_count","component_cache_link_retain_refresh_angle_success_count","component_cache_link_retain_refresh_angle_fail_count","component_cache_link_retain_refresh_angle_skipped_no_prior_count","component_cache_link_retain_refresh_angle_prior_count","component_cache_link_retain_refresh_angle_prior_fail_rejected_count","dynamic_cache_created_count","dynamic_cache_reused_count","dynamic_cache_replaced_count","dynamic_cache_expired_count","record_store_enabled","record_store_size","record_store_fresh_count","record_store_missing_count","record_store_dead_count","record_store_expired_count","record_store_bases_valid_count","record_store_dynamic_valid_count","record_store_published_valid_count","sdk_component_key_cache_hit_count","sdk_component_key_cache_miss_count","sdk_begin_frame_scan_count","sdk_begin_frame_process_count","sdk_begin_frame_unknown_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","render_prediction_candidates","render_prediction_applied","render_prediction_world_delta_fallback","render_prediction_max_lead_ms","render_prediction_max_offset_cm","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/27 2:04:48","0","0","0","0","0","0","266","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False","False","False","0","0","0","0","1920","1080","0","0","1920","1080","0","0","0","0","0","0","0","0","0","False","0","0","0","0","0","0","0","0","0","0","0","normal","False","False","True"
"2026/6/27 2:04:50","400.165","400.165","0","0","0","62.5","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","55","0","62.5","15","0","0","0","0","0","0","0","True","True","True","0","0.002","0","0","1920","1080","0","0","1920","1080","0","0","0","0","0","0","0","0","0","False","0","0","0","0","8740","380","204","15874","2.0722","0.0203","2.0519","normal","False","False","True"
"2026/6/27 2:04:52","282.043","282.043","17","40.844","0","16.129","31","17","0.680735","0.680735","0.680735","0.680735","0","1","1","5","0","0","1457.9","24","15","1","0.384","3.703","0","673.69","571.236","543.616","5.417","199.613","0.003","0","9481","380","52","37","48","7680","0","1088","0","1089","1088","17","17","41","17","1140","17","1088","0","2280","34","34","17","1","2176","1088","1088","1140","3","1088","24","0","0","0","61.425","381","0","0","0.002","0.027","6.159","14.4","9.205","0","0.001","0","7.506","0","5.706","0.582","0.01","77","77","77","0","6","0","72392","72392","0","15","60","82","71","0","0","20","20","0","18","9","9","18","2","34104","2","0","0","0","20","0","0","6","6","0","6","0","0","6","0","0","0","0","0","20","0","0","0","6","0","0","6","0","0","6","0","6","6","6","0","0","6","6","0","0","0","0","0","0","0","0","0","0","3","18","9","9","6","3","3","6","3","3","6","3","3","0","0","0","6","0","0","0","4","0","0","1","21","19","0","2","0","17","4","17","0","0","2","84","0","66.666","0","0","16","444","0","0","0","0","True","True","True","0.002","0.019","0","0","1920","1080","0","0","1920","1080","17","10","10","17","4","1","93","42","4","True","373","503","28","51","22066","776","302","15874","3.8294","0.5504","3.279","normal","True","True","False"
"2026/6/27 2:04:54","288.726","288.726","17","40.844","0.667","21.276","16","17","2.28571","2.28571","0.380952","0.380952","0","2","2","5","0","0","2593.86","24","0","2","0.958","6.47","0","978.471","1160.01","1109.19","11.076","432.591","0.005","0","17009","411","52","37","48","7680","0","1108","0","1109","1108","17","17","41","17","1158","17","1108","0","2316","34","34","17","1","2216","1108","1108","1158","3","1108","24","0","0","0","46.659","337","39","0","0.002","0.019","2.692","7.118","5.468","0","0","0","7.244","0","7.548","0.705","0.013","70","70","70","0","5","0","67320","67320","0","15","60","75","64","0","0","18","18","2","55","12","43","18","0","34104","0","0","0","0","18","0","0","6","6","0","6","0","0","6","0","0","0","0","0","18","2","2","18","6","0","0","6","0","0","6","0","6","6","6","0","0","6","6","0","0","0","0","0","0","6","0","0","0","3","18","9","9","6","3","3","6","3","3","6","3","3","0","0","0","6","0","0","0","4","0","0","1","21","19","0","2","0","16","4","17","0","0","3","113","0","62.5","0","0","172","1000","0","48","39","35","True","True","True","0.001","0.019","0","0","1920","1080","0","0","1920","1080","17","10","10","17","4","1","63","29","4","True","372","503","29","52","33680","1198","359","160530","2.7628","0.7754","1.9874","normal","True","True","False"
"2026/6/27 2:04:56","297.215","297.215","19","13.289","0.386","16.129","63","19","0.372162","0.372162","0.372162","0.372162","0","3","3","6","0","0","2690.82","28","16","3","0.36","10.733","0.002","1209.85","1045.81","1003.92","11.719","408.275","0.002","0","16343","422","52","37","48","7680","0","1087","0","1088","1087","17","17","43","17","1136","17","1087","0","2272","34","34","17","1","2174","1087","1087","1136","5","1087","26","0","0","0","61.991","405","14","0","0.002","0.026","5.03","12.907","8.911","0","0.002","0","8.998","0","11.78","0.589","0.015","83","83","83","0","6","0","79264","79264","0","17","68","83","73","0","0","22","22","2","70","15","55","22","0","41832","0","0","0","0","22","0","0","10","10","0","10","0","0","10","0","0","0","0","0","22","2","2","18","10","0","0","10","0","0","10","0","10","10","10","0","0","10","10","0","0","0","0","0","0","6","0","0","0","5","30","15","15","10","5","5","10","5","5","10","5","5","0","0","0","10","0","0","0","4","0","0","1","23","21","0","2","0","17","4","19","0","0","4","141","0","62.5","16","16","172","1577","0","48","39","35","True","True","True","0.001","0.021","0","0","1920","1080","0","0","1920","1080","19","12","12","19","4","1","100","46","4","True","372","503","29","52","46982","1388","366","160530","2.6761","0.7719","1.9042","normal","True","True","False"
"2026/6/27 2:04:58","284.873","284.873","19","13.289","0.37","31.25","47","19","0.785238","0.785238","0.392619","0.392619","0","4","4","9","0","0","2528.83","28","16","4","0.531","7.721","0","988.046","1061.04","1014.31","12.503","454.771","0.004","0","16931","601","52","37","48","7680","0","1085","0","1086","1085","17","17","32","6","1134","17","1085","0","2268","34","11","17","1","2170","1085","1085","1134","5","1085","26","0","0","0","33.89","238","7","0","0.002","0.024","3.017","5.989","4.706","0","0","0","6.096","0","4.776","0.139","0.012","84","84","84","0","7","0","81496","81496","0","17","68","84","74","0","0","22","22","2","68","19","49","22","0","41832","0","0","0","0","22","0","0","10","10","0","10","0","0","10","0","0","0","0","0","22","2","2","22","10","0","0","10","0","0","10","0","10","10","10","0","0","10","10","0","0","0","0","0","0","10","0","0","0","5","30","15","15","10","5","5","10","5","5","10","5","5","0","0","0","10","0","0","0","4","0","0","1","23","21","0","2","0","17","4","19","0","0","5","166","0","62.5","0","0","172","2129","0","48","39","35","True","True","True","0.002","0.024","0","0","1920","1080","0","0","1920","1080","19","12","12","19","4","1","79","36","4","True","373","503","28","51","60385","1839","368","160530","2.9645","1.0744","1.8901","normal","True","True","False"
"2026/6/27 2:05:01","270.018","270.018","19","12.428","0.37","12.82","62","19","0.785238","0.785238","0.392619","0.392619","0","4","4","9","0","0","2528.83","28","16","4","0.531","7.721","0","988.046","1061.04","1014.31","12.503","454.771","0.004","0","16931","601","52","37","48","7680","0","1085","0","1086","1085","17","17","32","6","1134","17","1085","0","2268","34","11","17","1","2170","1085","1085","1134","5","1085","26","0","0","0","80.525","655","107","0","0.002","0.023","4.922","12.853","7.485","0","0","0","13.055","9.727","10.619","0.697","0.011","84","84","84","0","7","0","81496","81496","0","17","68","84","74","0","0","22","22","2","66","19","47","22","0","41832","0","0","2","6","20","0","0","10","10","0","10","0","0","10","0","0","0","0","0","22","2","2","22","10","0","0","10","0","0","10","0","10","10","10","0","0","10","10","0","0","0","0","0","0","10","0","0","0","5","30","15","15","10","5","5","10","5","5","10","5","5","0","0","0","10","0","0","0","4","0","0","1","23","21","0","2","0","17","4","19","0","0","5","187","0","62.5","15","0","172","2682","0","96","77","65","True","True","True","0.001","0.05","0","0","1920","1080","0","0","1920","1080","19","12","12","19","3","1","100","45","4","True","372","503","29","52","72777","2567","382","164009","2.9554","0.8228","2.1326","normal","True","True","False"
"2026/6/27 2:05:03","264.44","264.44","19","12.428","0.393","15.873","15","19","1.47113","1.47113","0.367782","0.367782","0","5","5","13","0","0","2688.88","28","15","5","0.339","8.666","0.001","1285.33","937.751","896.923","12.574","440.042","0.003","0","16656","812","52","37","48","7680","0","1089","0","1094","1087","17","17","29","3","1142","17","1089","0","2284","34","6","17","1","2178","1089","1089","1142","5","1089","26","0","0","0","74.475","483","3","0","0.001","0.027","5.322","14.623","9.251","0","0","0","9.646","4.851","11.526","0.15","0.013","83","83","83","0","6","0","79264","79264","0","17","68","83","73","0","0","22","22","2","70","15","55","22","0","41832","0","0","1","3","21","0","0","10","10","0","10","0","0","10","0","0","0","0","0","22","2","2","22","10","0","0","10","0","0","10","0","10","10","10","0","0","10","10","0","0","0","0","0","0","10","0","0","0","5","30","15","15","10","5","5","10","5","5","10","5","5","0","0","0","10","0","0","0","4","0","0","1","23","21","0","2","0","17","4","19","0","0","6","212","0","66.666","0","0","172","3195","0","96","77","65","True","True","True","0.002","0.05","0","0","1920","1080","0","0","1920","1080","19","12","12","19","4","1","78","35","4","True","372","503","29","52","86405","3181","380","164009","2.8077","0.7696","2.0381","normal","True","True","False"
"2026/6/27 2:05:05","284.525","284.525","19","12.428","0.366","10.752","0","19","2.0517","2.0517","0.410341","0.410341","0","6","6","18","0","0","2413.3","28","32","6","0.471","6.009","0.014","874.897","1108.69","1060.85","10.225","409.095","0.009","0","16416","556","52","37","48","7680","0","1083","0","1085","1083","17","17","43","17","1132","17","1083","0","2264","34","34","17","1","2166","1083","1083","1132","5","1083","26","0","0","0","96.844","709","67","0","0.003","0.032","5.074","11.766","7.303","0","0.001","0","9.577","9.63","16.091","22.062","0.011","83","83","83","0","6","0","79264","79264","0","17","68","83","73","0","0","22","22","2","69","16","53","22","0","41832","0","0","5","18","18","0","0","10","10","0","10","0","0","10","0","0","0","0","0","22","2","2","22","10","0","0","10","0","0","10","0","10","10","10","0","0","10","10","0","0","0","0","0","0","10","0","0","0","5","30","15","15","10","5","5","10","5","5","10","5","5","0","0","0","10","0","0","0","4","0","0","1","23","21","0","2","0","17","4","19","0","0","7","238","0","66.666","0","0","172","3751","0","96","77","65","True","True","True","0.003","0.05","0","0","1920","1080","0","0","1920","1080","19","12","12","19","5","1","93","43","4","True","372","503","28","51","99844","3518","379","164009","3.1986","0.9534","2.2452","normal","True","True","False"
"2026/6/27 2:05:07","307.639","307.639","17","12.346","0.41","16.129","47","17","2.1692","2.1692","0.361533","0.361533","0","7","7","18","0","0","2737.69","26","0","7","0.457","9.099","0","1032.22","1183.32","1127.95","15.348","493.042","0.002","0","17738","423","52","37","48","7680","1","1100","0","1102","1100","17","17","43","17","1150","17","1100","0","2300","34","34","17","1","2200","1100","1100","1150","5","1100","26","0","0","0","70.939","459","14","0","0.002","0.029","4.153","13.679","8.011","0","0.002","0","10.871","3.457","11.884","0.482","0.009","83","83","83","0","6","0","79264","79264","0","17","68","83","73","0","0","22","22","0","30","15","15","22","0","41832","0","0","1","3","21","0","0","10","10","0","10","0","0","10","0","0","0","0","0","22","0","0","22","10","0","0","10","0","0","10","0","10","10","10","0","0","10","10","0","0","0","0","0","0","10","0","0","0","5","30","15","15","10","5","5","10","5","5","10","5","5","0","0","0","10","0","0","0","4","0","0","1","21","21","0","0","0","17","4","17","0","0","8","262","0","62.5","0","16","172","4314","0","96","77","65","True","True","True","0.003","0.05","0","0","1920","1080","0","0","1920","1080","17","12","12","17","3","1","100","45","4","True","372","503","29","52","112604","3674","382","164009","4.5692","0.7344","3.8348","normal","True","True","False"
