"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","scan_loop_hz","scan_due_hz","scan_started_hz","scan_completed_hz","scan_skip_pending_count","scan_skip_not_due_count","scan_overwritten_count","scan_get_ow_entities_ms","scan_result_raw_count","scan_pending_age_ms","scan_generation","entity_cycle_ms","entity_cycle_dma_reads_delta","entity_cycle_dma_fail_delta","phase_consume_scan_ms","phase_previous_snapshot_copy_ms","phase_hot_scatter_prepare_ms","phase_hot_scatter_execute_ms","phase_base_cache_ms","phase_base_decrypt_ms","phase_health_ms","phase_hero_ms","phase_visibility_ms","phase_skeleton_ms","phase_skill_ms","phase_team_name_ms","phase_local_select_ms","phase_publish_ms","hot_scatter_requested_count","hot_scatter_success_count","hot_scatter_partial_count","hot_scatter_fallback_read_count","base_cache_hit_count","base_cache_miss_count","base_decrypt_attempt_count","skeleton_block_read_bytes","skeleton_fallback_get_bone_pos_count","visibility_fallback_count","skill_read_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/25 19:18:21","59.757","59.757","17","7.314","0.302","6.41","141","17","0.313775","0.313775","0.313775","0.313775","0","0","0","3172.17","26","13890","5","157.151","1020","4","0","0.003","0.017","12.942","0","36.091","0","0.001","0","18.675","39.918","13.414","0.272","0.011","78","78","0","0","12","10","120","36972","0","0","30","62.5","0","0","156","860","0","17","16","12","True","True","True","0.003","0.019","0","0","1920","1080","0","0","1920","1080","17","6","6","10","True","1308","525","18","32","112241","2290","393","160895","3.6131","0.0835","3.5296","normal","True","False","False"
"2026/6/25 19:18:23","57.3662","57.3662","17","7.314","0.302","5.813","172","17","0.313775","0.313775","0.313775","0.313775","0","0","0","3172.17","26","13890","5","162.979","1106","0","0","0.002","0.013","7.763","0","43.702","0","0.001","0","19.976","38.297","12.938","0.484","0.01","78","78","0","0","12","10","120","36972","0","0","30","62.5","0","16","156","984","0","17","16","12","True","True","True","0.002","0.028","0","0","1920","1080","0","0","1920","1080","17","6","6","10","True","1197","522","18","33","126546","2496","392","160895","3.7549","0.075","3.6799","normal","True","False","False"
"2026/6/25 19:18:25","61.4105","61.4105","17","7.314","0.315","6.41","469","17","0.293513","0.293513","0.293513","0.293513","0","0","0","3410.96","26","17297","6","158.491","1245","167","0","0.001","0.017","7.732","0","26.793","0","0.001","0","13.039","36.26","13.901","25.163","0.015","78","78","0","0","12","10","120","33108","2","0","39","62.5","328","312","312","1104","0","35","33","28","True","True","True","0.002","0.028","0","0","1920","1080","0","0","1920","1080","17","6","6","8","True","1108","517","19","35","138589","2895","395","170998","3.8935","0.0749","3.8186","normal","True","False","False"
"2026/6/25 19:18:27","60.129","60.129","17","4.621","0.315","8","78","17","0.293513","0.293513","0.293513","0.293513","0","0","0","3410.96","26","17297","6","130.854","860","4","0","0.03","0.018","11.171","0","18.621","0","0.002","0","20.967","20.482","10.263","0.699","0.01","66","66","0","0","12","10","136","33108","0","0","18","62.5","0","16","375","1225","0","40","37","32","True","True","True","0.004","0.028","0","0","1920","1080","0","0","1920","1080","17","6","6","8","True","1022","501","23","41","151158","2917","403","170998","3.625","0.089","3.536","normal","True","False","False"
"2026/6/25 19:18:29","59.854","59.854","17","4.621","0.292","9.09","62","17","0.260213","0.260213","0.260213","0.260213","0","0","0","3831.63","26","21140","7","110.339","749","4","0","0.003","0.014","6.661","0","17.083","0","0.002","0","17.94","17.071","6.13","0.415","0.011","66","66","0","0","12","10","136","33108","0","0","18","66.666","0","0","375","1345","0","40","37","32","True","True","True","0.001","0.028","0","0","1920","1080","0","0","1920","1080","17","6","6","8","True","988","475","28","51","165425","3378","401","170998","3.9478","0.0738","3.874","normal","True","False","False"
"2026/6/25 19:18:31","59.982","59.982","17","4.621","0.261","10.638","125","17","0.283126","0.283126","0.283126","0.283126","0","0","0","3522.22","30","24672","8","97.94","634","30","0","0.001","0.019","4.722","0","20.86","0","0.002","0","11.172","24.869","5.406","0.154","0.011","66","66","0","0","12","10","136","33108","0","0","18","62.5","0","16","375","1466","0","40","37","32","True","True","True","0.002","0.028","0","0","1920","1080","0","0","1920","1080","17","6","6","8","True","1137","445","34","63","178661","3553","401","170998","3.3112","0.0789","3.2323","normal","True","False","False"
"2026/6/25 19:18:33","59.8157","59.8157","19","4.621","0.261","5.813","32","19","0.283126","0.283126","0.283126","0.283126","0","0","0","3522.22","30","24672","8","165.417","1085","4","0","0.002","0.018","10.097","0","27.271","0","0.003","0","21.939","38.434","10.605","0.346","0.012","78","78","0","0","12","14","184","36972","0","0","30","62.5","0","0","375","1587","0","40","37","32","True","True","True","0.003","0.028","0","0","1920","1080","0","0","1920","1080","19","6","6","10","True","1401","398","45","81","192934","3873","400","170998","3.8003","0.087","3.7133","normal","True","False","False"
"2026/6/25 19:18:35","59.8715","59.8715","19","4.621","0.283","6.41","94","19","0.277085","0.277085","0.277085","0.277085","0","0","0","3606.47","30","28281","9","159.086","1095","27","0","0.002","0.019","13.232","0","27.999","0","0.002","0","17.735","27.276","13.698","2.663","0.012","78","78","0","0","12","14","184","36972","0","0","30","62.5","0","16","375","1707","0","40","37","32","True","True","True","0.002","0.028","0","0","1920","1080","0","0","1920","1080","19","6","6","10","True","1857","317","62","112","205988","4110","400","170998","4.1123","0.0731","4.0392","normal","True","False","False"
"2026/6/25 19:18:37","59.9186","59.9186","19","5.917","0.283","4.273","0","19","0.277085","0.277085","0.277085","0.277085","0","0","0","3606.47","30","28281","9","229.792","1322","4","0","0.002","0.018","5.497","0","38.972","0","0.004","0","18.515","93.915","27.017","0.501","0.012","78","78","0","0","12","14","184","36972","0","0","57","66.666","0","0","375","1828","0","49","45","39","True","True","True","0.002","0.034","0","0","1920","1080","0","0","1920","1080","19","5","5","11","True","1384","513","15","27","217030","4355","406","170998","3.7958","0.0755","3.7203","normal","True","False","False"
"2026/6/25 19:18:39","59.7019","59.7019","19","5.917","0.283","4.273","141","19","0.277085","0.277085","0.277085","0.277085","0","0","0","3606.47","30","28281","9","235.745","1362","4","0","0.004","0.019","5.893","0.007","38.545","0","0.001","0","17.54","102.083","25.397","0.365","0.028","78","78","0","0","12","14","184","36972","0","0","60","62.5","0","16","375","1949","0","49","45","39","True","True","True","0.002","0.034","0","0","1920","1080","0","0","1920","1080","19","5","5","11","True","1384","513","15","27","228797","4391","408","170998","3.8345","0.0605","3.774","normal","True","False","False"
