"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","scan_loop_hz","scan_due_hz","scan_started_hz","scan_completed_hz","scan_skip_pending_count","scan_skip_not_due_count","scan_overwritten_count","scan_get_ow_entities_ms","scan_result_raw_count","scan_pending_age_ms","scan_generation","scan_detail_records","scan_detail_total_pairs","scan_light_scan_enabled","scan_light_unvalidated_pairs","scan_light_cap_hits","entity_cycle_ms","entity_cycle_dma_reads_delta","entity_cycle_dma_fail_delta","phase_consume_scan_ms","phase_previous_snapshot_copy_ms","phase_hot_scatter_prepare_ms","phase_hot_scatter_execute_ms","phase_base_cache_ms","phase_base_decrypt_ms","phase_health_ms","phase_hero_ms","phase_visibility_ms","phase_skeleton_ms","phase_skill_ms","phase_team_name_ms","phase_local_select_ms","phase_publish_ms","hot_scatter_requested_count","hot_scatter_success_count","hot_scatter_partial_count","hot_scatter_fallback_read_count","base_cache_hit_count","base_cache_miss_count","base_decrypt_attempt_count","skeleton_block_read_bytes","skeleton_fallback_get_bone_pos_count","visibility_fallback_count","skill_read_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/25 19:47:15","59.6434","59.6434","21","17.694","0.557","21.276","78","21","0.546747","0.546747","0.546747","0.546747","0","0","0","1828.61","23","0","16","1110","21","1","17","0","46.571","258","2","0","0.004","0.024","3.608","0.001","1.1","0","0","0","9.655","1.031","0.735","0.591","0.013","70","70","0","0","17","2","33","36972","0","0","3","62.5","78","78","156","1790","0","42","34","29","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","21","12","12","5","True","578","567","24","43","210546","8570","398","160946","4.9315","0.0893","4.8422","normal","True","False","False"
"2026/6/25 19:47:17","59.9053","59.9053","21","14.545","0.542","21.276","47","21","0.5","0.5","0.5","0.5","0","0","0","1997.17","23","0","17","1107","21","1","17","0","49.41","341","1","0","0.002","0.023","2.555","0.001","2.378","0","0","0","15.019","0.66","1.723","0.436","0.019","70","70","0","0","17","2","32","36972","0","0","3","62.5","0","0","156","1910","0","48","39","34","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","21","12","12","5","True","578","566","24","43","223533","9063","400","160946","5.4146","0.088","5.3266","normal","True","False","False"
"2026/6/25 19:47:19","59.953","59.953","21","14.545","0.5","15.873","46","21","0.598444","0.598444","0.598444","0.598444","0","0","0","1665.73","23","0","18","1089","21","1","17","0","63.479","437","2","0","0.003","0.024","2.432","0.001","2.673","0","0","0","14.494","1.15","1.491","3.24","0.018","71","71","0","0","17","2","33","36972","0","0","3","66.666","0","0","156","2030","0","48","39","34","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","21","12","12","5","True","578","567","23","43","237597","9584","399","160946","9.6273","0.0961","9.5312","normal","True","False","False"
"2026/6/25 19:47:21","59.1957","59.1957","21","14.171","0.598","21.276","47","21","0.571429","0.571429","0.571429","0.571429","0","0","0","1743.28","23","0","19","1115","21","1","17","0","52.815","319","2","0","0.002","0.026","1.9","0.001","2.152","0.001","0.002","0","9.048","4.965","1.476","0.328","0.011","70","70","0","0","17","2","33","36972","0","0","3","62.5","0","0","156","2151","0","48","39","34","True","True","True","0.004","0.025","0","0","1920","1080","0","0","1920","1080","21","11","11","6","True","578","567","24","43","250570","10099","400","160946","5.6163","0.0943","5.522","normal","True","False","False"
"2026/6/25 19:47:23","59.7009","59.7009","19","14.171","0.504","15.873","15","19","0.581734","0.581734","0.581734","0.581734","0","0","0","1715.9","22","0","21","1091","21","1","17","0","59.574","430","24","0","0.001","0.016","2.654","0.001","2.088","0","0","0","9.978","5.512","2.256","0.473","0.01","53","53","0","0","17","1","13","36972","0","0","9","62.5","15","0","156","2272","0","48","39","34","True","True","True","0.003","0.025","0","0","1920","1080","0","0","1920","1080","19","11","11","6","True","578","566","24","43","264581","10744","399","160946","10.3884","0.0923","10.2961","normal","True","False","False"
"2026/6/25 19:47:25","61.1301","61.1301","18","15.056","0.582","16.129","16","18","0.576369","0.576369","0.576369","0.576369","0","0","0","1733","22","0","22","1113","21","1","17","0","57.13","400","8","0","0.001","0.017","3.766","0.002","2.901","0","0","0","9.346","9.106","7.553","2.92","0.014","53","53","0","0","17","1","13","36972","0","0","9","66.666","16","0","156","2393","0","48","39","34","True","True","True","0.001","0.025","0","0","1920","1080","0","0","1920","1080","18","11","11","6","True","578","567","23","43","278787","11293","398","160946","5.3787","0.0878","5.2909","normal","True","False","False"
"2026/6/25 19:47:27","61.3585","61.3585","18","15.056","0.571","12.82","32","18","0.504032","0.504032","0.504032","0.504032","0","0","0","1978.57","21","0","23","1099","21","1","17","0","76.707","539","7","0","0.001","0.019","5.155","0.672","0","0","0","0","9.973","0","0","29.178","0.016","51","51","0","0","17","0","0","33108","2","0","6","62.5","16","16","172","2514","0","58","47","41","True","True","True","0.001","0.025","0","0","1920","1080","0","0","1920","1080","18","9","9","6","True","578","567","24","43","291186","11775","400","160946","5.2737","0.0812","5.1925","normal","True","False","False"
"2026/6/25 19:47:29","59.803","59.803","18","14.276","0.504","15.873","0","18","0.592768","0.592768","0.592768","0.592768","0","0","0","1679.82","21","0","24","1110","21","1","17","0","52.139","426","69","0","0.002","0.015","1.002","0","0.002","0","0","0","6.353","0","0","22.371","0.019","45","45","0","0","15","2","40","33108","0","0","6","62.5","0","0","172","2634","0","58","47","41","True","True","True","0.004","0.025","0","0","1920","1080","0","0","1920","1080","18","10","10","5","True","578","566","24","43","305357","12474","399","160946","10.7008","0.0888","10.612","normal","True","False","False"
"2026/6/25 19:47:31","61.0506","61.0506","18","22.59","0.598","21.276","78","18","0.551572","0.551572","0.551572","0.551572","0","0","0","1814.59","21","0","25","1116","19","1","15","0","40.333","281","1","0","0.002","0.017","1.431","0","0.393","0","0","0","6.49","0","0","0.483","0.011","46","46","0","0","15","2","37","33108","0","0","0","66.666","0","15","172","2755","0","58","47","41","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","18","10","10","5","True","578","567","23","43","319424","13055","398","160946","5.487","0.0901","5.3969","normal","True","False","False"
"2026/6/25 19:47:33","59.0223","59.0223","20","22.59","0.547","16.129","63","20","0.571429","0.571429","0.571429","0.571429","0","0","0","1737.83","23","0","26","1097","21","1","17","0","50.646","346","1","0","0.002","0.021","1.483","0.001","0.3","0","0","0","15.039","0","0","0.16","0.014","68","68","0","0","17","2","39","36972","0","0","0","66.666","16","16","172","2876","0","58","47","41","True","True","True","0.001","0.025","0","0","1920","1080","0","0","1920","1080","20","12","12","5","True","578","567","24","43","333182","13587","397","160946","5.4587","0.0882","5.3705","normal","True","False","False"
