"captured_at","fps","entity_count","entity_process_hz","entity_scan_hz","view_matrix_ok","view_matrix_resolved","view_matrix_valid","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/25 2:22:39","24.0551","17","18.826","1.28","True","True","True","1920","1080","0","0","1920","1080","17","11","11","5","True","1410","553","18","33","31719","2432","358","13020","2.8418","0.0732","2.7686","normal","True","False","False"
"2026/6/25 2:22:40","24.0551","17","18.826","1.456","True","True","True","1920","1080","0","0","1920","1080","17","11","11","5","True","1410","553","18","33","37673","2844","392","160195","2.8418","0.0732","2.7686","normal","True","False","False"
"2026/6/25 2:22:41","24.0551","17","18.826","1.032","True","True","True","1920","1080","0","0","1920","1080","17","11","11","5","True","1410","553","18","33","45044","3337","389","160195","2.8418","0.0732","2.7686","normal","True","False","False"
"2026/6/25 2:22:42","24.0551","17","14.065","1.23","True","True","True","1920","1080","0","0","1920","1080","17","11","11","5","True","1410","553","18","33","52370","3806","385","160195","2.8418","0.0732","2.7686","normal","True","False","False"
"2026/6/25 2:22:43","24.0551","17","14.065","1.255","True","True","True","1920","1080","0","0","1920","1080","17","11","11","5","True","1410","553","18","33","59793","4364","385","160195","2.8418","0.0732","2.7686","normal","True","False","False"
"2026/6/25 2:22:44","0","17","14.065","1.49","True","True","True","1920","1080","0","0","1920","1080","17","11","11","5","True","1410","553","18","33","67130","4880","384","160195","2.8418","0.0732","2.7686","normal","True","False","False"
"2026/6/25 2:22:45","0","17","14.065","1.453","True","True","True","1920","1080","0","0","1920","1080","17","11","11","5","True","1410","553","18","33","72371","5254","403","160195","2.8418","0.0732","2.7686","normal","True","False","False"
"2026/6/25 2:22:46","0","17","14.065","0.928","True","True","True","1920","1080","0","0","1920","1080","17","11","11","5","True","1410","553","18","33","79901","5766","398","160195","2.8418","0.0732","2.7686","normal","True","False","False"
"2026/6/25 2:22:47","0","17","13.569","1.56","True","True","True","1920","1080","0","0","1920","1080","17","11","11","5","True","1410","553","18","33","87189","6233","397","160195","2.8418","0.0732","2.7686","normal","True","False","False"
"2026/6/25 2:22:48","0","17","13.569","1.422","True","True","True","1920","1080","0","0","1920","1080","17","11","11","5","True","1410","553","18","33","94598","6698","395","160195","2.8418","0.0732","2.7686","normal","True","False","False"
"2026/6/25 2:22:49","0","17","13.569","1.208","True","True","True","1920","1080","0","0","1920","1080","17","11","11","5","True","1410","553","18","33","102113","7259","392","160195","2.8418","0.0732","2.7686","normal","True","False","False"
"2026/6/25 2:22:50","0","17","13.569","1.453","True","True","True","1920","1080","0","0","1920","1080","17","11","11","5","True","1410","553","18","33","108113","7679","399","160195","2.8418","0.0732","2.7686","normal","True","False","False"
"2026/6/25 2:22:51","0","17","15.06","1.422","True","True","True","1920","1080","0","0","1920","1080","17","11","11","5","True","1410","553","18","33","115176","8122","401","160195","2.8418","0.0732","2.7686","normal","True","False","False"
"2026/6/25 2:22:52","0","17","15.06","1.23","True","True","True","1920","1080","0","0","1920","1080","17","11","11","5","True","1410","553","18","33","122540","8627","399","160195","2.8418","0.0732","2.7686","normal","True","False","False"
"2026/6/25 2:22:53","0","17","15.06","1.391","True","True","True","1920","1080","0","0","1920","1080","17","11","11","5","True","1410","553","18","33","130077","9090","397","160195","2.8418","0.0732","2.7686","normal","True","False","False"
"2026/6/25 2:22:54","0","17","17.065","1.186","True","True","True","1920","1080","0","0","1920","1080","17","11","11","5","True","1410","553","18","33","137604","9495","395","160195","2.8418","0.0732","2.7686","normal","True","False","False"
"2026/6/25 2:22:55","0","17","17.065","1.032","True","True","True","1920","1080","0","0","1920","1080","17","11","11","5","True","1410","553","18","33","144240","9972","398","160195","2.8418","0.0732","2.7686","normal","True","False","False"
"2026/6/25 2:22:56","0","18","17.065","1.305","True","True","True","1920","1080","0","0","1920","1080","17","11","11","5","True","1410","553","18","33","149452","10359","407","160195","2.8418","0.0732","2.7686","normal","True","False","False"
"2026/6/25 2:22:57","0","19","17.065","0.877","True","True","True","1920","1080","0","0","1920","1080","17","11","11","5","True","1410","553","18","33","156846","10856","405","160195","2.8418","0.0732","2.7686","normal","True","False","False"
"2026/6/25 2:22:58","0","19","13.915","1.255","True","True","True","1920","1080","0","0","1920","1080","17","11","11","5","True","1410","553","18","33","164449","11423","403","160195","2.8418","0.0732","2.7686","normal","True","False","False"
"2026/6/25 2:22:59","0","19","13.915","1.524","True","True","True","1920","1080","0","0","1920","1080","17","11","11","5","True","1410","553","18","33","172243","12013","401","160195","2.8418","0.0732","2.7686","normal","True","False","False"
"2026/6/25 2:23:00","0","19","13.915","1.453","True","True","True","1920","1080","0","0","1920","1080","17","11","11","5","True","1410","553","18","33","179691","12547","400","160195","2.8418","0.0732","2.7686","normal","True","False","False"
"2026/6/25 2:23:01","0","19","13.915","1.524","True","True","True","1920","1080","0","0","1920","1080","17","11","11","5","True","1410","553","18","33","185213","12972","406","160195","2.8418","0.0732","2.7686","normal","True","False","False"
"2026/6/25 2:23:02","0","19","13.915","1.488","True","True","True","1920","1080","0","0","1920","1080","17","11","11","5","True","1410","553","18","33","192406","13484","405","160195","2.8418","0.0732","2.7686","normal","True","False","False"
"2026/6/25 2:23:03","0","19","13.714","1.333","True","True","True","1920","1080","0","0","1920","1080","17","11","11","5","True","1410","553","18","33","199630","13869","403","160195","2.8418","0.0732","2.7686","normal","True","False","False"
