"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","scan_loop_hz","scan_due_hz","scan_started_hz","scan_completed_hz","scan_skip_pending_count","scan_skip_not_due_count","scan_overwritten_count","scan_get_ow_entities_ms","scan_result_raw_count","scan_pending_age_ms","scan_generation","entity_cycle_ms","entity_cycle_dma_reads_delta","entity_cycle_dma_fail_delta","phase_consume_scan_ms","phase_previous_snapshot_copy_ms","phase_hot_scatter_prepare_ms","phase_hot_scatter_execute_ms","phase_base_cache_ms","phase_base_decrypt_ms","phase_health_ms","phase_hero_ms","phase_visibility_ms","phase_skeleton_ms","phase_skill_ms","phase_team_name_ms","phase_local_select_ms","phase_publish_ms","hot_scatter_requested_count","hot_scatter_success_count","hot_scatter_partial_count","hot_scatter_fallback_read_count","base_cache_hit_count","base_cache_miss_count","base_decrypt_attempt_count","skeleton_block_read_bytes","skeleton_fallback_get_bone_pos_count","visibility_fallback_count","skill_read_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/25 19:24:45","59.8689","59.8689","17","40.844","0.261","2.369","250","17","0.27465","0.27465","0.27465","0.27465","0","0","0","3645.42","26","0","3","415.618","1471","60","0","0.001","0.02","17.134","0","217.392","0","0.003","0","28.706","39.876","21.581","20.766","0.012","78","78","0","0","12","10","120","36972","0","0","36","62.5","16","16","157","514","0","19","15","13","True","True","True","0.002","0.016","0","0","1920","1080","0","0","1920","1080","17","5","5","11","True","1384","513","15","27","72274","1632","399","159807","5.3916","0.0772","5.3144","normal","True","False","False"
"2026/6/25 19:24:47","61.3536","61.3536","17","5.827","0.261","4.255","265","17","0.27465","0.27465","0.27465","0.27465","0","0","0","3645.42","26","0","3","228.79","1606","0","0","0.002","0.018","11.321","0","37.336","0","0.002","0","30.912","31.249","14.544","26.12","0.011","78","78","0","0","12","10","120","36972","0","0","36","66.666","0","0","157","637","0","19","15","13","True","True","True","0.002","0.016","0","0","1920","1080","0","0","1920","1080","17","5","5","11","True","1384","513","15","27","86671","1632","398","159807","10.5196","0.0857","10.4339","normal","True","False","False"
"2026/6/25 19:24:49","61.345","61.345","17","5.827","0.274","4.587","188","17","0.289603","0.289603","0.289603","0.289603","0","0","0","3440.42","26","0","4","207.861","1420","0","0","0.001","0.017","16.11","0","29.324","0","0.002","0","15.257","41.477","16.02","33.404","0.011","78","78","0","0","12","10","120","33108","2","0","36","66.666","16","0","157","758","0","19","15","13","True","True","True","0.001","0.016","0","0","1920","1080","0","0","1920","1080","17","6","6","8","True","1840","484","27","48","100827","2024","396","159807","9.561","0.0708","9.4902","normal","True","False","False"
"2026/6/25 19:24:51","59.6746","59.6746","17","5.827","0.291","6.369","203","17","0.313775","0.313775","0.313775","0.313775","0","0","0","3179.36","26","0","5","154.486","1105","9","0","0.001","0.021","13.92","0.001","25.398","0","0.001","0","12.863","32.759","13.613","3.147","0.014","78","78","0","0","12","10","120","33108","2","0","30","62.5","0","0","157","878","0","19","15","13","True","True","True","0.001","0.016","0","0","1920","1080","0","0","1920","1080","17","6","6","8","True","1607","501","23","41","114935","2237","396","159807","5.4351","0.0786","5.3565","normal","True","False","False"
"2026/6/25 19:24:53","61.1389","61.1389","17","5.827","0.291","5.813","46","17","0.313775","0.313775","0.313775","0.313775","0","0","0","3179.36","26","0","5","160.314","1118","4","0","0.002","0.014","11.378","0","13.934","0","0","0","28.194","17.142","12.434","21.045","0.012","66","66","0","0","12","10","136","33108","0","0","24","66.666","0","0","157","999","0","19","15","13","True","True","True","0.003","0.016","0","0","1920","1080","0","0","1920","1080","17","6","6","8","True","1419","515","20","36","128950","2457","395","159807","5.2577","0.0752","5.1825","normal","True","False","False"
"2026/6/25 19:24:55","58.91","58.91","17","5.827","0.314","4.566","31","17","0.313676","0.313676","0.313676","0.313676","0","0","0","3180.99","26","0","6","218.146","865","7","0","0.002","0.015","15.37","0.001","20.574","0","0.002","0","16.504","37.572","25.732","1.792","0.013","67","67","0","0","12","10","133","33108","0","0","18","66.666","0","15","157","1119","0","28","22","19","True","True","True","0.002","0.016","0","0","1920","1080","0","0","1920","1080","17","6","6","8","True","1289","523","18","33","141354","2872","402","159807","5.5363","0.0805","5.4558","normal","True","False","False"
"2026/6/25 19:24:57","61.2393","61.2393","19","5.549","0.314","6.41","141","19","0.304785","0.304785","0.304785","0.304785","0","0","0","3284.32","30","0","7","159.49","1202","84","0.001","0.002","0.018","9.99","0","28.525","0","0","0","17.088","26.1","14.059","1.012","0.013","78","78","0","0","12","14","184","36972","0","0","30","62.5","0","15","157","1239","0","28","22","19","True","True","True","0.002","0.016","0","0","1920","1080","0","0","1920","1080","19","6","6","10","True","1184","520","19","34","155428","3064","401","159807","4.2267","0.0807","4.146","normal","True","False","False"
"2026/6/25 19:24:59","60.1006","60.1006","19","5.549","0.314","5.813","141","19","0.304785","0.304785","0.304785","0.304785","0","0","0","3284.32","30","0","7","181.816","1235","2","0","0.002","0.018","18.518","0","34.38","0.002","0","0","16.581","36.049","9.506","0.288","0.014","80","80","0","0","12","14","181","36972","0","0","30","62.5","0","0","157","1360","0","28","22","19","True","True","True","0.002","0.016","0","0","1920","1080","0","0","1920","1080","19","6","6","10","True","1083","513","20","37","169645","3312","400","159807","5.3364","0.0809","5.2555","normal","True","False","False"
"2026/6/25 19:25:01","61.0934","61.0934","19","5.549","0.303","7.142","63","19","0.307692","0.307692","0.307692","0.307692","0","0","0","3235.77","30","0","8","146.041","1099","102","0","0.002","0.02","11.249","0","29.206","0","0.001","0","21.746","28.717","11.899","0.311","0.011","80","80","0","0","12","14","181","36972","0","0","30","62.5","0","0","171","1480","0","38","30","26","True","True","True","0.003","0.016","0","0","1920","1080","0","0","1920","1080","19","6","6","10","True","1016","496","24","43","182483","3719","403","159807","5.2245","0.0802","5.1443","normal","True","False","False"
"2026/6/25 19:25:03","59.0127","59.0127","19","5.549","0.303","4.926","47","19","0.307692","0.307692","0.307692","0.307692","0","0","0","3235.77","30","0","8","215.27","1528","2","0","0.002","0.019","12.414","0","33.832","0","0.001","0","20.321","44.335","19.085","24.143","0.012","80","80","0","0","12","14","181","36972","0","0","39","62.5","15","0","171","1601","0","38","30","26","True","True","True","0.002","0.016","0","0","1920","1080","0","0","1920","1080","19","6","6","10","True","990","470","29","53","196505","3737","402","159807","5.4716","0.0727","5.3989","normal","True","False","False"
