"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","scan_loop_hz","scan_due_hz","scan_started_hz","scan_completed_hz","scan_skip_pending_count","scan_skip_not_due_count","scan_overwritten_count","scan_get_ow_entities_ms","scan_result_raw_count","scan_pending_age_ms","scan_generation","scan_detail_records","scan_detail_total_pairs","scan_light_scan_enabled","scan_light_unvalidated_pairs","scan_light_cap_hits","entity_cycle_ms","entity_cycle_dma_reads_delta","entity_cycle_dma_fail_delta","phase_consume_scan_ms","phase_previous_snapshot_copy_ms","phase_hot_scatter_prepare_ms","phase_hot_scatter_execute_ms","phase_base_cache_ms","phase_base_decrypt_ms","phase_health_ms","phase_hero_ms","phase_visibility_ms","phase_skeleton_ms","phase_skill_ms","phase_team_name_ms","phase_local_select_ms","phase_publish_ms","hot_scatter_requested_count","hot_scatter_success_count","hot_scatter_partial_count","hot_scatter_fallback_read_count","base_cache_hit_count","base_cache_miss_count","base_decrypt_attempt_count","cold_base_budget_enabled","cold_base_budget_limit","cold_base_budget_used_count","cold_base_deferred_count","candidate_backoff_enabled","candidate_backoff_min_failures","candidate_backoff_active_count","candidate_backoff_blocked_count","candidate_backoff_skipped_count","candidate_backoff_failure_count","candidate_backoff_soft_failure_count","candidate_backoff_probe_count","candidate_backoff_success_count","skeleton_block_read_bytes","skeleton_fallback_get_bone_pos_count","visibility_fallback_count","skill_read_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/25 20:33:12","59.8754","59.8754","17","21.818","0.504","15.873","15","17","0.556483","0.556483","0.556483","0.556483","0","0","0","1784.72","21","0","4","1085","21","1","17","0","64.024","471","29","0","0.003","0.019","2.8","0","3.985","0","0.002","0.002","18.415","5.313","1.65","0.306","0.012","68","68","0","0","15","2","24","1","2","2","0","1","2","0","0","0","0","0","0","0","36972","0","0","6","62.5","15","15","156","381","0","10","8","7","True","True","True","0.004","0.015","0","0","1920","1080","0","0","1920","1080","17","13","13","3","True","1634","622","27","50","50819","1999","364","162363","8.3901","0.0892","8.3009","normal","True","False","False"
"2026/6/25 20:33:14","59.7878","59.7878","17","21.818","0.561","12.82","62","17","0.561482","0.561482","0.561482","0.561482","0","0","0","1770.51","21","0","5","1089","21","1","17","0","71.44","499","0","0","0.002","0.018","3.234","0.001","6.22","0.001","0","0","15.68","4.424","1.935","0.344","0.011","68","68","0","0","15","2","24","1","2","2","0","1","2","0","0","0","0","0","0","0","36972","0","0","6","62.5","15","15","156","505","0","10","8","7","True","True","True","0.002","0.015","0","0","1920","1080","0","0","1920","1080","17","12","12","4","True","1616","624","26","47","65298","2395","366","162363","3.9329","0.0793","3.8536","normal","True","False","False"
"2026/6/25 20:33:16","61.1102","61.1102","17","19.595","0.561","21.276","62","17","0.496032","0.496032","0.496032","0.496032","0","0","0","2013.84","21","0","6","1084","21","1","17","0","55.521","380","0","0","0.002","0.019","1.836","0","7.885","0","0","0","10.428","8.493","2.294","0.514","0.016","68","68","0","0","15","2","24","1","2","2","0","1","2","0","0","0","0","0","0","0","36972","0","0","6","66.666","0","0","172","625","0","20","16","14","True","True","True","0.002","0.015","0","0","1920","1080","0","0","1920","1080","17","12","12","4","True","1865","678","30","54","77418","2797","380","163625","3.9891","0.0832","3.9059","normal","True","False","False"
"2026/6/25 20:33:18","59.9767","59.9767","17","20.986","0.496","16.129","63","17","0.566251","0.566251","0.566251","0.566251","0","0","0","1756.92","21","0","7","1083","21","1","17","0","61.275","407","0","0","0.009","0.036","2.718","0.001","6.015","0","0.002","0","14.408","8.058","3.04","0.43","0.01","64","64","0","0","14","3","24","1","2","2","1","1","2","0","0","0","0","0","0","0","33108","1","0","6","62.5","0","16","172","746","0","20","16","14","True","True","True","0.001","0.015","0","0","1920","1080","0","0","1920","1080","17","9","9","5","True","1250","600","16","29","91326","3204","380","163625","3.8805","0.0784","3.8021","normal","True","False","False"
"2026/6/25 20:33:20","59.8663","59.8663","17","20.986","0.566","62.5","16","17","0.561482","0.561482","0.561482","0.561482","0","0","0","1775.17","21","0","8","1107","21","1","17","0","20.893","140","0","0","0.002","0.019","1.348","0","0","0","0","0","5.486","0","0","0.404","0.01","58","58","0","0","15","0","0","1","2","0","0","1","2","2","2","2","0","0","0","0","33108","0","0","0","62.5","0","0","172","867","0","20","16","14","True","True","True","0.002","0.015","0","0","1920","1080","0","0","1920","1080","17","9","9","5","True","1250","600","16","28","105220","3614","379","163625","7.0135","0.0736","6.9399","normal","True","False","False"
"2026/6/25 20:33:22","59.9323","59.9323","17","22.582","0.561","21.276","31","17","0.533333","0.533333","0.533333","0.533333","0","0","0","1873.6","21","0","9","1090","19","1","15","0","45.865","306","0","0","0.001","0.014","3.269","0.002","6.224","0","0","0","11.819","6.509","1.729","0.819","0.011","57","57","0","0","13","2","24","1","2","2","0","1","2","2","2","2","0","0","0","0","33108","0","0","6","66.666","0","0","172","988","0","20","16","14","True","True","True","0.002","0.015","0","0","1920","1080","0","0","1920","1080","17","10","10","4","True","1832","691","36","66","118955","4023","379","163625","8.2242","0.052","8.1722","normal","True","False","False"
"2026/6/25 20:33:24","59.9567","59.9567","19","29.542","0.533","32.258","16","19","0.507872","0.507872","0.507872","0.507872","0","0","0","1960.41","23","0","10","1094","21","1","17","0","29.983","200","0","0","0.002","0.016","1.335","0","0","0","0","0","9.783","0","0","0.372","0.011","68","68","0","0","17","0","0","1","2","0","0","1","2","2","2","2","0","0","0","0","36972","0","0","0","62.5","0","16","172","1108","0","20","16","14","True","True","True","0.003","0.015","0","0","1920","1080","0","0","1920","1080","19","13","13","3","True","1839","669","29","53","132812","4429","377","163625","6.902","0.0793","6.8227","normal","True","False","False"
"2026/6/25 20:33:26","60.0909","60.0909","19","29.542","0.508","21.276","15","19","0.484966","0.484966","0.484966","0.484966","0","0","0","2068.68","23","0","11","1094","21","1","17","0","37.496","259","0","0","0.001","0.016","2.29","0","1.895","0","0","0","8.963","4.728","0.898","1.381","0.009","68","68","0","0","16","1","12","1","2","1","0","1","2","2","2","2","0","0","0","0","36972","0","0","3","66.666","0","15","172","1229","0","32","26","22","True","True","True","0.002","0.015","0","0","1920","1080","0","0","1920","1080","19","12","12","4","True","1600","621","27","49","144271","4832","385","163625","3.8028","0.072","3.7308","normal","True","False","False"
"2026/6/25 20:33:28","58.5371","58.5371","19","24.145","0.481","32.258","31","19","0.407664","0.407664","0.407664","0.407664","0","0","0","2442.73","23","0","12","1091","21","1","17","0","37.496","252","0","0","0.004","0.023","3.607","0","5.448","0","0","0","8.333","2.92","1.101","0.311","0.011","68","68","0","0","16","1","12","1","2","1","0","1","2","2","2","2","0","0","0","0","36972","0","0","3","62.5","0","15","172","1349","0","32","26","22","True","True","True","0.005","0.022","0","0","1920","1080","0","0","1920","1080","19","12","12","4","True","1661","623","27","50","158153","5229","383","163625","8.5468","0.0824","8.4644","normal","True","False","False"
"2026/6/25 20:33:30","59.9655","59.9655","19","28.45","0.408","12.82","31","19","0.492126","0.492126","0.492126","0.492126","0","0","0","2016.44","23","0","13","1088","21","1","17","0","69.017","469","0","0","0.002","0.017","5.971","0.002","7.509","0","0","0","13.09","18.296","3.915","0.982","0.009","68","68","0","0","15","2","24","1","2","2","0","1","2","2","2","2","0","0","0","0","36972","0","0","6","62.5","0","16","172","1470","0","32","26","22","True","True","True","0.002","0.022","0","0","1920","1080","0","0","1920","1080","19","11","11","5","True","1250","600","16","29","172069","5626","381","163625","3.9102","0.0789","3.8313","normal","True","False","False"
