"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/25 7:39:30","0","0","0","0","0","0","172","0","0","0","False","False","False","0","0.002","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","0","0","0","normal","False","False","True"
"2026/6/25 7:39:31","0","0","0","0","0","0","1219","0","0","0","False","False","False","0","0.002","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","0","0","0","0","4.9375","0.0323","4.9052","normal","False","False","True"
"2026/6/25 7:39:32","0","0","0","0","0","32.258","0","0","66.666","16","True","True","True","0","0.002","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","5131","736","187","13253","4.8168","0.0303","4.7865","normal","False","False","True"
"2026/6/25 7:39:33","0","0","0","37.29","0","32.258","0","0","62.5","15","True","True","True","0","0.002","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","13058","1533","163","13253","2.66","0.0292","2.6308","normal","False","False","True"
"2026/6/25 7:39:34","57.8975","57.8975","0","37.29","0","32.258","31","0","66.666","16","True","True","True","0","0.002","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","20309","1533","162","13253","2.7232","0.0268","2.6964","normal","False","False","True"
"2026/6/25 7:39:35","0","0","0","35.232","0","32.258","0","0","66.666","16","True","True","True","0","0.002","0","0","1920","1080","0","0","1920","1080","0","0","0","0","False","0","0","0","0","27621","1534","162","13253","3.081","0.0299","3.0511","normal","False","False","True"
"2026/6/25 7:39:36","55.472","55.472","12","35.232","0","16.129","16","12","62.5","16","True","True","True","0.002","0.007","0","0","1920","1080","0","0","1920","1080","12","11","11","0","True","1187","536","15","26","34939","2155","182","13253","3.6296","0.1107","3.5189","normal","True","False","False"
"2026/6/25 7:39:37","0","0","12","35.232","0","21.739","47","12","62.5","15","True","True","True","0.002","0.01","0","0","1920","1080","0","0","1920","1080","12","6","6","4","True","1828","583","32","59","40209","2758","223","161765","3.598","0.0812","3.5168","normal","True","False","False"
"2026/6/25 7:39:38","0","0","12","22.189","0","16.129","16","12","66.666","16","True","True","True","0.002","0.01","0","0","1920","1080","0","0","1920","1080","12","8","8","2","True","1501","565","30","55","47510","3134","234","161765","4.6852","0.0808","4.6044","normal","True","False","False"
"2026/6/25 7:39:39","0","0","12","22.189","0","15.873","31","12","62.5","0","True","True","True","0.002","0.01","0","0","1920","1080","0","0","1920","1080","12","4","4","5","True","1492","665","37","65","54497","3134","243","161765","2.6833","0.0762","2.6071","normal","True","False","False"
