"i","total","nonlocal","names","diag_entities","scan","fresh","missing","raw","valid","projected","drawn","w2s","sample"
"110","2","1","Tank Bot","2","6","2","0","6","2","1","1","0","{""available"":true,""address"":""0x29F6AB96A20"",""hero_id"":""0x2E0000000000337"",""left"":728,""top"":764,""width"":25,""height"":46,""center_x"":740,""bottom"":810,""distance_m"":36}"
"111","2","1","Tank Bot","2","6","2","0","6","2","1","1","0","{""available"":true,""address"":""0x29F6AB96A20"",""hero_id"":""0x2E0000000000337"",""left"":727,""top"":764,""width"":26,""height"":47,""center_x"":740,""bottom"":810,""distance_m"":36}"
"112","2","1","Tank Bot","2","6","2","0","6","2","1","1","0","{""available"":true,""address"":""0x29F6AB96A20"",""hero_id"":""0x2E0000000000337"",""left"":728,""top"":764,""width"":26,""height"":46,""center_x"":740,""bottom"":810,""distance_m"":36}"
"113","2","1","Tank Bot","2","6","2","0","6","2","1","1","0","{""available"":true,""address"":""0x29F6AB96A20"",""hero_id"":""0x2E0000000000337"",""left"":728,""top"":764,""width"":25,""height"":46,""center_x"":740,""bottom"":810,""distance_m"":36}"
"114","2","1","Tank Bot","2","6","2","0","6","2","1","1","0","{""available"":true,""address"":""0x29F6AB96A20"",""hero_id"":""0x2E0000000000337"",""left"":728,""top"":765,""width"":25,""height"":45,""center_x"":740,""bottom"":810,""distance_m"":36}"
"115","2","1","Tank Bot","2","6","2","0","6","2","1","1","0","{""available"":true,""address"":""0x29F6AB96A20"",""hero_id"":""0x2E0000000000337"",""left"":728,""top"":765,""width"":25,""height"":45,""center_x"":740,""bottom"":810,""distance_m"":36}"
"116","2","1","Tank Bot","2","6","2","0","6","2","1","1","0","{""available"":true,""address"":""0x29F6AB96A20"",""hero_id"":""0x2E0000000000337"",""left"":728,""top"":765,""width"":25,""height"":45,""center_x"":740,""bottom"":810,""distance_m"":36}"
"117","2","1","Tank Bot","2","6","2","0","6","2","1","1","0","{""available"":true,""address"":""0x29F6AB96A20"",""hero_id"":""0x2E0000000000337"",""left"":728,""top"":764,""width"":25,""height"":46,""center_x"":740,""bottom"":810,""distance_m"":36}"
"118","2","1","Tank Bot","2","6","2","0","6","2","1","1","0","{""available"":true,""address"":""0x29F6AB96A20"",""hero_id"":""0x2E0000000000337"",""left"":728,""top"":764,""width"":25,""height"":46,""center_x"":740,""bottom"":810,""distance_m"":36}"
"119","2","1","Tank Bot","2","6","2","0","6","2","1","1","0","{""available"":true,""address"":""0x29F6AB96A20"",""hero_id"":""0x2E0000000000337"",""left"":727,""top"":764,""width"":26,""height"":47,""center_x"":740,""bottom"":810,""distance_m"":36}"
